xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
964594,Motacilla alba,White Wagtail,David Bissett,United Kingdom,2025-01-27,12:00,30,B,"call, song",field recording,yes,[],48000,https://xeno-canto.org/964594,https://xeno-canto.org/964594/download,src/dataset/bird_data/raw/motacilla_alba/XC964594.mp3
923148,Motacilla alba,White Wagtail,Arjun Dutta,United Kingdom,2022-02-28,07:30,2,B,call,field recording,no,[],44100,https://xeno-canto.org/923148,https://xeno-canto.org/923148/download,src/dataset/bird_data/raw/motacilla_alba/XC923148.mp3
596085,Motacilla alba,White Wagtail,Simon Elliott,United Kingdom,1993-03-27,07:00,14,A,call,field recording,yes,[],44100,https://xeno-canto.org/596085,https://xeno-canto.org/596085/download,src/dataset/bird_data/raw/motacilla_alba/XC596085.mp3
596086,Motacilla alba,White Wagtail,Simon Elliott,United Kingdom,2005-04-06,10:00,11,A,flight call,field recording,yes,"[""Haematopus ostralegus""]",44100,https://xeno-canto.org/596086,https://xeno-canto.org/596086/download,src/dataset/bird_data/raw/motacilla_alba/XC596086.mp3
998512,Motacilla alba,White Wagtail,Paul Kelly,Ireland,2025-05-06,06:00,43,B,call,field recording,no,"[""Corvus frugilegus"", ""Passer domesticus""]",44100,https://xeno-canto.org/998512,https://xeno-canto.org/998512/download,src/dataset/bird_data/raw/motacilla_alba/XC998512.mp3
596083,Motacilla alba,White Wagtail,Simon Elliott,United Kingdom,2006-06-16,14:00,48,A,"begging call, hatchling or nestling",field recording,yes,[],48000,https://xeno-canto.org/596083,https://xeno-canto.org/596083/download,src/dataset/bird_data/raw/motacilla_alba/XC596083.mp3
740886,Motacilla alba,White Wagtail,Irish Wildlife Sounds,Ireland,2022-07-14,02:00,12,B,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/740886,https://xeno-canto.org/740886/download,src/dataset/bird_data/raw/motacilla_alba/XC740886.mp3
490335,Motacilla alba,White Wagtail,Andrew Harrop,United Kingdom,2019-08-03,10:30,13,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/490335,https://xeno-canto.org/490335/download,src/dataset/bird_data/raw/motacilla_alba/XC490335.mp3
1042774,Motacilla alba,White Wagtail,Paul Kelly,Ireland,2025-09-14,06:30,34,B,"call, Wind",field recording,no,[],44100,https://xeno-canto.org/1042774,https://xeno-canto.org/1042774/download,src/dataset/bird_data/raw/motacilla_alba/XC1042774.mp3
1051227,Motacilla alba,White Wagtail,Andrew Harrop,United Kingdom,2025-10-30,09:30,20,B,song,field recording,yes,[],44100,https://xeno-canto.org/1051227,https://xeno-canto.org/1051227/download,src/dataset/bird_data/raw/motacilla_alba/XC1051227.mp3
946770,Motacilla alba,White Wagtail,Mark Plummer,United Kingdom,2024-11-03,11:24,24,B,"call, flight call",field recording,no,[],48000,https://xeno-canto.org/946770,https://xeno-canto.org/946770/download,src/dataset/bird_data/raw/motacilla_alba/XC946770.mp3
775212,Motacilla alba,White Wagtail,Irish Wildlife Sounds,Ireland,2022-12-12,08:00,7,B,flight call,field recording,no,[],44100,https://xeno-canto.org/775212,https://xeno-canto.org/775212/download,src/dataset/bird_data/raw/motacilla_alba/XC775212.mp3
696657,Motacilla alba,White Wagtail,Michał Jezierski,United Kingdom,2022-01-12,8:47,5,B,"call, flight call",field recording,yes,[],48000,https://xeno-canto.org/696657,https://xeno-canto.org/696657/download,src/dataset/bird_data/raw/motacilla_alba/XC696657.mp3
778084,Motacilla alba,White Wagtail,Andrew Edwards,United Kingdom,2023-02-02,11:00,15,B,"call, flight call",field recording,yes,"[""Cyanistes caeruleus""]",44100,https://xeno-canto.org/778084,https://xeno-canto.org/778084/download,src/dataset/bird_data/raw/motacilla_alba/XC778084.mp3
977025,Motacilla alba,White Wagtail,David Darrell-Lambert,United Kingdom,2025-03-02,09:30,17,B,flight call,field recording,yes,[],32000,https://xeno-canto.org/977025,https://xeno-canto.org/977025/download,src/dataset/bird_data/raw/motacilla_alba/XC977025.mp3
985367,Motacilla alba,White Wagtail,David Darrell-Lambert,United Kingdom,2025-04-03,20:00,14,B,call,field recording,yes,[],48000,https://xeno-canto.org/985367,https://xeno-canto.org/985367/download,src/dataset/bird_data/raw/motacilla_alba/XC985367.mp3
986465,Motacilla alba,White Wagtail,David Darrell-Lambert,United Kingdom,2024-05-01,09:00,53,B,song,field recording,no,[],48000,https://xeno-canto.org/986465,https://xeno-canto.org/986465/download,src/dataset/bird_data/raw/motacilla_alba/XC986465.mp3
