xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1073307,Motacilla cinerea,Grey Wagtail,Adrien Peillon,France,2025-11-19,07:44,21,A,"call, flight call",field recording,no,[],48000,https://xeno-canto.org/1073307,https://xeno-canto.org/1073307/download,
1064719,Motacilla cinerea,Grey Wagtail,Esperanza Poveda,Spain,2025-10-25,?,12,A,flight call,field recording,no,[],44100,https://xeno-canto.org/1064719,https://xeno-canto.org/1064719/download,
1064718,Motacilla cinerea,Grey Wagtail,Esperanza Poveda,Spain,2025-10-25,?,19,A,flight call,field recording,no,[],44100,https://xeno-canto.org/1064718,https://xeno-canto.org/1064718/download,
1064716,Motacilla cinerea,Grey Wagtail,Esperanza Poveda,Spain,2025-10-25,?,45,A,flight call,field recording,no,[],44100,https://xeno-canto.org/1064716,https://xeno-canto.org/1064716/download,
1063556,Motacilla cinerea,Grey Wagtail,Tony Rinaud,France,2025-12-02,16:07,5,A,"call, flight call",field recording,no,"[""Sturnus vulgaris""]",32000,https://xeno-canto.org/1063556,https://xeno-canto.org/1063556/download,
1062378,Motacilla cinerea,Grey Wagtail,Jorge Leitão,Portugal,2025-12-03,11:30,14,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/1062378,https://xeno-canto.org/1062378/download,
1060756,Motacilla cinerea,Grey Wagtail,Jorge Leitão,Portugal,2025-11-29,12:36,16,A,song,field recording,yes,"[""Cyanistes caeruleus""]",44100,https://xeno-canto.org/1060756,https://xeno-canto.org/1060756/download,
1060305,Motacilla cinerea,Grey Wagtail,Thierry THOMAS,France,2025-11-29,09:20,18,A,"call, flight call",field recording,no,"[""Sylvia atricapilla"", ""Psittacula krameri""]",44100,https://xeno-canto.org/1060305,https://xeno-canto.org/1060305/download,
1058809,Motacilla cinerea,Grey Wagtail,Christian Kerihuel,France,2025-11-19,13:30,10,A,flight call,field recording,no,[],32000,https://xeno-canto.org/1058809,https://xeno-canto.org/1058809/download,
1053205,Motacilla cinerea,Grey Wagtail,Dean Cornish,United Kingdom,2025-10-31,07:00,3,A,"call, flight call",field recording,no,[],24000,https://xeno-canto.org/1053205,https://xeno-canto.org/1053205/download,
1052765,Motacilla cinerea,Grey Wagtail,David Darrell-Lambert,United Kingdom,2025-11-06,15:00,7,A,flight call,field recording,yes,[],32000,https://xeno-canto.org/1052765,https://xeno-canto.org/1052765/download,
1052764,Motacilla cinerea,Grey Wagtail,David Darrell-Lambert,United Kingdom,2025-11-06,15:00,9,A,flight call,field recording,yes,[],32000,https://xeno-canto.org/1052764,https://xeno-canto.org/1052764/download,
1051493,Motacilla cinerea,Grey Wagtail,Jonas Bonnedahl,Sweden,2025-10-31,00:00,16,A,call,field recording,yes,[],48000,https://xeno-canto.org/1051493,https://xeno-canto.org/1051493/download,
1051492,Motacilla cinerea,Grey Wagtail,Jonas Bonnedahl,Sweden,2025-10-29,00:00,17,A,call,field recording,yes,[],48000,https://xeno-canto.org/1051492,https://xeno-canto.org/1051492/download,
1051131,Motacilla cinerea,Grey Wagtail,Cédric PEIGNOT,France,2025-10-14,08:56,13,A,,field recording,no,"[""Passer domesticus""]",48000,https://xeno-canto.org/1051131,https://xeno-canto.org/1051131/download,
