species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
motacilla_cinerea,614090,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC614090.mp3,1.0,4.0,-22.430023118685046,-22.430023118685046,species,Motacilla cinerea,Gray Wagtail,0.8864296078681946,0.8864296078681946,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/motacilla_cinerea/XC614090__s1000__e4000.wav,
motacilla_cinerea,528918,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC528918.mp3,9.0,12.0,-29.041171394813805,-33.60749407775318,species,Motacilla cinerea,Gray Wagtail,0.6342878937721252,0.6342878937721252,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/motacilla_cinerea/XC528918__s9000__e12000.wav,
motacilla_cinerea,528918,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC528918.mp3,15.0,18.0,-30.730775661420818,-33.60749407775318,species,Motacilla cinerea,Gray Wagtail,0.98442542552948,0.98442542552948,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/motacilla_cinerea/XC528918__s15000__e18000.wav,
motacilla_cinerea,528918,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC528918.mp3,18.0,21.0,-29.582999388741307,-33.60749407775318,species,Motacilla cinerea,Gray Wagtail,0.9293922185897827,0.9293922185897827,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/motacilla_cinerea/XC528918__s18000__e21000.wav,
motacilla_cinerea,528918,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC528918.mp3,21.0,24.0,-30.276147374138404,-33.60749407775318,species,Motacilla cinerea,Gray Wagtail,0.5366766452789307,0.5366766452789307,species,0,,,
motacilla_cinerea,528918,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC528918.mp3,24.0,27.0,-29.356472028412796,-33.60749407775318,species,Motacilla cinerea,Gray Wagtail,0.9953044652938843,0.9953044652938843,species,0,,,
motacilla_cinerea,528918,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC528918.mp3,30.0,33.0,-31.292376754659657,-33.60749407775318,drop,Motacilla cinerea,Gray Wagtail,0.2701362669467926,0.2701362669467926,drop,0,,,
motacilla_cinerea,879389,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC879389.mp3,,,,,,,,,,drop,0,,,no_windows
motacilla_cinerea,636015,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC636015.mp3,,,,,,,,,,drop,0,,,no_windows
motacilla_cinerea,776056,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC776056.mp3,1.0,4.0,-36.50811237834707,-36.64322078328731,drop,Coccothraustes coccothraustes,Hawfinch,0.11864516139030457,0.11864516139030457,drop,0,,,
motacilla_cinerea,776056,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC776056.mp3,7.0,10.0,-35.144768277924385,-36.64322078328731,drop,Phylloscopus trochilus,Willow Warbler,0.13028280436992645,0.13028280436992645,drop,0,,,
motacilla_cinerea,776056,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC776056.mp3,10.0,13.0,-36.33060535854651,-36.64322078328731,species,Motacilla cinerea,Gray Wagtail,0.9452672600746155,0.9452672600746155,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/motacilla_cinerea/XC776056__s10000__e13000.wav,
motacilla_cinerea,809340,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC809340.mp3,1.0,4.0,-34.13098413554013,-34.21546735089676,species,Motacilla cinerea,Gray Wagtail,0.6041918396949768,0.6041918396949768,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/motacilla_cinerea/XC809340__s1000__e4000.wav,
motacilla_cinerea,809340,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC809340.mp3,10.0,13.0,-28.97810996298446,-34.21546735089676,drop,Motacilla cinerea,Gray Wagtail,0.24011677503585815,0.24011677503585815,drop,0,,,
motacilla_cinerea,809340,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC809340.mp3,13.0,16.0,-30.19541569483001,-34.21546735089676,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/motacilla_cinerea/XC809340__s13000__e16000.wav,
motacilla_cinerea,809340,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC809340.mp3,16.0,19.0,-29.04624270815344,-34.21546735089676,species,Motacilla cinerea,Gray Wagtail,0.6926685571670532,0.6926685571670532,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/motacilla_cinerea/XC809340__s16000__e19000.wav,
motacilla_cinerea,809340,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC809340.mp3,22.0,25.0,-34.00200623870849,-34.21546735089676,drop,Remiz pendulinus,Eurasian Penduline-Tit,0.5234774351119995,0.5234774351119995,drop,0,,,
motacilla_cinerea,740474,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC740474.mp3,4.0,7.0,-9.048040810714635,-9.296623735175226,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/motacilla_cinerea/XC740474__s4000__e7000.wav,
motacilla_cinerea,740474,Motacilla cinerea,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/motacilla_cinerea/XC740474.mp3,7.0,10.0,-8.553506862656088,-9.296623735175226,drop,Anthus furcatus,Short-billed Pipit,0.1432134211063385,0.1432134211063385,drop,0,,,
