xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
614090,Motacilla cinerea,Grey Wagtail,Calum Mckellar,United Kingdom,2020-01-08,13:35,6,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/614090,https://xeno-canto.org/614090/download,bird_data\raw\motacilla_cinerea\XC614090.mp3
528918,Motacilla cinerea,Grey Wagtail,Ed Stubbs,United Kingdom,2020-02-21,07:10,37,A,song,field recording,yes,[],44100,https://xeno-canto.org/528918,https://xeno-canto.org/528918/download,bird_data\raw\motacilla_cinerea\XC528918.mp3
879389,Motacilla cinerea,Grey Wagtail,Mark Plummer,United Kingdom,2024-03-04,06:05,3,A,flight call,field recording,no,[],22050,https://xeno-canto.org/879389,https://xeno-canto.org/879389/download,bird_data\raw\motacilla_cinerea\XC879389.mp3
636015,Motacilla cinerea,Grey Wagtail,Sean Morris,United Kingdom,2021-04-05,09:13,3,B,call,field recording,yes,[],48000,https://xeno-canto.org/636015,https://xeno-canto.org/636015/download,bird_data\raw\motacilla_cinerea\XC636015.mp3
724109,Motacilla cinerea,Grey Wagtail,Paul Archer,Ireland,2022-05-11,11:30,28,A,call,field recording,yes,[],48000,https://xeno-canto.org/724109,https://xeno-canto.org/724109/download,bird_data\raw\motacilla_cinerea\XC724109.mp3
809340,Motacilla cinerea,Grey Wagtail,Anthony McGeehan ,United Kingdom,2023-06-16,11:00,27,A,call,in the hand,yes,[],48000,https://xeno-canto.org/809340,https://xeno-canto.org/809340/download,bird_data\raw\motacilla_cinerea\XC809340.mp3
740474,Motacilla cinerea,Grey Wagtail,Paul Kelly,Ireland,2022-07-29,06:00,10,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/740474,https://xeno-canto.org/740474/download,bird_data\raw\motacilla_cinerea\XC740474.mp3
749396,Motacilla cinerea,Grey Wagtail,Irish Wildlife Sounds,Ireland,2022-08-27,07:00,36,A,flight call,field recording,no,[],44100,https://xeno-canto.org/749396,https://xeno-canto.org/749396/download,bird_data\raw\motacilla_cinerea\XC749396.mp3
760245,Motacilla cinerea,Grey Wagtail,Irish Wildlife Sounds,Ireland,2022-09-21,07:30,46,A,flight call,field recording,no,[],44100,https://xeno-canto.org/760245,https://xeno-canto.org/760245/download,bird_data\raw\motacilla_cinerea\XC760245.mp3
1053205,Motacilla cinerea,Grey Wagtail,Dean Cornish,United Kingdom,2025-10-31,07:00,3,A,"call, flight call",field recording,no,[],24000,https://xeno-canto.org/1053205,https://xeno-canto.org/1053205/download,bird_data\raw\motacilla_cinerea\XC1053205.mp3
1052765,Motacilla cinerea,Grey Wagtail,David Darrell-Lambert,United Kingdom,2025-11-06,15:00,7,A,flight call,field recording,yes,[],32000,https://xeno-canto.org/1052765,https://xeno-canto.org/1052765/download,bird_data\raw\motacilla_cinerea\XC1052765.mp3
956555,Motacilla cinerea,Grey Wagtail,Paul Lynch,Ireland,2024-12-23,11:00,32,A,song,field recording,yes,[],44100,https://xeno-canto.org/956555,https://xeno-canto.org/956555/download,bird_data\raw\motacilla_cinerea\XC956555.mp3
