species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
muscicapa_striata,898116,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC898116.mp3,19.0,22.0,-50.3697248843489,-40.0,drop,Turdus iliacus,Redwing,0.8314852714538574,0.8314852714538574,drop,0,,,
muscicapa_striata,1011457,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1011457.mp3,4.0,7.0,-44.72659549265729,-40.0,drop,Prunella modularis,Dunnock,0.24698184430599213,0.24698184430599213,drop,0,,,
muscicapa_striata,1009474,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1009474.mp3,1.0,4.0,-32.188871213796595,-34.03102865282279,drop,Carduelis carduelis,European Goldfinch,0.1436077207326889,0.1436077207326889,drop,0,,,
muscicapa_striata,1009474,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1009474.mp3,4.0,7.0,-33.47529641254354,-34.03102865282279,species,Muscicapa striata,Spotted Flycatcher,0.38621005415916443,0.38621005415916443,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/muscicapa_striata/XC1009474__s4000__e7000.wav,
muscicapa_striata,1009474,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1009474.mp3,16.0,19.0,-32.68082764305628,-34.03102865282279,drop,Aegithalos caudatus,Long-tailed Tit,0.16812840104103088,0.16812840104103088,drop,0,,,
muscicapa_striata,1009474,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1009474.mp3,19.0,22.0,-30.940183409510556,-34.03102865282279,species,Muscicapa striata,Spotted Flycatcher,0.3236822783946991,0.3236822783946991,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/muscicapa_striata/XC1009474__s19000__e22000.wav,
muscicapa_striata,1009474,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1009474.mp3,22.0,25.0,-30.80153843366673,-34.03102865282279,drop,Columba palumbus,Common Wood-Pigeon,0.6799671649932861,0.6799671649932861,drop,0,,,
muscicapa_striata,1009474,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1009474.mp3,25.0,28.0,-30.29122256849437,-34.03102865282279,species,Muscicapa striata,Spotted Flycatcher,0.734824001789093,0.734824001789093,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/muscicapa_striata/XC1009474__s25000__e28000.wav,
muscicapa_striata,1016168,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1016168.mp3,1.0,4.0,-36.26540680376993,-40.0,drop,Regulus ignicapilla,Common Firecrest,0.2613346576690674,0.2613346576690674,drop,0,,,
muscicapa_striata,1016168,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1016168.mp3,4.0,7.0,-39.242909756268666,-40.0,drop,Regulus satrapa,Golden-crowned Kinglet,0.2533869743347168,0.2533869743347168,drop,0,,,
muscicapa_striata,1033740,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1033740.mp3,1.0,4.0,-23.14821490170842,-23.14821490170842,drop,Prunella modularis,Dunnock,0.44450294971466064,0.44450294971466064,drop,0,,,
muscicapa_striata,933144,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC933144.mp3,1.0,4.0,-58.60361399257393,-40.0,drop,Turdus iliacus,Redwing,0.2087145745754242,0.2087145745754242,drop,0,,,
muscicapa_striata,1047376,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1047376.mp3,,,,,,,,,,drop,0,,,no_windows
muscicapa_striata,795923,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC795923.mp3,7.0,10.0,-36.785773809748335,-37.694032139307836,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/muscicapa_striata/XC795923__s7000__e10000.wav,
muscicapa_striata,795923,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC795923.mp3,10.0,13.0,-37.061684768920806,-37.694032139307836,drop,Coccothraustes coccothraustes,Hawfinch,0.6142001152038574,0.6142001152038574,drop,0,,,
muscicapa_striata,795923,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC795923.mp3,13.0,16.0,-36.142379272635765,-37.694032139307836,drop,Apus apus,Common Swift,0.7981634140014648,0.7981634140014648,drop,0,,,
muscicapa_striata,998524,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC998524.mp3,1.0,4.0,-40.49546437604086,-40.0,drop,Muscicapa striata,Spotted Flycatcher,0.15220847725868225,0.15220847725868225,drop,0,,,
muscicapa_striata,1009473,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1009473.mp3,9.0,12.0,-30.936281358495165,-31.08383081054662,species,Muscicapa striata,Spotted Flycatcher,0.7768862247467041,0.7768862247467041,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/muscicapa_striata/XC1009473__s9000__e12000.wav,
muscicapa_striata,1009473,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1009473.mp3,18.0,21.0,-28.759585005232555,-31.08383081054662,drop,Carduelis carduelis,European Goldfinch,0.1851116120815277,0.1851116120815277,drop,0,,,
muscicapa_striata,1009473,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1009473.mp3,21.0,24.0,-30.73557087502854,-31.08383081054662,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/muscicapa_striata/XC1009473__s21000__e24000.wav,
muscicapa_striata,1009473,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1009473.mp3,24.0,27.0,-29.89420253542448,-31.08383081054662,drop,Carduelis carduelis,European Goldfinch,0.2582535147666931,0.2582535147666931,drop,0,,,
muscicapa_striata,1009473,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1009473.mp3,27.0,30.0,-28.760433077325875,-31.08383081054662,drop,Carduelis carduelis,European Goldfinch,0.34894946217536926,0.34894946217536926,drop,0,,,
muscicapa_striata,1009473,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC1009473.mp3,30.0,33.0,-28.809353075503164,-31.08383081054662,drop,Carduelis carduelis,European Goldfinch,0.11428810656070709,0.11428810656070709,drop,0,,,
muscicapa_striata,922418,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/muscicapa_striata/XC922418.mp3,13.0,16.0,-62.372343226305695,-40.0,drop,Regulus ignicapilla,Common Firecrest,0.9096239805221558,0.9096239805221558,drop,0,,,
