xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
994173,Muscicapa striata,Spotted Flycatcher,Lars Mogensen,Denmark,2025-04-30,22:00,2,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/994173,https://xeno-canto.org/994173/download,bird_data\raw\muscicapa_striata\XC994173.mp3
1011457,Muscicapa striata,Spotted Flycatcher,david thorns,United Kingdom,2025-05-14,23:30,22,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1011457,https://xeno-canto.org/1011457/download,bird_data\raw\muscicapa_striata\XC1011457.mp3
1009474,Muscicapa striata,Spotted Flycatcher,David Darrell-Lambert,United Kingdom,2025-06-26,07:00,29,A,call,field recording,yes,[],32000,https://xeno-canto.org/1009474,https://xeno-canto.org/1009474/download,bird_data\raw\muscicapa_striata\XC1009474.mp3
1016168,Muscicapa striata,Spotted Flycatcher,David Tattersley,United Kingdom,2025-07-14,04:50,42,A,call,field recording,no,"[""Turdus philomelos""]",48000,https://xeno-canto.org/1016168,https://xeno-canto.org/1016168/download,bird_data\raw\muscicapa_striata\XC1016168.mp3
1033740,Muscicapa striata,Spotted Flycatcher,Paul Kelly,Ireland,2025-08-24,01:00,5,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1033740,https://xeno-canto.org/1033740/download,bird_data\raw\muscicapa_striata\XC1033740.mp3
933144,Muscicapa striata,Spotted Flycatcher,Paul Kelly,Ireland,2024-09-04,02:00,9,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/933144,https://xeno-canto.org/933144/download,bird_data\raw\muscicapa_striata\XC933144.mp3
1047376,Muscicapa striata,Spotted Flycatcher,Vandousselaere Patrick,Belgium,2025-10-12,03:07,3,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1047376,https://xeno-canto.org/1047376/download,bird_data\raw\muscicapa_striata\XC1047376.mp3
898116,Muscicapa striata,Spotted Flycatcher,Sergi Carreras,Spain,2024-04-24,07:25,27,A,flight call,field recording,no,[],44100,https://xeno-canto.org/898116,https://xeno-canto.org/898116/download,bird_data\raw\muscicapa_striata\XC898116.mp3
998524,Muscicapa striata,Spotted Flycatcher,David Pennington,United Kingdom,2025-05-10,03:07,6,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/998524,https://xeno-canto.org/998524/download,bird_data\raw\muscicapa_striata\XC998524.mp3
1009473,Muscicapa striata,Spotted Flycatcher,David Darrell-Lambert,United Kingdom,2025-06-26,07:00,37,A,call,field recording,yes,[],32000,https://xeno-canto.org/1009473,https://xeno-canto.org/1009473/download,bird_data\raw\muscicapa_striata\XC1009473.mp3
