xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
898116,Muscicapa striata,Spotted Flycatcher,Sergi Carreras,Spain,2024-04-24,07:25,27,A,flight call,field recording,no,[],44100,https://xeno-canto.org/898116,https://xeno-canto.org/898116/download,
1011457,Muscicapa striata,Spotted Flycatcher,david thorns,United Kingdom,2025-05-14,23:30,22,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1011457,https://xeno-canto.org/1011457/download,
1009474,Muscicapa striata,Spotted Flycatcher,David Darrell-Lambert,United Kingdom,2025-06-26,07:00,29,A,call,field recording,yes,[],32000,https://xeno-canto.org/1009474,https://xeno-canto.org/1009474/download,
1016168,Muscicapa striata,Spotted Flycatcher,David Tattersley,United Kingdom,2025-07-14,04:50,42,A,call,field recording,no,"[""Turdus philomelos""]",48000,https://xeno-canto.org/1016168,https://xeno-canto.org/1016168/download,
1033740,Muscicapa striata,Spotted Flycatcher,Paul Kelly,Ireland,2025-08-24,01:00,5,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1033740,https://xeno-canto.org/1033740/download,
933144,Muscicapa striata,Spotted Flycatcher,Paul Kelly,Ireland,2024-09-04,02:00,9,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/933144,https://xeno-canto.org/933144/download,
1047376,Muscicapa striata,Spotted Flycatcher,Vandousselaere Patrick,Belgium,2025-10-12,03:07,3,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1047376,https://xeno-canto.org/1047376/download,
795923,Muscicapa striata,Spotted Flycatcher,Sergi Carreras,Spain,2023-04-25,01:59,17,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/795923,https://xeno-canto.org/795923/download,
998524,Muscicapa striata,Spotted Flycatcher,David Pennington,United Kingdom,2025-05-10,03:07,6,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/998524,https://xeno-canto.org/998524/download,
1009473,Muscicapa striata,Spotted Flycatcher,David Darrell-Lambert,United Kingdom,2025-06-26,07:00,37,A,call,field recording,yes,[],32000,https://xeno-canto.org/1009473,https://xeno-canto.org/1009473/download,
922418,Muscicapa striata,Spotted Flycatcher,Arjun Dutta,United Kingdom,2021-07-31,16:00,16,A,"begging call, call",field recording,yes,[],44100,https://xeno-canto.org/922418,https://xeno-canto.org/922418/download,
1031411,Muscicapa striata,Spotted Flycatcher,Paul Kelly,Ireland,2025-08-13,00:30,6,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1031411,https://xeno-canto.org/1031411/download,
922423,Muscicapa striata,Spotted Flycatcher,Arjun Dutta,United Kingdom,2023-09-05,02:00,8,A,"flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/922423,https://xeno-canto.org/922423/download,
1046208,Muscicapa striata,Spotted Flycatcher,Jorge Leitão,Portugal,2025-10-07,08:12,35,A,call,field recording,yes,"[""Erithacus rubecula"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/1046208,https://xeno-canto.org/1046208/download,
730125,Muscicapa striata,Spotted Flycatcher,Alan Dalton,Sweden,2022-04-28,01:30,8,A,nocturnal flight call,field recording,no,[],24000,https://xeno-canto.org/730125,https://xeno-canto.org/730125/download,
922419,Muscicapa striata,Spotted Flycatcher,Arjun Dutta,United Kingdom,2021-05-21,03:00,25,A,"flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/922419,https://xeno-canto.org/922419/download,
1009471,Muscicapa striata,Spotted Flycatcher,David Darrell-Lambert,United Kingdom,2025-06-26,07:00,42,A,call,field recording,yes,[],32000,https://xeno-canto.org/1009471,https://xeno-canto.org/1009471/download,
687545,Muscicapa striata,Spotted Flycatcher,Irish Wildlife Sounds,Ireland,2021-07-18,13:00,20,A,call,field recording,yes,[],44100,https://xeno-canto.org/687545,https://xeno-canto.org/687545/download,
1031410,Muscicapa striata,Spotted Flycatcher,Paul Kelly,Ireland,2025-08-13,00:30,18,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1031410,https://xeno-canto.org/1031410/download,
922422,Muscicapa striata,Spotted Flycatcher,Arjun Dutta,United Kingdom,2023-09-09,02:00,5,A,"flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/922422,https://xeno-canto.org/922422/download,
943655,Muscicapa striata,Spotted Flycatcher,xander,Belgium,2024-10-27,06:00,6,A,call,field recording,no,[],48000,https://xeno-canto.org/943655,https://xeno-canto.org/943655/download,
996665,Muscicapa striata,Spotted Flycatcher,Stanislas Wroza,France,2025-04-30,20:00,9,B,subsong,field recording,unknown,[],32000,https://xeno-canto.org/996665,https://xeno-canto.org/996665/download,
805564,Muscicapa striata,Spotted Flycatcher,Paul Kelly,Ireland,2023-05-28,00:30,12,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/805564,https://xeno-canto.org/805564/download,
854341,Muscicapa striata,Spotted Flycatcher,David Pennington,United Kingdom,2023-06-15,10:42,19,A,call,field recording,yes,[],48000,https://xeno-canto.org/854341,https://xeno-canto.org/854341/download,
