xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
637471,Oenanthe oenanthe,Northern Wheatear,Jon Lowes,United Kingdom,2021-03-29,07:00,22,B,song,field recording,yes,"[""Corvus frugilegus"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/637471,https://xeno-canto.org/637471/download,src/dataset/bird_data/raw/oenanthe_oenanthe/XC637471.mp3
720402,Oenanthe oenanthe,Northern Wheatear,Andrew Harrop,United Kingdom,2022-04-29,07:30,26,B,song,field recording,yes,[],44100,https://xeno-canto.org/720402,https://xeno-canto.org/720402/download,src/dataset/bird_data/raw/oenanthe_oenanthe/XC720402.mp3
596636,Oenanthe oenanthe,Northern Wheatear,Simon Elliott,United Kingdom,1992-05-26,03:30,50,A,"imitation, song, mimicry/imitation",field recording,yes,"[""Alauda arvensis""]",44100,https://xeno-canto.org/596636,https://xeno-canto.org/596636/download,src/dataset/bird_data/raw/oenanthe_oenanthe/XC596636.mp3
325651,Oenanthe oenanthe,Northern Wheatear,Fraser Simpson,United Kingdom,2016-06-08,11:24,59,A,song,field recording,yes,"[""Anthus pratensis""]",44100,https://xeno-canto.org/325651,https://xeno-canto.org/325651/download,src/dataset/bird_data/raw/oenanthe_oenanthe/XC325651.mp3
486803,Oenanthe oenanthe,Northern Wheatear,AUDEVARD Aurélien,France,2019-07-12,13:30,5,A,song,field recording,yes,[],48000,https://xeno-canto.org/486803,https://xeno-canto.org/486803/download,src/dataset/bird_data/raw/oenanthe_oenanthe/XC486803.mp3
1032989,Oenanthe oenanthe,Northern Wheatear,Paul Kelly,Ireland,2025-08-19,00:30,11,B,call,field recording,no,[],44100,https://xeno-canto.org/1032989,https://xeno-canto.org/1032989/download,src/dataset/bird_data/raw/oenanthe_oenanthe/XC1032989.mp3
749579,Oenanthe oenanthe,Northern Wheatear,Paul Kelly,Ireland,2022-09-18,17:00,6,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/749579,https://xeno-canto.org/749579/download,src/dataset/bird_data/raw/oenanthe_oenanthe/XC749579.mp3
834903,Oenanthe oenanthe,Northern Wheatear,João Tomás,Spain,2023-10-09,7:45,18,B,call,field recording,no,"[""Corvus corone""]",44100,https://xeno-canto.org/834903,https://xeno-canto.org/834903/download,src/dataset/bird_data/raw/oenanthe_oenanthe/XC834903.mp3
468550,Oenanthe oenanthe,Northern Wheatear,Alexander Henderson,United Kingdom,2019-03-30,07:38,39,B,song,field recording,no,"[""Fringilla coelebs""]",44100,https://xeno-canto.org/468550,https://xeno-canto.org/468550/download,src/dataset/bird_data/raw/oenanthe_oenanthe/XC468550.mp3
719692,Oenanthe oenanthe,Northern Wheatear,David Pennington,United Kingdom,2022-04-26,11:10,39,B,song,field recording,yes,[],48000,https://xeno-canto.org/719692,https://xeno-canto.org/719692/download,src/dataset/bird_data/raw/oenanthe_oenanthe/XC719692.mp3
