xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1079218,Parus major,Great Tit,Marc Anderson,Spain,2022-05-17,15:30,15,A,song,field recording,no,[],48000,https://xeno-canto.org/1079218,https://xeno-canto.org/1079218/download,
1079215,Parus major,Great Tit,Marc Anderson,Spain,2022-05-17,07:30,44,A,song,field recording,no,[],48000,https://xeno-canto.org/1079215,https://xeno-canto.org/1079215/download,
1075606,Parus major,Great Tit,János Schadl,Germany,2026-01-11,09:22,18,A,call,field recording,yes,[],44100,https://xeno-canto.org/1075606,https://xeno-canto.org/1075606/download,
1073965,Parus major,Great Tit,Anthony McGeehan ,France,2026-01-18,09:00,41,A,"alarm call, call",field recording,yes,[],48000,https://xeno-canto.org/1073965,https://xeno-canto.org/1073965/download,
1049551,Parus major,Great Tit,Beatrix Saadi-Varchmin,Germany,2015-10-13,17:37,56,A,"call, social calls",field recording,yes,[],44100,https://xeno-canto.org/1049551,https://xeno-canto.org/1049551/download,
1048483,Parus major,Great Tit,Miika Silfverberg,Finland,2025-10-18,11:21,27,A,call,field recording,yes,"[""Dendrocopos major"", ""Garrulus glandarius""]",48000,https://xeno-canto.org/1048483,https://xeno-canto.org/1048483/download,
1041642,Parus major,Great Tit,Jorge Leitão,Portugal,2025-09-23,09:24,58,A,"call, song",field recording,yes,[],44100,https://xeno-canto.org/1041642,https://xeno-canto.org/1041642/download,
1031070,Parus major,Great Tit,Miika Silfverberg,Finland,2025-08-20,10:30,8,A,,field recording,yes,[],48000,https://xeno-canto.org/1031070,https://xeno-canto.org/1031070/download,
1031069,Parus major,Great Tit,Miika Silfverberg,Finland,2025-08-20,10:30,9,A,,field recording,yes,[],48000,https://xeno-canto.org/1031069,https://xeno-canto.org/1031069/download,
1009333,Parus major,Great Tit,Jorge Leitão,Portugal,2025-06-25,10:09,25,A,song,field recording,yes,"[""Columba palumbus""]",44100,https://xeno-canto.org/1009333,https://xeno-canto.org/1009333/download,
995195,Parus major,Great Tit,Jorge Leitão,Portugal,2025-05-06,08:45,46,A,song,field recording,yes,"[""Fringilla coelebs"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/995195,https://xeno-canto.org/995195/download,
992471,Parus major,Great Tit,Francesco Sottile,Italy,2025-04-27,17:05,23,A,song,field recording,yes,"[""Fringilla coelebs""]",44100,https://xeno-canto.org/992471,https://xeno-canto.org/992471/download,
990596,Parus major,Great Tit,Francesco Sottile,Italy,2025-04-20,11:47,30,A,song,field recording,yes,"[""Cyanistes caeruleus""]",44100,https://xeno-canto.org/990596,https://xeno-canto.org/990596/download,
990594,Parus major,Great Tit,Francesco Sottile,Italy,2025-04-20,11:48,35,A,call,field recording,yes,"[""Cyanistes caeruleus"", ""Parus major""]",44100,https://xeno-canto.org/990594,https://xeno-canto.org/990594/download,
989898,Parus major,Great Tit,Noé Ferrari,France,2025-04-07,15:00,54,A,call,field recording,yes,"[""Phylloscopus trochilus"", ""Phylloscopus collybita"", ""Linaria cannabina""]",48000,https://xeno-canto.org/989898,https://xeno-canto.org/989898/download,
