xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1006302,Passer domesticus,House Sparrow,Paul Kelly,Ireland,2025-06-08,06:00,27,A,"call, Traffic.",field recording,no,"[""Columba palumbus""]",44100,https://xeno-canto.org/1006302,https://xeno-canto.org/1006302/download,
1006295,Passer domesticus,House Sparrow,Ulf Elman,Sweden,2025-06-11,06:24,33,A,song,field recording,yes,[],48000,https://xeno-canto.org/1006295,https://xeno-canto.org/1006295/download,
1006294,Passer domesticus,House Sparrow,Ulf Elman,Sweden,2025-06-11,06:24,11,A,song,field recording,yes,[],48000,https://xeno-canto.org/1006294,https://xeno-canto.org/1006294/download,
997055,Passer domesticus,House Sparrow,João Tomás,Spain,2025-05-08,8:46,4,A,call,field recording,no,"[""Petronia petronia""]",44100,https://xeno-canto.org/997055,https://xeno-canto.org/997055/download,
997054,Passer domesticus,House Sparrow,João Tomás,Spain,2025-05-08,8:30,35,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/997054,https://xeno-canto.org/997054/download,
997014,Passer domesticus,House Sparrow,João Tomás,Spain,2025-05-11,7:01,52,A,call,field recording,no,"[""Phoenicurus ochruros"", ""Chloris chloris""]",44100,https://xeno-canto.org/997014,https://xeno-canto.org/997014/download,
996905,Passer domesticus,House Sparrow,Johannes Worona,Germany,2025-05-11,05:58,32,A,"begging call, call",field recording,yes,[],48000,https://xeno-canto.org/996905,https://xeno-canto.org/996905/download,
996904,Passer domesticus,House Sparrow,Johannes Worona,Germany,2025-05-11,05:57,47,A,"begging call, call",field recording,yes,[],48000,https://xeno-canto.org/996904,https://xeno-canto.org/996904/download,
995205,Passer domesticus,House Sparrow,Molly Bell,Ireland,2025-05-06,17:10,18,A,call,field recording,no,[],44100,https://xeno-canto.org/995205,https://xeno-canto.org/995205/download,
980255,Passer domesticus,House Sparrow,Beatrix Saadi-Varchmin,Germany,2025-03-06,08:39,25,A,"call, social call",field recording,yes,[],44100,https://xeno-canto.org/980255,https://xeno-canto.org/980255/download,
977863,Passer domesticus,House Sparrow,Paul Kelly,Ireland,2025-03-02,07:30,21,A,call,field recording,no,"[""Parus major""]",44100,https://xeno-canto.org/977863,https://xeno-canto.org/977863/download,
953713,Passer domesticus,House Sparrow,João Tomás,Spain,2024-11-30,11:00,21,A,call,field recording,no,"[""Sturnus unicolor"", ""Galerida cristata""]",44100,https://xeno-canto.org/953713,https://xeno-canto.org/953713/download,
949513,Passer domesticus,House Sparrow,João Tomás,Spain,2024-11-17,9:20,9,A,call,field recording,yes,[],44100,https://xeno-canto.org/949513,https://xeno-canto.org/949513/download,
949511,Passer domesticus,House Sparrow,João Tomás,Spain,2024-11-17,9:20,7,A,flight call,field recording,yes,"[""Emberiza calandra""]",44100,https://xeno-canto.org/949511,https://xeno-canto.org/949511/download,
949510,Passer domesticus,House Sparrow,João Tomás,Spain,2024-11-17,9:15,3,A,call,field recording,no,[],44100,https://xeno-canto.org/949510,https://xeno-canto.org/949510/download,
926987,Passer domesticus,House Sparrow,Jack Berteau,France,2024-06-29,06:00,48,A,"call, wing beat",field recording,yes,"[""Oriolus oriolus"", ""Pica pica"", ""Sturnus vulgaris""]",48000,https://xeno-canto.org/926987,https://xeno-canto.org/926987/download,
926985,Passer domesticus,House Sparrow,Jack Berteau,France,2024-06-29,06:00,41,A,"call, wing beat",field recording,yes,"[""Oriolus oriolus"", ""Pica pica"", ""Sturnus vulgaris""]",48000,https://xeno-canto.org/926985,https://xeno-canto.org/926985/download,
926983,Passer domesticus,House Sparrow,Jack Berteau,France,2024-06-29,06:00,59,A,"call, wing beat",field recording,yes,"[""Oriolus oriolus"", ""Pica pica"", ""Sturnus vulgaris""]",48000,https://xeno-canto.org/926983,https://xeno-canto.org/926983/download,
922542,Passer domesticus,House Sparrow,Francesco Sottile,Switzerland,2024-07-20,11:41,44,A,"call, song",field recording,yes,"[""Milvus milvus"", ""Passer domesticus""]",44100,https://xeno-canto.org/922542,https://xeno-canto.org/922542/download,
913339,Passer domesticus,House Sparrow,Martin Billard,France,2024-06-07,18:41,13,A,call,field recording,no,[],44100,https://xeno-canto.org/913339,https://xeno-canto.org/913339/download,
913338,Passer domesticus,House Sparrow,Martin Billard,France,2024-06-07,16:20,52,A,call,field recording,no,[],44100,https://xeno-canto.org/913338,https://xeno-canto.org/913338/download,
913337,Passer domesticus,House Sparrow,Martin Billard,France,2024-06-07,12:52,14,A,call,field recording,no,[],44100,https://xeno-canto.org/913337,https://xeno-canto.org/913337/download,
908354,Passer domesticus,House Sparrow,"Olivier SWIFT, Hélène CARTAUD",France,2024-05-17,18:05,21,A,song,field recording,yes,"[""Streptopelia decaocto""]",48000,https://xeno-canto.org/908354,https://xeno-canto.org/908354/download,
906529,Passer domesticus,House Sparrow,Olivier SWIFT,France,2024-05-25,10:07,37,A,call,field recording,yes,[],48000,https://xeno-canto.org/906529,https://xeno-canto.org/906529/download,
897743,Passer domesticus,House Sparrow,Paul Kelly,Ireland,2024-04-20,07:00,27,A,call,field recording,no,"[""Linaria cannabina""]",44100,https://xeno-canto.org/897743,https://xeno-canto.org/897743/download,
896493,Passer domesticus,House Sparrow,Martin Billard,France,2024-04-14,17:07,32,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/896493,https://xeno-canto.org/896493/download,
896492,Passer domesticus,House Sparrow,Martin Billard,France,2024-04-14,17:06,14,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/896492,https://xeno-canto.org/896492/download,
882124,Passer domesticus,House Sparrow,Christian Kerihuel,France,2024-03-16,18:00,34,A,call,field recording,yes,[],44100,https://xeno-canto.org/882124,https://xeno-canto.org/882124/download,
881741,Passer domesticus,House Sparrow,Olivier SWIFT,France,2023-04-21,08:50,19,A,song,field recording,unknown,[],48000,https://xeno-canto.org/881741,https://xeno-canto.org/881741/download,
881740,Passer domesticus,House Sparrow,Olivier SWIFT,France,2023-04-21,08:50,35,A,call,field recording,unknown,"[""Sturnus vulgaris""]",48000,https://xeno-canto.org/881740,https://xeno-canto.org/881740/download,
879927,Passer domesticus,House Sparrow,Paul Kelly,Ireland,2024-03-03,07:30,13,A,call,field recording,no,[],44100,https://xeno-canto.org/879927,https://xeno-canto.org/879927/download,
856957,Passer domesticus,House Sparrow,Wim Jacobs,Belgium,2019-02-18,?,36,A,"call, song",field recording,yes,[],44100,https://xeno-canto.org/856957,https://xeno-canto.org/856957/download,
843477,Passer domesticus,House Sparrow,Joost van Bruggen,Netherlands,2023-06-27,05:35,14,A,alarm call,field recording,no,[],48000,https://xeno-canto.org/843477,https://xeno-canto.org/843477/download,
842414,Passer domesticus,House Sparrow,FREDERIC Lionel,France,2023-09-16,07:00,24,A,song,field recording,no,[],44100,https://xeno-canto.org/842414,https://xeno-canto.org/842414/download,
841356,Passer domesticus,House Sparrow,Jack Berteau,France,2023-05-19,07:30,49,A,song,field recording,yes,[],48000,https://xeno-canto.org/841356,https://xeno-canto.org/841356/download,
837455,Passer domesticus,House Sparrow,Jorge Leitão,Portugal,2023-10-20,18:40,29,A,"call, flock; dormitory",field recording,yes,[],44100,https://xeno-canto.org/837455,https://xeno-canto.org/837455/download,
835068,Passer domesticus,House Sparrow,Esperanza Poveda,Spain,2019-05-20,?,52,A,call,in the hand,yes,[],44100,https://xeno-canto.org/835068,https://xeno-canto.org/835068/download,
835058,Passer domesticus,House Sparrow,Esperanza Poveda,Spain,2019-05-20,?,44,A,call,in the hand,yes,[],44100,https://xeno-canto.org/835058,https://xeno-canto.org/835058/download,
