species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
passer_domesticus,775840,Passer domesticus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\passer_domesticus\XC775840.mp3,4.0,7.0,-41.400045609495336,-40.0,drop,Passer montanus,Eurasian Tree Sparrow,0.6339054703712463,0.6339054703712463,drop,0.0,,,
passer_domesticus,459146,Passer domesticus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\passer_domesticus\XC459146.mp3,1.0,4.0,-19.23659736335909,-21.37431233135887,species,Passer domesticus,House Sparrow,0.8468233346939087,0.8468233346939087,species,1.0,rand_species,bird_data\clips\species\passer_domesticus\XC459146__s1000__e4000.wav,
passer_domesticus,459146,Passer domesticus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\passer_domesticus\XC459146.mp3,7.0,10.0,-18.266827164766067,-21.37431233135887,species,Passer domesticus,House Sparrow,0.8248492479324341,0.8248492479324341,species,0.0,,,
passer_domesticus,459146,Passer domesticus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\passer_domesticus\XC459146.mp3,13.0,16.0,-19.03923619216223,-21.37431233135887,species,Passer domesticus,House Sparrow,0.8895435929298401,0.8895435929298401,species,0.0,,,
passer_domesticus,459146,Passer domesticus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\passer_domesticus\XC459146.mp3,16.0,19.0,-20.410314171470823,-21.37431233135887,species,Passer domesticus,House Sparrow,0.9382250308990479,0.9382250308990479,species,1.0,rand_species,bird_data\clips\species\passer_domesticus\XC459146__s16000__e19000.wav,
passer_domesticus,459146,Passer domesticus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\passer_domesticus\XC459146.mp3,19.0,22.0,-21.133904592508053,-21.37431233135887,species,Passer domesticus,House Sparrow,0.7549241781234741,0.7549241781234741,species,1.0,rand_species,bird_data\clips\species\passer_domesticus\XC459146__s19000__e22000.wav,
passer_domesticus,459146,Passer domesticus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\passer_domesticus\XC459146.mp3,22.0,25.0,-20.061973344080673,-21.37431233135887,species,Passer domesticus,House Sparrow,0.8470813632011414,0.8470813632011414,species,0.0,,,
passer_domesticus,977863,Passer domesticus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\passer_domesticus\XC977863.mp3,7.0,10.0,-25.6899514739916,-29.778824216439915,species,Passer domesticus,House Sparrow,0.9313207268714905,0.9313207268714905,species,0.0,,,
passer_domesticus,977863,Passer domesticus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\passer_domesticus\XC977863.mp3,10.0,13.0,-27.802776486767225,-29.778824216439915,species,Passer domesticus,House Sparrow,0.659454882144928,0.659454882144928,species,1.0,rand_species,bird_data\clips\species\passer_domesticus\XC977863__s10000__e13000.wav,
passer_domesticus,977863,Passer domesticus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\passer_domesticus\XC977863.mp3,13.0,16.0,-27.532945198268695,-29.778824216439915,species,Passer domesticus,House Sparrow,0.8805588483810425,0.8805588483810425,species,1.0,rand_species,bird_data\clips\species\passer_domesticus\XC977863__s13000__e16000.wav,
passer_domesticus,977863,Passer domesticus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\passer_domesticus\XC977863.mp3,16.0,19.0,-27.42930655949035,-29.778824216439915,species,Passer domesticus,House Sparrow,0.8327520489692688,0.8327520489692688,species,1.0,rand_species,bird_data\clips\species\passer_domesticus\XC977863__s16000__e19000.wav,
passer_domesticus,897743,Passer domesticus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\passer_domesticus\XC897743.mp3,4.0,7.0,-35.36521058486889,-35.654072803235586,species,Passer domesticus,House Sparrow,0.6727980971336365,0.6727980971336365,species,1.0,rand_species,bird_data\clips\species\passer_domesticus\XC897743__s4000__e7000.wav,
passer_domesticus,897743,Passer domesticus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\passer_domesticus\XC897743.mp3,7.0,10.0,-33.725838306887084,-35.654072803235586,species,Passer domesticus,House Sparrow,0.5008787512779236,0.5008787512779236,species,1.0,rand_species,bird_data\clips\species\passer_domesticus\XC897743__s7000__e10000.wav,
