xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
775840,Passer domesticus,House Sparrow,Dean McDonnell,Ireland,2023-01-17,11:00,48,A,call,field recording,yes,[],44100,https://xeno-canto.org/775840,https://xeno-canto.org/775840/download,src/dataset/bird_data/raw/passer_domesticus/XC775840.mp3
459146,Passer domesticus,House Sparrow,Fraser Simpson,United Kingdom,2019-02-24,07:10,49,A,song,field recording,yes,[],44100,https://xeno-canto.org/459146,https://xeno-canto.org/459146/download,src/dataset/bird_data/raw/passer_domesticus/XC459146.mp3
977863,Passer domesticus,House Sparrow,Paul Kelly,Ireland,2025-03-02,07:30,21,A,call,field recording,no,"[""Parus major""]",44100,https://xeno-canto.org/977863,https://xeno-canto.org/977863/download,src/dataset/bird_data/raw/passer_domesticus/XC977863.mp3
897743,Passer domesticus,House Sparrow,Paul Kelly,Ireland,2024-04-20,07:00,27,A,call,field recording,no,"[""Linaria cannabina""]",44100,https://xeno-canto.org/897743,https://xeno-canto.org/897743/download,src/dataset/bird_data/raw/passer_domesticus/XC897743.mp3
995205,Passer domesticus,House Sparrow,Molly Bell,Ireland,2025-05-06,17:10,18,A,call,field recording,no,[],44100,https://xeno-canto.org/995205,https://xeno-canto.org/995205/download,src/dataset/bird_data/raw/passer_domesticus/XC995205.mp3
1006302,Passer domesticus,House Sparrow,Paul Kelly,Ireland,2025-06-08,06:00,27,A,"call, Traffic.",field recording,no,"[""Columba palumbus""]",44100,https://xeno-canto.org/1006302,https://xeno-canto.org/1006302/download,src/dataset/bird_data/raw/passer_domesticus/XC1006302.mp3
687529,Passer domesticus,House Sparrow,Irish Wildlife Sounds,Ireland,2021-07-29,11:00,44,A,call,field recording,yes,[],44100,https://xeno-canto.org/687529,https://xeno-canto.org/687529/download,src/dataset/bird_data/raw/passer_domesticus/XC687529.mp3
926514,Passer domesticus,House Sparrow,Andrew Harrop,United Kingdom,2024-08-11,09:00,2,B,"alarm call, call",field recording,yes,[],44100,https://xeno-canto.org/926514,https://xeno-canto.org/926514/download,src/dataset/bird_data/raw/passer_domesticus/XC926514.mp3
1041704,Passer domesticus,House Sparrow,David Darrell-Lambert,United Kingdom,2025-09-14,08:30,16,B,call,field recording,yes,[],32000,https://xeno-canto.org/1041704,https://xeno-canto.org/1041704/download,src/dataset/bird_data/raw/passer_domesticus/XC1041704.mp3
687561,Passer domesticus,House Sparrow,Irish Wildlife Sounds,Ireland,2021-10-29,09:00,20,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/687561,https://xeno-canto.org/687561/download,src/dataset/bird_data/raw/passer_domesticus/XC687561.mp3
