species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
periparus_ater,775317,Periparus ater,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\periparus_ater\XC775317.mp3,4.0,7.0,-32.81359633282265,-33.07112318282393,species,Periparus ater,Coal Tit,0.5837574005126953,0.5837574005126953,species,1.0,rand_species,bird_data\clips\species\periparus_ater\XC775317__s4000__e7000.wav,
periparus_ater,458453,Periparus ater,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\periparus_ater\XC458453.mp3,1.0,4.0,-33.79761842818942,-40.0,species,Periparus ater,Coal Tit,0.9972099661827087,0.9972099661827087,species,0.0,,,
periparus_ater,458453,Periparus ater,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\periparus_ater\XC458453.mp3,7.0,10.0,-37.60857854507585,-40.0,species,Periparus ater,Coal Tit,0.9798887372016907,0.9798887372016907,species,0.0,,,
periparus_ater,458453,Periparus ater,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\periparus_ater\XC458453.mp3,10.0,13.0,-36.26119999870328,-40.0,species,Periparus ater,Coal Tit,0.9472571611404419,0.9472571611404419,species,1.0,rand_species,bird_data\clips\species\periparus_ater\XC458453__s10000__e13000.wav,
periparus_ater,458453,Periparus ater,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\periparus_ater\XC458453.mp3,13.0,16.0,-30.884468408127507,-40.0,species,Periparus ater,Coal Tit,0.9900202751159668,0.9900202751159668,species,1.0,rand_species,bird_data\clips\species\periparus_ater\XC458453__s13000__e16000.wav,
periparus_ater,458453,Periparus ater,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\periparus_ater\XC458453.mp3,19.0,22.0,-25.419185952123637,-40.0,species,Periparus ater,Coal Tit,0.9980371594429016,0.9980371594429016,species,1.0,rand_species,bird_data\clips\species\periparus_ater\XC458453__s19000__e22000.wav,
periparus_ater,890570,Periparus ater,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\periparus_ater\XC890570.mp3,4.0,7.0,-47.61740883704752,-40.0,species,Periparus ater,Coal Tit,0.9911062121391296,0.9911062121391296,species,1.0,rand_species,bird_data\clips\species\periparus_ater\XC890570__s4000__e7000.wav,
periparus_ater,985198,Periparus ater,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\periparus_ater\XC985198.mp3,7.0,10.0,-37.97193947687778,-38.99261959240707,species,Periparus ater,Coal Tit,0.9235110282897949,0.9235110282897949,species,1.0,rand_species,bird_data\clips\species\periparus_ater\XC985198__s7000__e10000.wav,
periparus_ater,985198,Periparus ater,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\periparus_ater\XC985198.mp3,10.0,13.0,-34.960083391569306,-38.99261959240707,species,Periparus ater,Coal Tit,0.9200888276100159,0.9200888276100159,species,1.0,rand_species,bird_data\clips\species\periparus_ater\XC985198__s10000__e13000.wav,
periparus_ater,985198,Periparus ater,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\periparus_ater\XC985198.mp3,13.0,16.0,-32.40486416483392,-38.99261959240707,species,Periparus ater,Coal Tit,0.9757736325263977,0.9757736325263977,species,1.0,rand_species,bird_data\clips\species\periparus_ater\XC985198__s13000__e16000.wav,
