xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
775317,Periparus ater,Coal Tit,Dan Lombard,United Kingdom,2023-01-12,10:00,8,B,song,field recording,no,[],44100,https://xeno-canto.org/775317,https://xeno-canto.org/775317/download,bird_data\raw\periparus_ater\XC775317.mp3
458453,Periparus ater,Coal Tit,David Darrell-Lambert,United Kingdom,2019-02-23,08:30,22,A,song,field recording,yes,[],48000,https://xeno-canto.org/458453,https://xeno-canto.org/458453/download,bird_data\raw\periparus_ater\XC458453.mp3
890570,Periparus ater,Coal Tit,Mark Plummer,United Kingdom,2024-03-08,09:05,12,A,song,in the hand,no,"[""Cyanistes caeruleus""]",44100,https://xeno-canto.org/890570,https://xeno-canto.org/890570/download,bird_data\raw\periparus_ater\XC890570.mp3
985198,Periparus ater,Coal Tit,David Darrell-Lambert,United Kingdom,2024-04-01,09:30,16,A,song,field recording,yes,[],48000,https://xeno-canto.org/985198,https://xeno-canto.org/985198/download,bird_data\raw\periparus_ater\XC985198.mp3
805085,Periparus ater,Coal Tit,Paul Archer,Ireland,2023-05-28,16:30,55,B,"alarm call, call",field recording,yes,[],48000,https://xeno-canto.org/805085,https://xeno-canto.org/805085/download,bird_data\raw\periparus_ater\XC805085.mp3
1024209,Periparus ater,Coal Tit,Paul Driver,United Kingdom,2025-06-10,07:17,47,B,plastic song,field recording,yes,[],44100,https://xeno-canto.org/1024209,https://xeno-canto.org/1024209/download,bird_data\raw\periparus_ater\XC1024209.mp3
669752,Periparus ater,Coal Tit,Oscar Campbell,Ireland,2021-07-07,07:30,53,B,"call, song",field recording,yes,"[""Phylloscopus trochilus"", ""Pica pica""]",44100,https://xeno-canto.org/669752,https://xeno-canto.org/669752/download,bird_data\raw\periparus_ater\XC669752.mp3
1031991,Periparus ater,Coal Tit,Mark Plummer,United Kingdom,2025-08-22,06:35,4,A,call,field recording,no,[],32000,https://xeno-canto.org/1031991,https://xeno-canto.org/1031991/download,bird_data\raw\periparus_ater\XC1031991.mp3
935099,Periparus ater,Coal Tit,Peter Carr,United Kingdom,2024-09-22,11:16,20,B,song,field recording,yes,"[""Erithacus rubecula""]",48000,https://xeno-canto.org/935099,https://xeno-canto.org/935099/download,bird_data\raw\periparus_ater\XC935099.mp3
1049344,Periparus ater,Coal Tit,Andrew Harrop,United Kingdom,2025-10-22,12:00,4,B,call,field recording,yes,"[""Anser brachyrhynchus""]",44100,https://xeno-canto.org/1049344,https://xeno-canto.org/1049344/download,bird_data\raw\periparus_ater\XC1049344.mp3
603498,Periparus ater,Coal Tit,Calum Mckellar,United Kingdom,2020-11-13,12:30,18,B,call,field recording,yes,[],44100,https://xeno-canto.org/603498,https://xeno-canto.org/603498/download,bird_data\raw\periparus_ater\XC603498.mp3
935960,Periparus ater,Coal Tit,Arjun Dutta,United Kingdom,2022-12-15,10:00,19,A,call,field recording,yes,[],48000,https://xeno-canto.org/935960,https://xeno-canto.org/935960/download,bird_data\raw\periparus_ater\XC935960.mp3
706893,Periparus ater,Coal Tit,Irish Wildlife Sounds,Ireland,2022-01-30,10:00,25,B,song,field recording,yes,[],44100,https://xeno-canto.org/706893,https://xeno-canto.org/706893/download,bird_data\raw\periparus_ater\XC706893.mp3
313378,Periparus ater,Coal Tit,David Darrell-Lambert,United Kingdom,2016-02-29,14:00,6,A,call,field recording,yes,[],48000,https://xeno-canto.org/313378,https://xeno-canto.org/313378/download,bird_data\raw\periparus_ater\XC313378.mp3
879546,Periparus ater,Coal Tit,David Pennington,United Kingdom,2024-03-05,10:11,27,A,song,field recording,yes,[],48000,https://xeno-canto.org/879546,https://xeno-canto.org/879546/download,bird_data\raw\periparus_ater\XC879546.mp3
789862,Periparus ater,Coal Tit,Simon Elliott,United Kingdom,1999-04-25,08:00,49,A,song,field recording,yes,"[""Columba palumbus"", ""Phylloscopus trochilus"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/789862,https://xeno-canto.org/789862/download,bird_data\raw\periparus_ater\XC789862.mp3
778143,Periparus ater,Coal Tit,Paul Driver,United Kingdom,2016-05-02,06:53,42,B,song,field recording,yes,[],44100,https://xeno-canto.org/778143,https://xeno-canto.org/778143/download,bird_data\raw\periparus_ater\XC778143.mp3
1010000,Periparus ater,Coal Tit,David Darrell-Lambert,United Kingdom,2025-06-27,07:00,12,B,song,field recording,yes,[],32000,https://xeno-canto.org/1010000,https://xeno-canto.org/1010000/download,bird_data\raw\periparus_ater\XC1010000.mp3
576366,Periparus ater,Coal Tit,Mr Mark Shorten,Ireland,2020-07-16,09:30,44,B,call,field recording,no,"[""Regulus regulus""]",44100,https://xeno-canto.org/576366,https://xeno-canto.org/576366/download,bird_data\raw\periparus_ater\XC576366.mp3
1031997,Periparus ater,Coal Tit,Mark Plummer,United Kingdom,2025-08-23,07:28,29,B,song,field recording,no,[],32000,https://xeno-canto.org/1031997,https://xeno-canto.org/1031997/download,bird_data\raw\periparus_ater\XC1031997.mp3
588177,Periparus ater,Coal Tit,Calum Mckellar,United Kingdom,2020-09-08,06:30,14,B,song,field recording,no,"[""Erithacus rubecula""]",44100,https://xeno-canto.org/588177,https://xeno-canto.org/588177/download,bird_data\raw\periparus_ater\XC588177.mp3
774636,Periparus ater,Coal Tit,Dan Lombard,United Kingdom,2020-10-27,15:30,10,B,song,field recording,yes,[],44100,https://xeno-canto.org/774636,https://xeno-canto.org/774636/download,bird_data\raw\periparus_ater\XC774636.mp3
622879,Periparus ater,Coal Tit,Gianluca Congi,Italy,2020-11-27,10:56,17,A,song,field recording,no,[],44100,https://xeno-canto.org/622879,https://xeno-canto.org/622879/download,bird_data\raw\periparus_ater\XC622879.mp3
956754,Periparus ater,Coal Tit,Andrew Harrop,United Kingdom,2024-12-26,11:00,11,B,call,field recording,yes,"[""Coloeus monedula""]",44100,https://xeno-canto.org/956754,https://xeno-canto.org/956754/download,bird_data\raw\periparus_ater\XC956754.mp3
706836,Periparus ater,Coal Tit,Irish Wildlife Sounds,Ireland,2022-01-17,10:00,29,B,song,field recording,yes,[],44100,https://xeno-canto.org/706836,https://xeno-canto.org/706836/download,bird_data\raw\periparus_ater\XC706836.mp3
971855,Periparus ater,Coal Tit,Paul Kelly,Ireland,2025-02-06,10:30,48,B,"song, Car passing.",field recording,yes,"[""Troglodytes troglodytes""]",44100,https://xeno-canto.org/971855,https://xeno-canto.org/971855/download,bird_data\raw\periparus_ater\XC971855.mp3
637591,Periparus ater,Coal Tit,Irish Wildlife Sounds,Ireland,2021-03-31,10:00,23,A,"song, high trill",field recording,unknown,[],44100,https://xeno-canto.org/637591,https://xeno-canto.org/637591/download,bird_data\raw\periparus_ater\XC637591.mp3
911118,Periparus ater,Coal Tit,Molly Bell,Ireland,2024-04-07,15:11,9,B,song,field recording,yes,[],44100,https://xeno-canto.org/911118,https://xeno-canto.org/911118/download,bird_data\raw\periparus_ater\XC911118.mp3
563194,Periparus ater,Coal Tit,B Whyte,United Kingdom,2020-05-29,14:00,20,B,call,field recording,yes,[],44100,https://xeno-canto.org/563194,https://xeno-canto.org/563194/download,bird_data\raw\periparus_ater\XC563194.mp3
1005419,Periparus ater,Coal Tit,Paul Driver,United Kingdom,2025-06-10,07:17,51,B,"song, plastic song",field recording,no,[],44100,https://xeno-canto.org/1005419,https://xeno-canto.org/1005419/download,bird_data\raw\periparus_ater\XC1005419.mp3
576365,Periparus ater,Coal Tit,Mr Mark Shorten,Ireland,2020-07-16,09:30,35,B,call,field recording,no,"[""Regulus regulus""]",44100,https://xeno-canto.org/576365,https://xeno-canto.org/576365/download,bird_data\raw\periparus_ater\XC576365.mp3
1029276,Periparus ater,Coal Tit,Agris Celmins,United Kingdom,2024-08-17,07:18,28,B,song,field recording,no,[],44100,https://xeno-canto.org/1029276,https://xeno-canto.org/1029276/download,bird_data\raw\periparus_ater\XC1029276.mp3
1040127,Periparus ater,Coal Tit,Jorge Leitão,Portugal,2025-09-17,11:12,17,A,song,field recording,yes,[],44100,https://xeno-canto.org/1040127,https://xeno-canto.org/1040127/download,bird_data\raw\periparus_ater\XC1040127.mp3
598123,Periparus ater,Coal Tit,Craig Brookes,United Kingdom,2020-10-22,10:45,54,B,call,field recording,yes,"[""Fringilla coelebs"", ""Corvus corone"", ""Linaria cannabina""]",44100,https://xeno-canto.org/598123,https://xeno-canto.org/598123/download,bird_data\raw\periparus_ater\XC598123.mp3
510706,Periparus ater,Coal Tit,Marco Dragonetti,Italy,2016-11-04,09:30,21,A,call,field recording,yes,[],48000,https://xeno-canto.org/510706,https://xeno-canto.org/510706/download,bird_data\raw\periparus_ater\XC510706.mp3
956654,Periparus ater,Coal Tit,Paul Driver,United Kingdom,2024-12-24,08:17,51,B,call,field recording,yes,[],44100,https://xeno-canto.org/956654,https://xeno-canto.org/956654/download,bird_data\raw\periparus_ater\XC956654.mp3
628797,Periparus ater,Coal Tit,Sean Morris,United Kingdom,2021-01-31,11:34,9,B,song,field recording,no,[],44100,https://xeno-canto.org/628797,https://xeno-canto.org/628797/download,bird_data\raw\periparus_ater\XC628797.mp3
788474,Periparus ater,Coal Tit,Stuart Fisher,United Kingdom,2023-02-25,09:00,38,B,call,field recording,yes,"[""Corvus corone"", ""Troglodytes troglodytes"", ""Phylloscopus collybita""]",48000,https://xeno-canto.org/788474,https://xeno-canto.org/788474/download,bird_data\raw\periparus_ater\XC788474.mp3
983668,Periparus ater,Coal Tit,Paul Driver,United Kingdom,2025-03-11,09:30,39,B,call,field recording,yes,"[""Fringilla coelebs"", ""Erithacus rubecula""]",48000,https://xeno-canto.org/983668,https://xeno-canto.org/983668/download,bird_data\raw\periparus_ater\XC983668.mp3
794351,Periparus ater,Coal Tit,Stuart Fisher,United Kingdom,2023-04-06,06:00,32,B,song,field recording,no,"[""Cyanistes caeruleus"", ""Alectoris rufa"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/794351,https://xeno-canto.org/794351/download,bird_data\raw\periparus_ater\XC794351.mp3
558302,Periparus ater,Coal Tit,B Whyte,United Kingdom,2020-05-14,11:30,18,B,call,field recording,yes,"[""Phylloscopus collybita""]",44100,https://xeno-canto.org/558302,https://xeno-canto.org/558302/download,bird_data\raw\periparus_ater\XC558302.mp3
