xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
775317,Periparus ater,Coal Tit,Dan Lombard,United Kingdom,2023-01-12,10:00,8,B,song,field recording,no,[],44100,https://xeno-canto.org/775317,https://xeno-canto.org/775317/download,
458453,Periparus ater,Coal Tit,David Darrell-Lambert,United Kingdom,2019-02-23,08:30,22,A,song,field recording,yes,[],48000,https://xeno-canto.org/458453,https://xeno-canto.org/458453/download,
890570,Periparus ater,Coal Tit,Mark Plummer,United Kingdom,2024-03-08,09:05,12,A,song,in the hand,no,"[""Cyanistes caeruleus""]",44100,https://xeno-canto.org/890570,https://xeno-canto.org/890570/download,
985198,Periparus ater,Coal Tit,David Darrell-Lambert,United Kingdom,2024-04-01,09:30,16,A,song,field recording,yes,[],48000,https://xeno-canto.org/985198,https://xeno-canto.org/985198/download,
805085,Periparus ater,Coal Tit,Paul Archer,Ireland,2023-05-28,16:30,55,B,"alarm call, call",field recording,yes,[],48000,https://xeno-canto.org/805085,https://xeno-canto.org/805085/download,
1024209,Periparus ater,Coal Tit,Paul Driver,United Kingdom,2025-06-10,07:17,47,B,plastic song,field recording,yes,[],44100,https://xeno-canto.org/1024209,https://xeno-canto.org/1024209/download,
669752,Periparus ater,Coal Tit,Oscar Campbell,Ireland,2021-07-07,07:30,53,B,"call, song",field recording,yes,"[""Phylloscopus trochilus"", ""Pica pica""]",44100,https://xeno-canto.org/669752,https://xeno-canto.org/669752/download,
1031991,Periparus ater,Coal Tit,Mark Plummer,United Kingdom,2025-08-22,06:35,4,A,call,field recording,no,[],32000,https://xeno-canto.org/1031991,https://xeno-canto.org/1031991/download,
935099,Periparus ater,Coal Tit,Peter Carr,United Kingdom,2024-09-22,11:16,20,B,song,field recording,yes,"[""Erithacus rubecula""]",48000,https://xeno-canto.org/935099,https://xeno-canto.org/935099/download,
1049344,Periparus ater,Coal Tit,Andrew Harrop,United Kingdom,2025-10-22,12:00,4,B,call,field recording,yes,"[""Anser brachyrhynchus""]",44100,https://xeno-canto.org/1049344,https://xeno-canto.org/1049344/download,
603498,Periparus ater,Coal Tit,Calum Mckellar,United Kingdom,2020-11-13,12:30,18,B,call,field recording,yes,[],44100,https://xeno-canto.org/603498,https://xeno-canto.org/603498/download,
935960,Periparus ater,Coal Tit,Arjun Dutta,United Kingdom,2022-12-15,10:00,19,A,call,field recording,yes,[],48000,https://xeno-canto.org/935960,https://xeno-canto.org/935960/download,
706893,Periparus ater,Coal Tit,Irish Wildlife Sounds,Ireland,2022-01-30,10:00,25,B,song,field recording,yes,[],44100,https://xeno-canto.org/706893,https://xeno-canto.org/706893/download,
313378,Periparus ater,Coal Tit,David Darrell-Lambert,United Kingdom,2016-02-29,14:00,6,A,call,field recording,yes,[],48000,https://xeno-canto.org/313378,https://xeno-canto.org/313378/download,
879546,Periparus ater,Coal Tit,David Pennington,United Kingdom,2024-03-05,10:11,27,A,song,field recording,yes,[],48000,https://xeno-canto.org/879546,https://xeno-canto.org/879546/download,
789862,Periparus ater,Coal Tit,Simon Elliott,United Kingdom,1999-04-25,08:00,49,A,song,field recording,yes,"[""Columba palumbus"", ""Phylloscopus trochilus"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/789862,https://xeno-canto.org/789862/download,
778143,Periparus ater,Coal Tit,Paul Driver,United Kingdom,2016-05-02,06:53,42,B,song,field recording,yes,[],44100,https://xeno-canto.org/778143,https://xeno-canto.org/778143/download,
1010000,Periparus ater,Coal Tit,David Darrell-Lambert,United Kingdom,2025-06-27,07:00,12,B,song,field recording,yes,[],32000,https://xeno-canto.org/1010000,https://xeno-canto.org/1010000/download,
576366,Periparus ater,Coal Tit,Mr Mark Shorten,Ireland,2020-07-16,09:30,44,B,call,field recording,no,"[""Regulus regulus""]",44100,https://xeno-canto.org/576366,https://xeno-canto.org/576366/download,
1031997,Periparus ater,Coal Tit,Mark Plummer,United Kingdom,2025-08-23,07:28,29,B,song,field recording,no,[],32000,https://xeno-canto.org/1031997,https://xeno-canto.org/1031997/download,
588177,Periparus ater,Coal Tit,Calum Mckellar,United Kingdom,2020-09-08,06:30,14,B,song,field recording,no,"[""Erithacus rubecula""]",44100,https://xeno-canto.org/588177,https://xeno-canto.org/588177/download,
774636,Periparus ater,Coal Tit,Dan Lombard,United Kingdom,2020-10-27,15:30,10,B,song,field recording,yes,[],44100,https://xeno-canto.org/774636,https://xeno-canto.org/774636/download,
622879,Periparus ater,Coal Tit,Gianluca Congi,Italy,2020-11-27,10:56,17,A,song,field recording,no,[],44100,https://xeno-canto.org/622879,https://xeno-canto.org/622879/download,
956754,Periparus ater,Coal Tit,Andrew Harrop,United Kingdom,2024-12-26,11:00,11,B,call,field recording,yes,"[""Coloeus monedula""]",44100,https://xeno-canto.org/956754,https://xeno-canto.org/956754/download,
706836,Periparus ater,Coal Tit,Irish Wildlife Sounds,Ireland,2022-01-17,10:00,29,B,song,field recording,yes,[],44100,https://xeno-canto.org/706836,https://xeno-canto.org/706836/download,
971855,Periparus ater,Coal Tit,Paul Kelly,Ireland,2025-02-06,10:30,48,B,"song, Car passing.",field recording,yes,"[""Troglodytes troglodytes""]",44100,https://xeno-canto.org/971855,https://xeno-canto.org/971855/download,
637591,Periparus ater,Coal Tit,Irish Wildlife Sounds,Ireland,2021-03-31,10:00,23,A,"song, high trill",field recording,unknown,[],44100,https://xeno-canto.org/637591,https://xeno-canto.org/637591/download,
911118,Periparus ater,Coal Tit,Molly Bell,Ireland,2024-04-07,15:11,9,B,song,field recording,yes,[],44100,https://xeno-canto.org/911118,https://xeno-canto.org/911118/download,
563194,Periparus ater,Coal Tit,B Whyte,United Kingdom,2020-05-29,14:00,20,B,call,field recording,yes,[],44100,https://xeno-canto.org/563194,https://xeno-canto.org/563194/download,
1005419,Periparus ater,Coal Tit,Paul Driver,United Kingdom,2025-06-10,07:17,51,B,"song, plastic song",field recording,no,[],44100,https://xeno-canto.org/1005419,https://xeno-canto.org/1005419/download,
576365,Periparus ater,Coal Tit,Mr Mark Shorten,Ireland,2020-07-16,09:30,35,B,call,field recording,no,"[""Regulus regulus""]",44100,https://xeno-canto.org/576365,https://xeno-canto.org/576365/download,
1029276,Periparus ater,Coal Tit,Agris Celmins,United Kingdom,2024-08-17,07:18,28,B,song,field recording,no,[],44100,https://xeno-canto.org/1029276,https://xeno-canto.org/1029276/download,
1040127,Periparus ater,Coal Tit,Jorge Leitão,Portugal,2025-09-17,11:12,17,A,song,field recording,yes,[],44100,https://xeno-canto.org/1040127,https://xeno-canto.org/1040127/download,
598123,Periparus ater,Coal Tit,Craig Brookes,United Kingdom,2020-10-22,10:45,54,B,call,field recording,yes,"[""Fringilla coelebs"", ""Corvus corone"", ""Linaria cannabina""]",44100,https://xeno-canto.org/598123,https://xeno-canto.org/598123/download,
510706,Periparus ater,Coal Tit,Marco Dragonetti,Italy,2016-11-04,09:30,21,A,call,field recording,yes,[],48000,https://xeno-canto.org/510706,https://xeno-canto.org/510706/download,
956654,Periparus ater,Coal Tit,Paul Driver,United Kingdom,2024-12-24,08:17,51,B,call,field recording,yes,[],44100,https://xeno-canto.org/956654,https://xeno-canto.org/956654/download,
628797,Periparus ater,Coal Tit,Sean Morris,United Kingdom,2021-01-31,11:34,9,B,song,field recording,no,[],44100,https://xeno-canto.org/628797,https://xeno-canto.org/628797/download,
788474,Periparus ater,Coal Tit,Stuart Fisher,United Kingdom,2023-02-25,09:00,38,B,call,field recording,yes,"[""Corvus corone"", ""Troglodytes troglodytes"", ""Phylloscopus collybita""]",48000,https://xeno-canto.org/788474,https://xeno-canto.org/788474/download,
