xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1067618,Phasianus colchicus,Common Pheasant,Lennart Jeppsson,Sweden,2025-12-21,09:30,16,A,"alarm call, flight call",field recording,yes,[],44100,https://xeno-canto.org/1067618,https://xeno-canto.org/1067618/download,
1063697,Phasianus colchicus,Common Pheasant,Mark Plummer,United Kingdom,2025-12-09,09:59,7,A,call,field recording,no,"[""Erithacus rubecula""]",32000,https://xeno-canto.org/1063697,https://xeno-canto.org/1063697/download,
1015433,Phasianus colchicus,Common Pheasant,David Darrell-Lambert,United Kingdom,2021-02-11,10:00,11,A,alarm call,field recording,yes,[],24000,https://xeno-canto.org/1015433,https://xeno-canto.org/1015433/download,
1015407,Phasianus colchicus,Common Pheasant,David Darrell-Lambert,United Kingdom,2023-09-13,07:30,6,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/1015407,https://xeno-canto.org/1015407/download,
937252,Phasianus colchicus,Common Pheasant,Ulf Elman,Sweden,2017-05-05,00:00,5,A,song,field recording,unknown,[],48000,https://xeno-canto.org/937252,https://xeno-canto.org/937252/download,
937251,Phasianus colchicus,Common Pheasant,Ulf Elman,Sweden,2017-05-05,00:00,8,A,song,field recording,unknown,[],48000,https://xeno-canto.org/937251,https://xeno-canto.org/937251/download,
937250,Phasianus colchicus,Common Pheasant,Ulf Elman,Sweden,2017-05-05,00:00,4,A,song,field recording,unknown,[],48000,https://xeno-canto.org/937250,https://xeno-canto.org/937250/download,
929867,Phasianus colchicus,Common Pheasant,Bram Piot,Belgium,2024-08-18,10:45,31,A,call,field recording,yes,[],44100,https://xeno-canto.org/929867,https://xeno-canto.org/929867/download,
895082,Phasianus colchicus,Common Pheasant,Martin Billard,France,2024-04-08,09:45,18,A,call,field recording,yes,[],44100,https://xeno-canto.org/895082,https://xeno-canto.org/895082/download,
890518,Phasianus colchicus,Common Pheasant,Grégoire Chauvot,France,2022-03-27,15:15,6,A,,field recording,yes,[],48000,https://xeno-canto.org/890518,https://xeno-canto.org/890518/download,
784775,Phasianus colchicus,Common Pheasant,Christian Bøggild,Denmark,2022-12-06,08:48,49,A,call,field recording,yes,[],48000,https://xeno-canto.org/784775,https://xeno-canto.org/784775/download,
784065,Phasianus colchicus,Common Pheasant,Dean McDonnell,Ireland,2023-02-19,06:00,10,A,"call, Wingbeats",field recording,no,[],48000,https://xeno-canto.org/784065,https://xeno-canto.org/784065/download,
