xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1078542,Phylloscopus collybita,Common Chiffchaff,David Darrell-Lambert,United Kingdom,2026-02-08,13:00,48,A,"aberrant, song",field recording,yes,[],48000,https://xeno-canto.org/1078542,https://xeno-canto.org/1078542/download,
1071008,Phylloscopus collybita,Common Chiffchaff,Jacobo Ramil Millarengo,Spain,2026-01-04,09:00,14,A,song,field recording,yes,[],44100,https://xeno-canto.org/1071008,https://xeno-canto.org/1071008/download,
1055979,Phylloscopus collybita,Common Chiffchaff,João Tomás,Spain,2025-11-16,8:56,30,A,"song, Agressive calls.",field recording,yes,"[""Sturnus unicolor""]",44100,https://xeno-canto.org/1055979,https://xeno-canto.org/1055979/download,
1053323,Phylloscopus collybita,Common Chiffchaff,Jacobo Ramil Millarengo,Spain,2025-11-08,11:30,22,A,call,field recording,yes,[],44100,https://xeno-canto.org/1053323,https://xeno-canto.org/1053323/download,
1048070,Phylloscopus collybita,Common Chiffchaff,Thierry THOMAS,France,2025-10-09,10:02,14,A,call,field recording,no,[],44100,https://xeno-canto.org/1048070,https://xeno-canto.org/1048070/download,
1035832,Phylloscopus collybita,Common Chiffchaff,Miika Silfverberg,Finland,2025-09-04,10:39,28,A,call,field recording,yes,"[""Anas platyrhynchos""]",48000,https://xeno-canto.org/1035832,https://xeno-canto.org/1035832/download,
1033984,Phylloscopus collybita,Common Chiffchaff,Leons Mathew Abraham,United Kingdom,2023-04-07,15:15,20,A,song,field recording,yes,"[""Corvus corone""]",48000,https://xeno-canto.org/1033984,https://xeno-canto.org/1033984/download,
1031004,Phylloscopus collybita,Common Chiffchaff,Jorge Leitão,Portugal,2025-08-19,07:23,20,A,song,field recording,yes,[],44100,https://xeno-canto.org/1031004,https://xeno-canto.org/1031004/download,
1010669,Phylloscopus collybita,Common Chiffchaff,Lars Edenius,Sweden,2025-07-01,07:00,52,A,"call, song",field recording,yes,[],48000,https://xeno-canto.org/1010669,https://xeno-canto.org/1010669/download,
994607,Phylloscopus collybita,Common Chiffchaff,João Tomás,Spain,2025-03-16,18:30,35,A,call,field recording,yes,"[""Turdus merula"", ""Lullula arborea"", ""Certhia brachydactyla""]",44100,https://xeno-canto.org/994607,https://xeno-canto.org/994607/download,
992402,Phylloscopus collybita,Common Chiffchaff,"Olivier SWIFT, Hélène CARTAUD",France,2024-04-18,07:31,42,A,song,field recording,yes,"[""Columba palumbus"", ""Fulica atra"", ""Luscinia megarhynchos"", ""Chroicocephalus ridibundus"", ""Podiceps cristatus""]",48000,https://xeno-canto.org/992402,https://xeno-canto.org/992402/download,
991172,Phylloscopus collybita,Common Chiffchaff,Olivier SWIFT,France,2025-04-20,10:16,42,A,song,field recording,yes,"[""Fringilla coelebs"", ""Lullula arborea"", ""Parus major"", ""Gryllus campestris""]",48000,https://xeno-canto.org/991172,https://xeno-canto.org/991172/download,
991171,Phylloscopus collybita,Common Chiffchaff,Olivier SWIFT,France,2025-04-20,10:14,37,A,song,field recording,yes,"[""Fringilla coelebs"", ""Gryllus campestris"", ""Phylloscopus bonelli""]",48000,https://xeno-canto.org/991171,https://xeno-canto.org/991171/download,
989756,Phylloscopus collybita,Common Chiffchaff,Jarek Matusiak,Poland,2025-04-17,17:00,53,A,song,field recording,yes,"[""Alauda arvensis"", ""Emberiza calandra""]",48000,https://xeno-canto.org/989756,https://xeno-canto.org/989756/download,
988039,Phylloscopus collybita,Common Chiffchaff,Arend Wassink,Netherlands,2025-04-14,10:00,45,A,song,field recording,yes,"[""Sylvia atricapilla"", ""Turdus merula"", ""Carduelis carduelis""]",48000,https://xeno-canto.org/988039,https://xeno-canto.org/988039/download,
982605,Phylloscopus collybita,Common Chiffchaff,Francesco Sottile,Italy,2025-03-23,15:18,35,A,song,field recording,yes,"[""Regulus ignicapilla"", ""Columba palumbus"", ""Emberiza cirlus"", ""Buteo buteo"", ""Erithacus rubecula"", ""Garrulus glandarius""]",44100,https://xeno-canto.org/982605,https://xeno-canto.org/982605/download,
