xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
351386,Phylloscopus collybita,Common Chiffchaff,Chris Batty,United Kingdom,2017-01-19,09:30,33,A,call,field recording,yes,"[""Turdus merula""]",44100,https://xeno-canto.org/351386,https://xeno-canto.org/351386/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC351386.mp3
1078542,Phylloscopus collybita,Common Chiffchaff,David Darrell-Lambert,United Kingdom,2026-02-08,13:00,48,A,"aberrant, song",field recording,yes,[],48000,https://xeno-canto.org/1078542,https://xeno-canto.org/1078542/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC1078542.mp3
884599,Phylloscopus collybita,Common Chiffchaff,David Bissett,United Kingdom,2024-03-25,12:30,30,A,song,field recording,no,[],96000,https://xeno-canto.org/884599,https://xeno-canto.org/884599/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC884599.mp3
1033984,Phylloscopus collybita,Common Chiffchaff,Leons Mathew Abraham,United Kingdom,2023-04-07,15:15,20,A,song,field recording,yes,"[""Corvus corone""]",48000,https://xeno-canto.org/1033984,https://xeno-canto.org/1033984/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC1033984.mp3
666837,Phylloscopus collybita,Common Chiffchaff,Irish Wildlife Sounds,Ireland,2021-05-30,13:00,55,A,"song, tret notes",field recording,yes,[],44100,https://xeno-canto.org/666837,https://xeno-canto.org/666837/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC666837.mp3
566729,Phylloscopus collybita,Common Chiffchaff,Mr Mark Shorten,Ireland,2020-06-09,08:30,29,A,song,field recording,no,[],48000,https://xeno-canto.org/566729,https://xeno-canto.org/566729/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC566729.mp3
185758,Phylloscopus collybita,Common Chiffchaff,Dawid Jablonski,United Kingdom,2014-07-06,17:00,25,A,call,field recording,yes,[],44100,https://xeno-canto.org/185758,https://xeno-canto.org/185758/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC185758.mp3
1063368,Phylloscopus collybita,Common Chiffchaff,Harry Appleyard,United Kingdom,2025-08-12,09:20,7,B,"aberrant, call",field recording,yes,"[""Aegithalos caudatus"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/1063368,https://xeno-canto.org/1063368/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC1063368.mp3
1044416,Phylloscopus collybita,Common Chiffchaff,Paul Kelly,Ireland,2025-09-26,07:00,17,B,"aberrant, call",field recording,no,"[""Erithacus rubecula""]",24000,https://xeno-canto.org/1044416,https://xeno-canto.org/1044416/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC1044416.mp3
946732,Phylloscopus collybita,Common Chiffchaff,Paul Kelly,Ireland,2024-10-29,23:30,16,B,call,field recording,no,"[""Turdus iliacus"", ""Cygnus cygnus""]",44100,https://xeno-canto.org/946732,https://xeno-canto.org/946732/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC946732.mp3
1063440,Phylloscopus collybita,Common Chiffchaff,Paul Kelly,Ireland,2025-11-26,16:00,7,B,call,field recording,no,[],24000,https://xeno-canto.org/1063440,https://xeno-canto.org/1063440/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC1063440.mp3
1071264,Phylloscopus collybita,Common Chiffchaff,Paul Kelly,Ireland,2025-12-29,16:30,26,B,"aberrant, call",field recording,no,[],24000,https://xeno-canto.org/1071264,https://xeno-canto.org/1071264/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC1071264.mp3
964947,Phylloscopus collybita,Common Chiffchaff,Paul Bate,United Kingdom,2025-01-22,14:00,33,B,call,field recording,yes,"[""Erithacus rubecula""]",44100,https://xeno-canto.org/964947,https://xeno-canto.org/964947/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC964947.mp3
975615,Phylloscopus collybita,Common Chiffchaff,Paul Kelly,Ireland,2025-02-16,17:30,11,B,"aberrant, call, Ocean.",field recording,no,"[""Regulus regulus""]",44100,https://xeno-canto.org/975615,https://xeno-canto.org/975615/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC975615.mp3
309721,Phylloscopus collybita,Common Chiffchaff,Marc Anderson,United Kingdom,2016-03-30,18:00,20,A,song,field recording,yes,[],48000,https://xeno-canto.org/309721,https://xeno-canto.org/309721/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC309721.mp3
548341,Phylloscopus collybita,Common Chiffchaff,Paul Holt,United Kingdom,2020-04-19,17:30,17,A,"aberrant, song",field recording,yes,"[""Phylloscopus trochilus""]",44100,https://xeno-canto.org/548341,https://xeno-canto.org/548341/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC548341.mp3
452318,Phylloscopus collybita,Common Chiffchaff,Andrew Harrop,United Kingdom,2017-05-24,10:40,30,A,song,field recording,yes,"[""Alauda arvensis""]",44100,https://xeno-canto.org/452318,https://xeno-canto.org/452318/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC452318.mp3
181531,Phylloscopus collybita,Common Chiffchaff,david m,United Kingdom,2013-06-29,07:02,50,A,"call, song",field recording,yes,[],48000,https://xeno-canto.org/181531,https://xeno-canto.org/181531/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC181531.mp3
1059328,Phylloscopus collybita,Common Chiffchaff,Lionel Triboulin,Ireland,2025-07-23,15:30,11,B,call,field recording,yes,[],44100,https://xeno-canto.org/1059328,https://xeno-canto.org/1059328/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC1059328.mp3
1063366,Phylloscopus collybita,Common Chiffchaff,Harry Appleyard,United Kingdom,2025-08-12,08:50,6,B,call,field recording,yes,"[""Aegithalos caudatus""]",48000,https://xeno-canto.org/1063366,https://xeno-canto.org/1063366/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC1063366.mp3
1044248,Phylloscopus collybita,Common Chiffchaff,David Darrell-Lambert,United Kingdom,2025-09-30,17:30,4,B,call,field recording,no,[],48000,https://xeno-canto.org/1044248,https://xeno-canto.org/1044248/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC1044248.mp3
943943,Phylloscopus collybita,Common Chiffchaff,Frank X. Moffatt,United Kingdom,2024-10-31,11:30,24,B,call,field recording,yes,[],44100,https://xeno-canto.org/943943,https://xeno-canto.org/943943/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC943943.mp3
1054476,Phylloscopus collybita,Common Chiffchaff,David Darrell-Lambert,United Kingdom,2025-11-13,11:00,15,B,"aberrant, call",field recording,yes,[],48000,https://xeno-canto.org/1054476,https://xeno-canto.org/1054476/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC1054476.mp3
1071263,Phylloscopus collybita,Common Chiffchaff,Paul Kelly,Ireland,2025-12-29,16:30,9,B,call,field recording,no,[],24000,https://xeno-canto.org/1071263,https://xeno-canto.org/1071263/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC1071263.mp3
775787,Phylloscopus collybita,Common Chiffchaff,Paul Kelly,Ireland,2023-01-02,16:30,32,B,call,field recording,no,"[""Prunella modularis""]",44100,https://xeno-canto.org/775787,https://xeno-canto.org/775787/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/phylloscopus_collybita/XC775787.mp3
