xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
983949,Phylloscopus trochilus,Willow Warbler,David Darrell-Lambert,United Kingdom,2025-03-29,07:00,21,B,song,field recording,yes,[],32000,https://xeno-canto.org/983949,https://xeno-canto.org/983949/download,src/dataset/bird_data/raw/phylloscopus_trochilus/XC983949.mp3
1000141,Phylloscopus trochilus,Willow Warbler,David Pennington,United Kingdom,2025-04-27,11:02,45,A,song,field recording,yes,[],48000,https://xeno-canto.org/1000141,https://xeno-canto.org/1000141/download,src/dataset/bird_data/raw/phylloscopus_trochilus/XC1000141.mp3
333437,Phylloscopus trochilus,Willow Warbler,david m,United Kingdom,2016-05-01,07:42,57,A,song,field recording,yes,"[""Curruca curruca"", ""Turdus merula""]",48000,https://xeno-canto.org/333437,https://xeno-canto.org/333437/download,src/dataset/bird_data/raw/phylloscopus_trochilus/XC333437.mp3
822190,Phylloscopus trochilus,Willow Warbler,James Lambert,United Kingdom,2023-06-13,14:15,5,A,song,field recording,yes,[],48000,https://xeno-canto.org/822190,https://xeno-canto.org/822190/download,src/dataset/bird_data/raw/phylloscopus_trochilus/XC822190.mp3
620075,Phylloscopus trochilus,Willow Warbler,david m,United Kingdom,2020-07-25,07:03,47,A,call,field recording,yes,"[""Cyanistes caeruleus"", ""Columba palumbus"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/620075,https://xeno-canto.org/620075/download,src/dataset/bird_data/raw/phylloscopus_trochilus/XC620075.mp3
822853,Phylloscopus trochilus,Willow Warbler,Andrew Harrop,United Kingdom,2023-08-16,08:00,27,B,song,field recording,yes,[],44100,https://xeno-canto.org/822853,https://xeno-canto.org/822853/download,src/dataset/bird_data/raw/phylloscopus_trochilus/XC822853.mp3
977691,Phylloscopus trochilus,Willow Warbler,David Darrell-Lambert,United Kingdom,2024-09-07,10:00,28,B,call,field recording,yes,[],48000,https://xeno-canto.org/977691,https://xeno-canto.org/977691/download,src/dataset/bird_data/raw/phylloscopus_trochilus/XC977691.mp3
597449,Phylloscopus trochilus,Willow Warbler,Amy Robjohns,United Kingdom,2020-10-24,10:00,4,B,call,field recording,yes,[],44100,https://xeno-canto.org/597449,https://xeno-canto.org/597449/download,src/dataset/bird_data/raw/phylloscopus_trochilus/XC597449.mp3
526977,Phylloscopus trochilus,Willow Warbler,Stanislas Wroza,France,2018-11-03,09:00,12,B,call,field recording,yes,[],44100,https://xeno-canto.org/526977,https://xeno-canto.org/526977/download,src/dataset/bird_data/raw/phylloscopus_trochilus/XC526977.mp3
983948,Phylloscopus trochilus,Willow Warbler,David Darrell-Lambert,United Kingdom,2025-03-29,07:00,7,B,call,field recording,yes,[],32000,https://xeno-canto.org/983948,https://xeno-canto.org/983948/download,src/dataset/bird_data/raw/phylloscopus_trochilus/XC983948.mp3
