xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
983949,Phylloscopus trochilus,Willow Warbler,David Darrell-Lambert,United Kingdom,2025-03-29,07:00,21,B,song,field recording,yes,[],32000,https://xeno-canto.org/983949,https://xeno-canto.org/983949/download,
1000141,Phylloscopus trochilus,Willow Warbler,David Pennington,United Kingdom,2025-04-27,11:02,45,A,song,field recording,yes,[],48000,https://xeno-canto.org/1000141,https://xeno-canto.org/1000141/download,
333437,Phylloscopus trochilus,Willow Warbler,david m,United Kingdom,2016-05-01,07:42,57,A,song,field recording,yes,"[""Curruca curruca"", ""Turdus merula""]",48000,https://xeno-canto.org/333437,https://xeno-canto.org/333437/download,
822190,Phylloscopus trochilus,Willow Warbler,James Lambert,United Kingdom,2023-06-13,14:15,5,A,song,field recording,yes,[],48000,https://xeno-canto.org/822190,https://xeno-canto.org/822190/download,
620075,Phylloscopus trochilus,Willow Warbler,david m,United Kingdom,2020-07-25,07:03,47,A,call,field recording,yes,"[""Cyanistes caeruleus"", ""Columba palumbus"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/620075,https://xeno-canto.org/620075/download,
822853,Phylloscopus trochilus,Willow Warbler,Andrew Harrop,United Kingdom,2023-08-16,08:00,27,B,song,field recording,yes,[],44100,https://xeno-canto.org/822853,https://xeno-canto.org/822853/download,
977691,Phylloscopus trochilus,Willow Warbler,David Darrell-Lambert,United Kingdom,2024-09-07,10:00,28,B,call,field recording,yes,[],48000,https://xeno-canto.org/977691,https://xeno-canto.org/977691/download,
597449,Phylloscopus trochilus,Willow Warbler,Amy Robjohns,United Kingdom,2020-10-24,10:00,4,B,call,field recording,yes,[],44100,https://xeno-canto.org/597449,https://xeno-canto.org/597449/download,
526977,Phylloscopus trochilus,Willow Warbler,Stanislas Wroza,France,2018-11-03,09:00,12,B,call,field recording,yes,[],44100,https://xeno-canto.org/526977,https://xeno-canto.org/526977/download,
983948,Phylloscopus trochilus,Willow Warbler,David Darrell-Lambert,United Kingdom,2025-03-29,07:00,7,B,call,field recording,yes,[],32000,https://xeno-canto.org/983948,https://xeno-canto.org/983948/download,
938544,Phylloscopus trochilus,Willow Warbler,Arjun Dutta,United Kingdom,2023-04-29,09:00,29,A,song,field recording,yes,"[""Acrocephalus schoenobaenus"", ""Cettia cetti""]",44100,https://xeno-canto.org/938544,https://xeno-canto.org/938544/download,
188565,Phylloscopus trochilus,Willow Warbler,david m,United Kingdom,2014-05-02,06:49,51,A,song,field recording,yes,"[""Emberiza citrinella"", ""Coturnix coturnix""]",48000,https://xeno-canto.org/188565,https://xeno-canto.org/188565/download,
687547,Phylloscopus trochilus,Willow Warbler,Irish Wildlife Sounds,Ireland,2021-06-18,13:00,36,A,"aberrant, song, mixed singer",field recording,yes,[],44100,https://xeno-canto.org/687547,https://xeno-canto.org/687547/download,
1024439,Phylloscopus trochilus,Willow Warbler,Thomas Coldwell,United Kingdom,2025-07-29,11:51,6,B,"alarm call, call",field recording,yes,[],44100,https://xeno-canto.org/1024439,https://xeno-canto.org/1024439/download,
749524,Phylloscopus trochilus,Willow Warbler,Irish Wildlife Sounds,Ireland,2022-08-23,09:00,46,B,call,field recording,no,"[""Curruca communis""]",44100,https://xeno-canto.org/749524,https://xeno-canto.org/749524/download,
673469,Phylloscopus trochilus,Willow Warbler,Martin Wood,United Kingdom,2021-09-05,05:30,17,B,call,field recording,no,[],44100,https://xeno-canto.org/673469,https://xeno-canto.org/673469/download,
1047057,Phylloscopus trochilus,Willow Warbler,João Tomás,Spain,2025-10-05,8:25,47,A,call,field recording,yes,"[""Motacilla alba"", ""Motacilla cinerea""]",44100,https://xeno-canto.org/1047057,https://xeno-canto.org/1047057/download,
983063,Phylloscopus trochilus,Willow Warbler,David Darrell-Lambert,United Kingdom,2025-03-26,07:30,3,B,song,field recording,yes,[],32000,https://xeno-canto.org/983063,https://xeno-canto.org/983063/download,
938543,Phylloscopus trochilus,Willow Warbler,Arjun Dutta,United Kingdom,2024-04-13,09:00,16,A,song,field recording,yes,[],44100,https://xeno-canto.org/938543,https://xeno-canto.org/938543/download,
169059,Phylloscopus trochilus,Willow Warbler,david m,United Kingdom,2012-05-06,07:38,20,A,song,field recording,yes,[],48000,https://xeno-canto.org/169059,https://xeno-canto.org/169059/download,
