species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
pica_pica,863515,Pica pica,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\pica_pica\XC863515.mp3,1.0,4.0,-32.218933253623014,-32.218933253623014,species,Pica pica,Eurasian Magpie,0.9985643029212952,0.9985643029212952,species,1.0,rand_species,bird_data\clips\species\pica_pica\XC863515__s1000__e4000.wav,
pica_pica,599983,Pica pica,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\pica_pica\XC599983.mp3,1.0,4.0,-34.385998448028026,-40.0,species,Pica pica,Eurasian Magpie,0.9899896383285522,0.9899896383285522,species,0.0,,,
pica_pica,599983,Pica pica,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\pica_pica\XC599983.mp3,7.0,10.0,-34.872534627246395,-40.0,species,Pica pica,Eurasian Magpie,0.9866677522659302,0.9866677522659302,species,0.0,,,
pica_pica,599983,Pica pica,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\pica_pica\XC599983.mp3,10.0,13.0,-34.735259846425485,-40.0,species,Pica pica,Eurasian Magpie,0.9813578724861145,0.9813578724861145,species,1.0,rand_species,bird_data\clips\species\pica_pica\XC599983__s10000__e13000.wav,
pica_pica,599983,Pica pica,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\pica_pica\XC599983.mp3,13.0,16.0,-34.63971988389925,-40.0,species,Pica pica,Eurasian Magpie,0.8391569256782532,0.8391569256782532,species,1.0,rand_species,bird_data\clips\species\pica_pica\XC599983__s13000__e16000.wav,
pica_pica,599983,Pica pica,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\pica_pica\XC599983.mp3,22.0,25.0,-36.898904015138534,-40.0,species,Pica pica,Eurasian Magpie,0.9919169545173645,0.9919169545173645,species,1.0,rand_species,bird_data\clips\species\pica_pica\XC599983__s22000__e25000.wav,
pica_pica,786621,,,,,,,,,,,,,,,,no_windows
pica_pica,915379,Pica pica,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\pica_pica\XC915379.mp3,1.0,4.0,-68.22189254250188,-40.0,non_bird,,,0.0,0.0,non_bird,1.0,nonbird_lowconf,bird_data\clips\non_bird\pica_pica\XC915379__s1000__e4000.wav,
pica_pica,999018,Pica pica,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\pica_pica\XC999018.mp3,1.0,4.0,-24.177725593004197,-24.177725593004197,species,Pica pica,Eurasian Magpie,0.9941921830177307,0.9941921830177307,species,1.0,rand_species,bird_data\clips\species\pica_pica\XC999018__s1000__e4000.wav,
pica_pica,183412,Pica pica,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\pica_pica\XC183412.mp3,1.0,4.0,-21.73009235344066,-21.73009235344066,species,Pica pica,Eurasian Magpie,0.7408843040466309,0.7408843040466309,species,1.0,rand_species,bird_data\clips\species\pica_pica\XC183412__s1000__e4000.wav,
pica_pica,744620,Pica pica,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\pica_pica\XC744620.mp3,7.0,10.0,-54.048326439972726,-40.0,species,Pica pica,Eurasian Magpie,0.9829307198524475,0.9829307198524475,species,1.0,rand_species,bird_data\clips\species\pica_pica\XC744620__s7000__e10000.wav,
pica_pica,749486,Pica pica,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\pica_pica\XC749486.mp3,7.0,10.0,-37.29439073278405,-40.0,species,Pica pica,Eurasian Magpie,0.9840197563171387,0.9840197563171387,species,1.0,rand_species,bird_data\clips\species\pica_pica\XC749486__s7000__e10000.wav,
pica_pica,1041668,,,,,,,,,,,,,,,,no_windows
pica_pica,1059919,Pica pica,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\pica_pica\XC1059919.mp3,4.0,7.0,-22.25999177245069,-31.884189925071418,drop,Human non-vocal,Human non-vocal,0.4290413558483124,0.4290413558483124,drop,0.0,,,
pica_pica,1059919,Pica pica,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\pica_pica\XC1059919.mp3,7.0,10.0,-27.517255113029396,-31.884189925071418,drop,Cacicus haemorrhous,Red-rumped Cacique,0.6357553005218506,0.6357553005218506,drop,0.0,,,
