xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
863515,Pica pica,Eurasian Magpie,Paul Kelly,Ireland,2024-01-19,08:00,6,A,call,field recording,no,[],44100,https://xeno-canto.org/863515,https://xeno-canto.org/863515/download,
599983,Pica pica,Eurasian Magpie,Simon Elliott,United Kingdom,2007-02-18,10:30,38,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/599983,https://xeno-canto.org/599983/download,
786621,Pica pica,Eurasian Magpie,Andrew Harrop,United Kingdom,2023-03-18,11:00,2,B,call,field recording,yes,[],44100,https://xeno-canto.org/786621,https://xeno-canto.org/786621/download,
915379,Pica pica,Eurasian Magpie,Arjun Dutta,United Kingdom,2021-04-17,11:00,9,B,"aberrant, call, imitation",field recording,yes,[],44100,https://xeno-canto.org/915379,https://xeno-canto.org/915379/download,
999018,Pica pica,Eurasian Magpie,David Bissett,United Kingdom,2025-05-13,20:30,4,A,alarm call,field recording,no,[],48000,https://xeno-canto.org/999018,https://xeno-canto.org/999018/download,
183412,Pica pica,Eurasian Magpie,Marc Anderson,United Kingdom,2014-06-23,05:00,5,A,call,field recording,no,[],44100,https://xeno-canto.org/183412,https://xeno-canto.org/183412/download,
744620,Pica pica,Eurasian Magpie,Irish Wildlife Sounds,Ireland,2022-07-20,02:13,31,B,"call, stationary nocturnal call",field recording,no,[],44100,https://xeno-canto.org/744620,https://xeno-canto.org/744620/download,
749486,Pica pica,Eurasian Magpie,Irish Wildlife Sounds,Ireland,2022-08-25,09:00,17,A,call,field recording,no,[],44100,https://xeno-canto.org/749486,https://xeno-canto.org/749486/download,
1041668,Pica pica,Eurasian Magpie,David Darrell-Lambert,United Kingdom,2025-09-12,12:30,2,B,call,field recording,yes,[],48000,https://xeno-canto.org/1041668,https://xeno-canto.org/1041668/download,
767200,Pica pica,Eurasian Magpie,Irish Wildlife Sounds,Ireland,2022-10-23,07:30,11,B,call,field recording,no,[],44100,https://xeno-canto.org/767200,https://xeno-canto.org/767200/download,
1059919,Pica pica,Eurasian Magpie,Mark Plummer,United Kingdom,2025-11-22,8:48,31,A,call,field recording,no,[],32000,https://xeno-canto.org/1059919,https://xeno-canto.org/1059919/download,
