xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1074560,Prunella modularis,Dunnock,Laura Martin,France,2026-01-25,10:30,33,A,call,field recording,yes,[],44100,https://xeno-canto.org/1074560,https://xeno-canto.org/1074560/download,
1074559,Prunella modularis,Dunnock,Laura Martin,France,2026-01-25,10:30,46,A,call,field recording,yes,"[""Curruca undata""]",44100,https://xeno-canto.org/1074559,https://xeno-canto.org/1074559/download,
1074558,Prunella modularis,Dunnock,Laura Martin,France,2026-01-25,10:30,51,A,call,field recording,yes,"[""Prunella modularis"", ""Serinus serinus""]",44100,https://xeno-canto.org/1074558,https://xeno-canto.org/1074558/download,
1062380,Prunella modularis,Dunnock,Jorge Leitão,Portugal,2025-12-02,09:23,25,A,call,field recording,yes,[],44100,https://xeno-canto.org/1062380,https://xeno-canto.org/1062380/download,
1054287,Prunella modularis,Dunnock,Lee Alder,United Kingdom,2025-03-22,10:41,47,A,"song, human voices",field recording,no,"[""Branta canadensis"", ""Coloeus monedula"", ""Erithacus rubecula"", ""Carduelis carduelis"", ""Anas platyrhynchos"", ""Passer domesticus""]",48000,https://xeno-canto.org/1054287,https://xeno-canto.org/1054287/download,
1011603,Prunella modularis,Dunnock,Lars Edenius,Sweden,2025-07-05,06:00,35,A,song,field recording,yes,[],48000,https://xeno-canto.org/1011603,https://xeno-canto.org/1011603/download,
1011602,Prunella modularis,Dunnock,Lars Edenius,Sweden,2025-07-05,06:00,31,A,song,field recording,yes,[],48000,https://xeno-canto.org/1011602,https://xeno-canto.org/1011602/download,
1003038,Prunella modularis,Dunnock,Susanne Kuijpers,Netherlands,2025-05-30,22:01,18,A,song,field recording,no,[],44100,https://xeno-canto.org/1003038,https://xeno-canto.org/1003038/download,
991430,Prunella modularis,Dunnock,Lars Edenius,Sweden,2025-04-24,06:00,19,A,song,field recording,yes,"[""Turdus philomelos""]",48000,https://xeno-canto.org/991430,https://xeno-canto.org/991430/download,
991429,Prunella modularis,Dunnock,Lars Edenius,Sweden,2025-04-24,06:00,20,A,song,field recording,yes,[],48000,https://xeno-canto.org/991429,https://xeno-canto.org/991429/download,
982393,Prunella modularis,Dunnock,Benjamin Drillat,France,2024-05-27,05:30,37,A,song,field recording,unknown,[],24000,https://xeno-canto.org/982393,https://xeno-canto.org/982393/download,
981722,Prunella modularis,Dunnock,Stephan Börnecke,Germany,2025-03-20,12:00,29,A,song,field recording,yes,[],44100,https://xeno-canto.org/981722,https://xeno-canto.org/981722/download,
979685,Prunella modularis,Dunnock,Stanislas Wroza,France,2025-03-11,07:30,27,A,"call, flight call, autumn call, trill",field recording,unknown,[],48000,https://xeno-canto.org/979685,https://xeno-canto.org/979685/download,
