species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
prunella_modularis,353951,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC353951.mp3,1.0,4.0,-32.61354896457834,-34.99494494941661,species,Prunella modularis,Dunnock,0.9563963413238525,0.9563963413238525,species,0.0,,,
prunella_modularis,353951,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC353951.mp3,7.0,10.0,-34.378867944474706,-34.99494494941661,species,Prunella modularis,Dunnock,0.9968170523643494,0.9968170523643494,species,0.0,,,
prunella_modularis,353951,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC353951.mp3,10.0,13.0,-34.149994812790666,-34.99494494941661,species,Prunella modularis,Dunnock,0.9942556023597717,0.9942556023597717,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC353951__s10000__e13000.wav,
prunella_modularis,353951,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC353951.mp3,13.0,16.0,-32.660164502169366,-34.99494494941661,species,Prunella modularis,Dunnock,0.9960135221481323,0.9960135221481323,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC353951__s13000__e16000.wav,
prunella_modularis,353951,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC353951.mp3,16.0,19.0,-32.734443186479474,-34.99494494941661,species,Prunella modularis,Dunnock,0.9904674887657166,0.9904674887657166,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC353951__s16000__e19000.wav,
prunella_modularis,877805,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC877805.mp3,1.0,4.0,-15.297467406029181,-40.0,species,Prunella modularis,Dunnock,0.997723400592804,0.997723400592804,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC877805__s1000__e4000.wav,
prunella_modularis,877805,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC877805.mp3,7.0,10.0,-20.2369809627846,-40.0,species,Prunella modularis,Dunnock,0.9941114783287048,0.9941114783287048,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC877805__s7000__e10000.wav,
prunella_modularis,877805,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC877805.mp3,13.0,16.0,-23.09104905436925,-40.0,species,Prunella modularis,Dunnock,0.9967949986457825,0.9967949986457825,species,0.0,,,
prunella_modularis,877805,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC877805.mp3,19.0,22.0,-39.03355596446938,-40.0,drop,Anthus trivialis,Tree Pipit,0.19212569296360016,0.19212569296360016,drop,0.0,,,
prunella_modularis,877805,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC877805.mp3,22.0,25.0,-16.94934685274752,-40.0,species,Prunella modularis,Dunnock,0.999114453792572,0.999114453792572,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC877805__s22000__e25000.wav,
prunella_modularis,1054287,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC1054287.mp3,1.0,4.0,-18.882205146723248,-27.75528867955361,species,Prunella modularis,Dunnock,0.9930354952812195,0.9930354952812195,species,0.0,,,
prunella_modularis,1054287,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC1054287.mp3,7.0,10.0,-21.920009535252674,-27.75528867955361,species,Prunella modularis,Dunnock,0.8440857529640198,0.8440857529640198,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC1054287__s7000__e10000.wav,
prunella_modularis,1054287,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC1054287.mp3,10.0,13.0,-22.688327558698163,-27.75528867955361,species,Prunella modularis,Dunnock,0.8239119052886963,0.8239119052886963,species,0.0,,,
prunella_modularis,1054287,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC1054287.mp3,16.0,19.0,-19.474638004020665,-27.75528867955361,species,Prunella modularis,Dunnock,0.9871082901954651,0.9871082901954651,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC1054287__s16000__e19000.wav,
prunella_modularis,1054287,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC1054287.mp3,19.0,22.0,-26.402498799934314,-27.75528867955361,species,Prunella modularis,Dunnock,0.6206271052360535,0.6206271052360535,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC1054287__s19000__e22000.wav,
prunella_modularis,1054287,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC1054287.mp3,22.0,25.0,-18.912447905564434,-27.75528867955361,species,Prunella modularis,Dunnock,0.9486545920372009,0.9486545920372009,species,0.0,,,
prunella_modularis,186039,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC186039.mp3,1.0,4.0,-32.44000552730946,-40.0,drop,Alauda arvensis,Eurasian Skylark,0.9212409257888794,0.9212409257888794,drop,0.0,,,
prunella_modularis,186039,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC186039.mp3,4.0,7.0,-30.122940628622615,-40.0,species,Prunella modularis,Dunnock,0.994716465473175,0.994716465473175,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC186039__s4000__e7000.wav,
prunella_modularis,186039,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC186039.mp3,10.0,13.0,-26.689208783971324,-40.0,species,Prunella modularis,Dunnock,0.9983314871788025,0.9983314871788025,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC186039__s10000__e13000.wav,
prunella_modularis,186039,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC186039.mp3,16.0,19.0,-25.619295635677773,-40.0,species,Prunella modularis,Dunnock,0.9719066619873047,0.9719066619873047,species,0.0,,,
prunella_modularis,186039,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC186039.mp3,19.0,22.0,-25.822835814489558,-40.0,species,Prunella modularis,Dunnock,0.9953290224075317,0.9953290224075317,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC186039__s19000__e22000.wav,
prunella_modularis,902691,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC902691.mp3,1.0,4.0,-35.783977420934086,-40.0,non_bird,,,0.0,0.0,non_bird,1.0,nonbird_lowconf,bird_data\clips\non_bird\prunella_modularis\XC902691__s1000__e4000.wav,
prunella_modularis,902691,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC902691.mp3,4.0,7.0,-19.49344078519959,-40.0,species,Prunella modularis,Dunnock,0.9804298877716064,0.9804298877716064,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC902691__s4000__e7000.wav,
prunella_modularis,902691,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC902691.mp3,7.0,10.0,-26.017559991522553,-40.0,species,Prunella modularis,Dunnock,0.997531533241272,0.997531533241272,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC902691__s7000__e10000.wav,
prunella_modularis,1024200,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC1024200.mp3,4.0,7.0,-30.481560227789796,-34.3599840217515,drop,Anthus trivialis,Tree Pipit,0.1783532202243805,0.1783532202243805,drop,0.0,,,
prunella_modularis,1024200,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC1024200.mp3,7.0,10.0,-32.87782711644248,-34.3599840217515,drop,Prunella modularis,Dunnock,0.1719055324792862,0.1719055324792862,drop,0.0,,,
prunella_modularis,1024200,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC1024200.mp3,10.0,13.0,-33.69303995048823,-34.3599840217515,species,Prunella modularis,Dunnock,0.5306263566017151,0.5306263566017151,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC1024200__s10000__e13000.wav,
prunella_modularis,1024200,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC1024200.mp3,13.0,16.0,-33.25256990285815,-34.3599840217515,drop,Coccothraustes coccothraustes,Hawfinch,0.10953201353549957,0.10953201353549957,drop,0.0,,,
prunella_modularis,1024200,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC1024200.mp3,16.0,19.0,-32.58459676257349,-34.3599840217515,drop,Anthus trivialis,Tree Pipit,0.7200623154640198,0.7200623154640198,drop,0.0,,,
prunella_modularis,1024200,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC1024200.mp3,22.0,25.0,-33.32566509911888,-34.3599840217515,drop,Alcedo atthis,Common Kingfisher,0.14556248486042023,0.14556248486042023,drop,0.0,,,
prunella_modularis,920469,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC920469.mp3,4.0,7.0,-28.68829781066591,-29.08712136812226,drop,Phylloscopus maculipennis,Ashy-throated Warbler,0.930297315120697,0.930297315120697,drop,0.0,,,
prunella_modularis,383830,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC383830.mp3,4.0,7.0,-54.23757509515811,-40.0,drop,Regulus ignicapilla,Common Firecrest,0.38010209798812866,0.38010209798812866,drop,0.0,,,
prunella_modularis,1043944,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC1043944.mp3,1.0,4.0,-36.78315822289639,-40.0,drop,Troglodytes rufociliatus,Rufous-browed Wren,0.5632433295249939,0.5632433295249939,drop,0.0,,,
prunella_modularis,1043944,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC1043944.mp3,10.0,13.0,-37.05624066305563,-40.0,non_bird,,,0.0,0.0,non_bird,1.0,nonbird_lowconf,bird_data\clips\non_bird\prunella_modularis\XC1043944__s10000__e13000.wav,
prunella_modularis,1043944,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC1043944.mp3,16.0,19.0,-36.54606614687539,-40.0,drop,Troglodytes troglodytes,Eurasian Wren,0.6704340577125549,0.6704340577125549,drop,0.0,,,
prunella_modularis,1043944,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC1043944.mp3,25.0,28.0,-38.84129295451474,-40.0,drop,Troglodytes pacificus,Pacific Wren,0.28970274329185486,0.28970274329185486,drop,0.0,,,
prunella_modularis,941241,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC941241.mp3,7.0,10.0,-58.17985486055893,-40.0,species,Prunella modularis,Dunnock,0.9912460446357727,0.9912460446357727,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC941241__s7000__e10000.wav,
prunella_modularis,948864,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC948864.mp3,1.0,4.0,-31.095679041259906,-38.615033494032254,species,Prunella modularis,Dunnock,0.9837175607681274,0.9837175607681274,species,0.0,,,
prunella_modularis,948864,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC948864.mp3,4.0,7.0,-35.705227419799904,-38.615033494032254,species,Prunella modularis,Dunnock,0.9422454833984375,0.9422454833984375,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC948864__s4000__e7000.wav,
prunella_modularis,948864,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC948864.mp3,10.0,13.0,-32.49522390719126,-38.615033494032254,species,Prunella modularis,Dunnock,0.9784258008003235,0.9784258008003235,species,0.0,,,
prunella_modularis,948864,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC948864.mp3,13.0,16.0,-35.25408916776877,-38.615033494032254,species,Prunella modularis,Dunnock,0.9795635342597961,0.9795635342597961,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC948864__s13000__e16000.wav,
prunella_modularis,948864,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC948864.mp3,16.0,19.0,-35.368535099200436,-38.615033494032254,species,Prunella modularis,Dunnock,0.9833963513374329,0.9833963513374329,species,1.0,rand_species,bird_data\clips\species\prunella_modularis\XC948864__s16000__e19000.wav,
prunella_modularis,948864,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC948864.mp3,19.0,22.0,-36.72793694773637,-38.615033494032254,species,Prunella modularis,Dunnock,0.9943147301673889,0.9943147301673889,species,0.0,,,
prunella_modularis,857518,Prunella modularis,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\prunella_modularis\XC857518.mp3,1.0,4.0,-37.047681257765,-37.917960002976294,drop,Certhia brachydactyla,Short-toed Treecreeper,0.2805474102497101,0.2805474102497101,drop,0.0,,,
