xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
353951,Prunella modularis,Dunnock,david m,United Kingdom,2017-01-07,09:42,24,A,call,field recording,yes,"[""Turdus merula""]",48000,https://xeno-canto.org/353951,https://xeno-canto.org/353951/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/prunella_modularis/XC353951.mp3
1079117,Prunella modularis,Dunnock,Colm Philpott,Ireland,2026-02-10,14:00,32,B,song,field recording,no,[],44100,https://xeno-canto.org/1079117,https://xeno-canto.org/1079117/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/prunella_modularis/XC1079117.mp3
1054287,Prunella modularis,Dunnock,Lee Alder,United Kingdom,2025-03-22,10:41,47,A,"song, human voices",field recording,no,"[""Branta canadensis"", ""Coloeus monedula"", ""Erithacus rubecula"", ""Carduelis carduelis"", ""Anas platyrhynchos"", ""Passer domesticus""]",48000,https://xeno-canto.org/1054287,https://xeno-canto.org/1054287/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/prunella_modularis/XC1054287.mp3
186039,Prunella modularis,Dunnock,david m,United Kingdom,2014-04-15,06:15,29,A,song,field recording,yes,[],48000,https://xeno-canto.org/186039,https://xeno-canto.org/186039/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/prunella_modularis/XC186039.mp3
902691,Prunella modularis,Dunnock,Paul Kelly,Ireland,2024-05-08,20:30,23,A,song,field recording,no,[],44100,https://xeno-canto.org/902691,https://xeno-canto.org/902691/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/prunella_modularis/XC902691.mp3
1024200,Prunella modularis,Dunnock,Paul Driver,United Kingdom,2025-06-21,09:18,30,B,begging call,field recording,no,[],44100,https://xeno-canto.org/1024200,https://xeno-canto.org/1024200/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/prunella_modularis/XC1024200.mp3
920469,Prunella modularis,Dunnock,Andrew Harrop,United Kingdom,2024-07-13,14:30,8,A,"begging call, call",field recording,yes,[],44100,https://xeno-canto.org/920469,https://xeno-canto.org/920469/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/prunella_modularis/XC920469.mp3
383830,Prunella modularis,Dunnock,Dominic Garcia-Hall,United Kingdom,2017-08-05,09:00,13,B,"begging call, call",field recording,yes,[],44100,https://xeno-canto.org/383830,https://xeno-canto.org/383830/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/prunella_modularis/XC383830.mp3
1072424,Prunella modularis,Dunnock,Anthony McGeehan ,Ireland,2025-09-18,10:30,30,B,call,field recording,yes,[],48000,https://xeno-canto.org/1072424,https://xeno-canto.org/1072424/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/prunella_modularis/XC1072424.mp3
941241,Prunella modularis,Dunnock,Luca Forneris,United Kingdom,2024-10-13,13:46,28,B,call,field recording,no,[],48000,https://xeno-canto.org/941241,https://xeno-canto.org/941241/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/prunella_modularis/XC941241.mp3
