xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
353951,Prunella modularis,Dunnock,david m,United Kingdom,2017-01-07,09:42,24,A,call,field recording,yes,"[""Turdus merula""]",48000,https://xeno-canto.org/353951,https://xeno-canto.org/353951/download,
877805,Prunella modularis,Dunnock,David Bissett,United Kingdom,2024-02-25,09:45,25,B,song,field recording,yes,[],96000,https://xeno-canto.org/877805,https://xeno-canto.org/877805/download,
1054287,Prunella modularis,Dunnock,Lee Alder,United Kingdom,2025-03-22,10:41,47,A,"song, human voices",field recording,no,"[""Branta canadensis"", ""Coloeus monedula"", ""Erithacus rubecula"", ""Carduelis carduelis"", ""Anas platyrhynchos"", ""Passer domesticus""]",48000,https://xeno-canto.org/1054287,https://xeno-canto.org/1054287/download,
186039,Prunella modularis,Dunnock,david m,United Kingdom,2014-04-15,06:15,29,A,song,field recording,yes,[],48000,https://xeno-canto.org/186039,https://xeno-canto.org/186039/download,
902691,Prunella modularis,Dunnock,Paul Kelly,Ireland,2024-05-08,20:30,23,A,song,field recording,no,[],44100,https://xeno-canto.org/902691,https://xeno-canto.org/902691/download,
1024200,Prunella modularis,Dunnock,Paul Driver,United Kingdom,2025-06-21,09:18,30,B,begging call,field recording,no,[],44100,https://xeno-canto.org/1024200,https://xeno-canto.org/1024200/download,
920469,Prunella modularis,Dunnock,Andrew Harrop,United Kingdom,2024-07-13,14:30,8,A,"begging call, call",field recording,yes,[],44100,https://xeno-canto.org/920469,https://xeno-canto.org/920469/download,
383830,Prunella modularis,Dunnock,Dominic Garcia-Hall,United Kingdom,2017-08-05,09:00,13,B,"begging call, call",field recording,yes,[],44100,https://xeno-canto.org/383830,https://xeno-canto.org/383830/download,
1043944,Prunella modularis,Dunnock,David Cooper,United Kingdom,2025-09-03,08:30,54,B,subsong,field recording,yes,"[""Anthus pratensis""]",44100,https://xeno-canto.org/1043944,https://xeno-canto.org/1043944/download,
941241,Prunella modularis,Dunnock,Luca Forneris,United Kingdom,2024-10-13,13:46,28,B,call,field recording,no,[],48000,https://xeno-canto.org/941241,https://xeno-canto.org/941241/download,
948864,Prunella modularis,Dunnock,Paul Kelly,Ireland,2024-11-06,07:30,39,A,call,field recording,no,[],44100,https://xeno-canto.org/948864,https://xeno-canto.org/948864/download,
857518,Prunella modularis,Dunnock,Andrew Harrop,United Kingdom,2023-12-26,10:30,8,B,call,field recording,yes,[],44100,https://xeno-canto.org/857518,https://xeno-canto.org/857518/download,
211891,Prunella modularis,Dunnock,david m,United Kingdom,2015-01-06,08:47,50,A,call,field recording,yes,[],48000,https://xeno-canto.org/211891,https://xeno-canto.org/211891/download,
780833,Prunella modularis,Dunnock,Lee Alder,United Kingdom,2023-02-09,10:12,46,B,"song, wing beats",field recording,no,"[""Cyanistes caeruleus"", ""Corvus corone"", ""Coloeus monedula"", ""Erithacus rubecula"", ""Pica pica""]",48000,https://xeno-canto.org/780833,https://xeno-canto.org/780833/download,
199557,Prunella modularis,Dunnock,david m,United Kingdom,2013-03-17,09:22,21,A,song,field recording,yes,[],48000,https://xeno-canto.org/199557,https://xeno-canto.org/199557/download,
791649,Prunella modularis,Dunnock,Jeremy Halls,United Kingdom,2023-04-07,07:30,29,B,song,field recording,yes,"[""Erithacus rubecula"", ""Phylloscopus collybita""]",48000,https://xeno-canto.org/791649,https://xeno-canto.org/791649/download,
597087,Prunella modularis,Dunnock,Simon Elliott,United Kingdom,2012-05-12,10:00,53,A,"begging call, hatchling or nestling",field recording,yes,"[""Turdus merula""]",48000,https://xeno-canto.org/597087,https://xeno-canto.org/597087/download,
1024199,Prunella modularis,Dunnock,Paul Driver,United Kingdom,2025-06-21,09:08,49,B,begging call,field recording,no,[],44100,https://xeno-canto.org/1024199,https://xeno-canto.org/1024199/download,
145634,Prunella modularis,Dunnock,Patrik Åberg,United Kingdom,2013-07-08,06:07,31,A,song,field recording,yes,[],44100,https://xeno-canto.org/145634,https://xeno-canto.org/145634/download,
670204,Prunella modularis,Dunnock,Lars Edenius,Sweden,2021-08-24,07:00,18,A,"call, flight call",field recording,yes,[],48000,https://xeno-canto.org/670204,https://xeno-canto.org/670204/download,
