xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1064695,Regulus regulus,Goldcrest,Julien Birard,France,2025-11-23,13:00,21,A,call,field recording,yes,[],44100,https://xeno-canto.org/1064695,https://xeno-canto.org/1064695/download,
912957,Regulus regulus,Goldcrest,Ulf Elman,Sweden,2024-06-14,02:59,33,A,song,field recording,no,"[""Cuculus canorus"", ""Turdus merula""]",48000,https://xeno-canto.org/912957,https://xeno-canto.org/912957/download,
902450,Regulus regulus,Goldcrest,Elias A. Ryberg,Norway,2024-05-12,13:59,40,A,song,field recording,yes,[],48000,https://xeno-canto.org/902450,https://xeno-canto.org/902450/download,
831504,Regulus regulus,Goldcrest,Mats Rellmar,Portugal,2023-09-14,10:30,22,A,call,field recording,yes,"[""Serinus canaria""]",44100,https://xeno-canto.org/831504,https://xeno-canto.org/831504/download,
831497,Regulus regulus,Goldcrest,Mats Rellmar,Portugal,2023-09-14,10:00,49,A,song,field recording,yes,[],44100,https://xeno-canto.org/831497,https://xeno-canto.org/831497/download,
793472,Regulus regulus,Goldcrest,Lars Edenius,Sweden,2023-04-15,09:30,37,A,subsong,field recording,yes,[],48000,https://xeno-canto.org/793472,https://xeno-canto.org/793472/download,
791898,Regulus regulus,Goldcrest,Lars Edenius,Sweden,2023-04-09,08:00,15,A,song,field recording,yes,[],48000,https://xeno-canto.org/791898,https://xeno-canto.org/791898/download,
748682,Regulus regulus,Goldcrest,Amar Léa,France,2022-09-13,18:30,7,A,call,field recording,no,[],44100,https://xeno-canto.org/748682,https://xeno-canto.org/748682/download,
740238,Regulus regulus,Goldcrest,Lars Edenius,Sweden,2022-07-29,07:00,40,A,call,field recording,yes,[],48000,https://xeno-canto.org/740238,https://xeno-canto.org/740238/download,
719851,Regulus regulus,Goldcrest,Elias A. Ryberg,Norway,2022-04-27,12:35,30,A,song,field recording,yes,"[""Turdus pilaris"", ""Spinus spinus"", ""Certhia familiaris""]",48000,https://xeno-canto.org/719851,https://xeno-canto.org/719851/download,
716611,Regulus regulus,Goldcrest,Tanguy Loïs,France,2022-04-19,19:00,33,A,song,field recording,no,[],48000,https://xeno-canto.org/716611,https://xeno-canto.org/716611/download,
712109,Regulus regulus,Goldcrest,Bastian Forkel,Germany,2022-03-30,18:30,30,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/712109,https://xeno-canto.org/712109/download,
676424,Regulus regulus,Goldcrest,Martin Fransson,Sweden,2021-09-18,15:00,19,A,"call, wing fludder",field recording,yes,[],48000,https://xeno-canto.org/676424,https://xeno-canto.org/676424/download,
671503,Regulus regulus,Goldcrest,Lars Edenius,Sweden,2021-08-30,05:00,46,A,call,field recording,no,"[""Fringilla montifringilla"", ""Gavia stellata""]",44100,https://xeno-canto.org/671503,https://xeno-canto.org/671503/download,
637099,Regulus regulus,Goldcrest,Marcin Urbański,Poland,2021-04-03,06:00,28,A,song,field recording,yes,[],48000,https://xeno-canto.org/637099,https://xeno-canto.org/637099/download,
607965,Regulus regulus,Goldcrest,Jarek Matusiak,Poland,2020-08-01,11:00,12,A,call,field recording,unknown,[],32000,https://xeno-canto.org/607965,https://xeno-canto.org/607965/download,
597010,Regulus regulus,Goldcrest,Stanislas Wroza,France,2020-10-18,07:30,5,A,"flight call, bird in migration, quite high in the sky",field recording,yes,[],48000,https://xeno-canto.org/597010,https://xeno-canto.org/597010/download,
581898,Regulus regulus,Goldcrest,Lars Edenius,Sweden,2020-08-07,16:00,13,A,call,field recording,no,[],44100,https://xeno-canto.org/581898,https://xeno-canto.org/581898/download,
533551,Regulus regulus,Goldcrest,Fernand Deroussen,France,2019-11-01,10:30,17,A,call,field recording,yes,[],48000,https://xeno-canto.org/533551,https://xeno-canto.org/533551/download,
520603,Regulus regulus,Goldcrest,Tanguy Loïs,France,2020-01-17,09:00,57,A,call,field recording,yes,[],48000,https://xeno-canto.org/520603,https://xeno-canto.org/520603/download,
401910,Regulus regulus,Goldcrest,Karl-Birger Strann,Norway,2012-05-28,08:30,53,A,song,field recording,yes,[],48000,https://xeno-canto.org/401910,https://xeno-canto.org/401910/download,
384549,Regulus regulus,Goldcrest,Timo Schnabel,Germany,2017-04-10,09:00,40,A,song,field recording,yes,"[""Cyanistes caeruleus"", ""Fringilla coelebs"", ""Parus major"", ""Phylloscopus collybita""]",44100,https://xeno-canto.org/384549,https://xeno-canto.org/384549/download,
383570,Regulus regulus,Goldcrest,Terje Kolaas,Norway,2017-04-07,10:00,35,A,song,field recording,yes,[],48000,https://xeno-canto.org/383570,https://xeno-canto.org/383570/download,
363758,Regulus regulus,Goldcrest,AFR,Germany,2017-04-10,11:30,21,A,song,field recording,yes,"[""Fringilla coelebs"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/363758,https://xeno-canto.org/363758/download,
353829,Regulus regulus,Goldcrest,Hans Matheve,Belgium,2015-03-21,?,48,A,song,field recording,yes,[],48000,https://xeno-canto.org/353829,https://xeno-canto.org/353829/download,
347420,Regulus regulus,Goldcrest,Tero Linjama,Finland,2008-09-28,10:00,7,A,call,field recording,yes,[],44100,https://xeno-canto.org/347420,https://xeno-canto.org/347420/download,
324755,Regulus regulus,Goldcrest,Terje Kolaas,Norway,2016-03-30,17:30,31,A,song,field recording,yes,[],48000,https://xeno-canto.org/324755,https://xeno-canto.org/324755/download,
281606,Regulus regulus,Goldcrest,Peter Boesman,Belgium,2007-10-14,08:15,41,A,call,field recording,unknown,[],44100,https://xeno-canto.org/281606,https://xeno-canto.org/281606/download,
281600,Regulus regulus,Goldcrest,Peter Boesman,Belgium,2007-05-13,08:15,55,A,song,field recording,unknown,[],44100,https://xeno-canto.org/281600,https://xeno-canto.org/281600/download,
