xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
961686,Regulus regulus,Goldcrest,Paul Kelly,Ireland,2025-01-12,16:30,17,B,"call, Wind.",field recording,no,"[""Turdus philomelos""]",44100,https://xeno-canto.org/961686,https://xeno-canto.org/961686/download,
979987,Regulus regulus,Goldcrest,Paul Kelly,Ireland,2025-02-27,07:00,7,B,"song, Traffic.",field recording,no,[],44100,https://xeno-canto.org/979987,https://xeno-canto.org/979987/download,
884813,Regulus regulus,Goldcrest,Paul Driver,United Kingdom,2024-03-18,08:40,20,B,call,field recording,yes,"[""Sitta europaea""]",48000,https://xeno-canto.org/884813,https://xeno-canto.org/884813/download,
927693,Regulus regulus,Goldcrest,Arjun Dutta,United Kingdom,2022-04-15,20:20,8,B,"aberrant, call",field recording,no,[],44100,https://xeno-canto.org/927693,https://xeno-canto.org/927693/download,
902857,Regulus regulus,Goldcrest,Luca Forneris,United Kingdom,2024-05-12,12:19,42,B,song,field recording,yes,"[""Turdus merula"", ""Troglodytes troglodytes"", ""Phylloscopus collybita""]",48000,https://xeno-canto.org/902857,https://xeno-canto.org/902857/download,
1024042,Regulus regulus,Goldcrest,Paul Driver,United Kingdom,2025-06-09,05:33,30,B,song,field recording,yes,[],44100,https://xeno-canto.org/1024042,https://xeno-canto.org/1024042/download,
1024129,Regulus regulus,Goldcrest,Paul Driver,United Kingdom,2025-07-10,07:38,42,B,call,field recording,yes,"[""Strix aluco""]",48000,https://xeno-canto.org/1024129,https://xeno-canto.org/1024129/download,
824892,Regulus regulus,Goldcrest,Sidney Martin,United Kingdom,2023-08-20,16:00,9,B,call,field recording,yes,[],44100,https://xeno-canto.org/824892,https://xeno-canto.org/824892/download,
927694,Regulus regulus,Goldcrest,Arjun Dutta,United Kingdom,2022-09-24,19:30,9,B,flight call,field recording,no,[],44100,https://xeno-canto.org/927694,https://xeno-canto.org/927694/download,
1050332,Regulus regulus,Goldcrest,Paul Kelly,Ireland,2025-10-18,07:30,41,B,"call, Corvids",field recording,no,"[""Turdus merula"", ""Carduelis carduelis"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/1050332,https://xeno-canto.org/1050332/download,
1065075,Regulus regulus,Goldcrest,Paul Driver,United Kingdom,2025-11-26,15:13,17,B,call,field recording,yes,[],44100,https://xeno-canto.org/1065075,https://xeno-canto.org/1065075/download,
1067192,Regulus regulus,Goldcrest,Paul Kelly,Ireland,2025-12-21,09:00,27,B,call,field recording,no,[],44100,https://xeno-canto.org/1067192,https://xeno-canto.org/1067192/download,
778469,Regulus regulus,Goldcrest,Paul Kelly,Ireland,2023-01-28,16:30,22,B,call,field recording,no,[],44100,https://xeno-canto.org/778469,https://xeno-canto.org/778469/download,
979986,Regulus regulus,Goldcrest,Paul Kelly,Ireland,2025-02-27,07:00,16,B,"song, Traffic.",field recording,no,"[""Turdus philomelos""]",44100,https://xeno-canto.org/979986,https://xeno-canto.org/979986/download,
