xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
861220,Saxicola rubicola,European Stonechat,Antonio Xeira,Portugal,2024-01-08,18:00,33,A,"alarm call, call",field recording,no,[],48000,https://xeno-canto.org/861220,https://xeno-canto.org/861220/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC861220.mp3
875395,Saxicola rubicola,European Stonechat,João Tomás,Spain,2024-02-17,9:38,11,A,song,field recording,yes,[],44100,https://xeno-canto.org/875395,https://xeno-canto.org/875395/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC875395.mp3
942276,Saxicola rubicola,European Stonechat,Arjun Dutta,United Kingdom,2022-03-03,13:00,32,A,song,field recording,yes,[],44100,https://xeno-canto.org/942276,https://xeno-canto.org/942276/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC942276.mp3
994229,Saxicola rubicola,European Stonechat,Andrew Clarke,United Kingdom,2025-04-29,07:30,11,A,song,field recording,yes,"[""Larus argentatus""]",44100,https://xeno-canto.org/994229,https://xeno-canto.org/994229/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC994229.mp3
811673,Saxicola rubicola,European Stonechat,Paul Driver,United Kingdom,2023-05-21,05:10,42,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/811673,https://xeno-canto.org/811673/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC811673.mp3
1011901,Saxicola rubicola,European Stonechat,David Boyle,United Kingdom,2025-06-30,21:25,19,A,call,field recording,no,[],48000,https://xeno-canto.org/1011901,https://xeno-canto.org/1011901/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC1011901.mp3
919186,Saxicola rubicola,European Stonechat,Paul Kelly,Ireland,2024-07-01,05:00,53,A,call,field recording,no,"[""Anthus pratensis""]",44100,https://xeno-canto.org/919186,https://xeno-canto.org/919186/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC919186.mp3
580246,Saxicola rubicola,European Stonechat,Andrew Harrop,United Kingdom,2020-08-01,06:00,7,B,call,field recording,yes,[],44100,https://xeno-canto.org/580246,https://xeno-canto.org/580246/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC580246.mp3
1044256,Saxicola rubicola,European Stonechat,David Darrell-Lambert,United Kingdom,2025-09-30,17:30,16,A,call,field recording,yes,[],48000,https://xeno-canto.org/1044256,https://xeno-canto.org/1044256/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC1044256.mp3
944300,Saxicola rubicola,European Stonechat,Paul Kelly,Ireland,2024-10-28,17:00,38,A,call,field recording,no,[],44100,https://xeno-canto.org/944300,https://xeno-canto.org/944300/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC944300.mp3
1054504,Saxicola rubicola,European Stonechat,Le Louaver Manuel,France,2025-11-08,07:00,3,B,call,field recording,no,[],24000,https://xeno-canto.org/1054504,https://xeno-canto.org/1054504/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC1054504.mp3
346457,Saxicola rubicola,European Stonechat,David Darrell-Lambert,United Kingdom,2016-12-18,10:30,10,A,call,field recording,yes,[],48000,https://xeno-canto.org/346457,https://xeno-canto.org/346457/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC346457.mp3
697375,Saxicola rubicola,European Stonechat,Giuseppe Speranza,Italy,2022-01-02,13:00,26,A,call,field recording,no,[],44100,https://xeno-canto.org/697375,https://xeno-canto.org/697375/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC697375.mp3
875394,Saxicola rubicola,European Stonechat,João Tomás,Spain,2024-02-17,9:35,41,A,"alarm call, call, song",field recording,yes,[],44100,https://xeno-canto.org/875394,https://xeno-canto.org/875394/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC875394.mp3
709726,Saxicola rubicola,European Stonechat,Peter Stronach,United Kingdom,2022-03-16,19:49,49,A,song,field recording,yes,[],44100,https://xeno-canto.org/709726,https://xeno-canto.org/709726/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC709726.mp3
985867,Saxicola rubicola,European Stonechat,David Darrell-Lambert,United Kingdom,2024-04-24,20:00,39,A,call,field recording,yes,[],48000,https://xeno-canto.org/985867,https://xeno-canto.org/985867/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC985867.mp3
811672,Saxicola rubicola,European Stonechat,Paul Driver,United Kingdom,2023-05-21,05:13,44,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/811672,https://xeno-canto.org/811672/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC811672.mp3
812090,Saxicola rubicola,European Stonechat,Paul Driver,United Kingdom,2022-06-15,06:05,26,A,"alarm call, in flight",field recording,yes,[],44100,https://xeno-canto.org/812090,https://xeno-canto.org/812090/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC812090.mp3
744632,Saxicola rubicola,European Stonechat,Irish Wildlife Sounds,Ireland,2022-07-17,07:00,9,A,"call, agitation/agression calls",field recording,no,[],44100,https://xeno-canto.org/744632,https://xeno-canto.org/744632/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC744632.mp3
1050973,Saxicola rubicola,European Stonechat,MILLON Xavier,France,2025-08-31,07:03,27,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1050973,https://xeno-canto.org/1050973/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC1050973.mp3
937556,Saxicola rubicola,European Stonechat,Paul Kelly,Ireland,2024-09-25,07:00,42,A,"call, subsong",field recording,no,"[""Numenius arquata""]",44100,https://xeno-canto.org/937556,https://xeno-canto.org/937556/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC937556.mp3
943897,Saxicola rubicola,European Stonechat,Paul Kelly,Ireland,2024-10-27,07:30,18,A,call,field recording,no,"[""Mareca penelope""]",44100,https://xeno-canto.org/943897,https://xeno-canto.org/943897/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC943897.mp3
789808,Saxicola rubicola,European Stonechat,Carlos Pereira,Portugal,2022-11-19,07:57,21,B,call,field recording,yes,[],44100,https://xeno-canto.org/789808,https://xeno-canto.org/789808/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC789808.mp3
904539,Saxicola rubicola,European Stonechat,Esperanza Poveda,Spain,2018-12-03,?,16,A,call,in the hand,yes,[],44100,https://xeno-canto.org/904539,https://xeno-canto.org/904539/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC904539.mp3
605223,Saxicola rubicola,European Stonechat,Jaime Pires,Portugal,2020-01-17,13:00,6,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/605223,https://xeno-canto.org/605223/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC605223.mp3
875393,Saxicola rubicola,European Stonechat,João Tomás,Spain,2024-02-17,9:50,17,A,"alarm call, call, song",field recording,yes,[],44100,https://xeno-canto.org/875393,https://xeno-canto.org/875393/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC875393.mp3
463441,Saxicola rubicola,European Stonechat,Harry Hussey,Ireland,2019-03-25,14:46,16,A,alarm call,field recording,yes,"[""Gallinula chloropus""]",44100,https://xeno-canto.org/463441,https://xeno-canto.org/463441/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC463441.mp3
985407,Saxicola rubicola,European Stonechat,David Darrell-Lambert,United Kingdom,2024-04-17,06:30,50,A,song,field recording,yes,[],48000,https://xeno-canto.org/985407,https://xeno-canto.org/985407/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC985407.mp3
798977,Saxicola rubicola,European Stonechat,Dean McDonnell,Ireland,2023-05-07,15:00,52,A,call,field recording,yes,[],44100,https://xeno-canto.org/798977,https://xeno-canto.org/798977/download,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/saxicola_rubicola/XC798977.mp3
