xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
861220,Saxicola rubicola,European Stonechat,Antonio Xeira,Portugal,2024-01-08,18:00,33,A,"alarm call, call",field recording,no,[],48000,https://xeno-canto.org/861220,https://xeno-canto.org/861220/download,
875395,Saxicola rubicola,European Stonechat,João Tomás,Spain,2024-02-17,9:38,11,A,song,field recording,yes,[],44100,https://xeno-canto.org/875395,https://xeno-canto.org/875395/download,
942276,Saxicola rubicola,European Stonechat,Arjun Dutta,United Kingdom,2022-03-03,13:00,32,A,song,field recording,yes,[],44100,https://xeno-canto.org/942276,https://xeno-canto.org/942276/download,
994229,Saxicola rubicola,European Stonechat,Andrew Clarke,United Kingdom,2025-04-29,07:30,11,A,song,field recording,yes,"[""Larus argentatus""]",44100,https://xeno-canto.org/994229,https://xeno-canto.org/994229/download,
811673,Saxicola rubicola,European Stonechat,Paul Driver,United Kingdom,2023-05-21,05:10,42,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/811673,https://xeno-canto.org/811673/download,
1011901,Saxicola rubicola,European Stonechat,David Boyle,United Kingdom,2025-06-30,21:25,19,A,call,field recording,no,[],48000,https://xeno-canto.org/1011901,https://xeno-canto.org/1011901/download,
919186,Saxicola rubicola,European Stonechat,Paul Kelly,Ireland,2024-07-01,05:00,53,A,call,field recording,no,"[""Anthus pratensis""]",44100,https://xeno-canto.org/919186,https://xeno-canto.org/919186/download,
580246,Saxicola rubicola,European Stonechat,Andrew Harrop,United Kingdom,2020-08-01,06:00,7,B,call,field recording,yes,[],44100,https://xeno-canto.org/580246,https://xeno-canto.org/580246/download,
1044256,Saxicola rubicola,European Stonechat,David Darrell-Lambert,United Kingdom,2025-09-30,17:30,16,A,call,field recording,yes,[],48000,https://xeno-canto.org/1044256,https://xeno-canto.org/1044256/download,
944300,Saxicola rubicola,European Stonechat,Paul Kelly,Ireland,2024-10-28,17:00,38,A,call,field recording,no,[],44100,https://xeno-canto.org/944300,https://xeno-canto.org/944300/download,
1054504,Saxicola rubicola,European Stonechat,Le Louaver Manuel,France,2025-11-08,07:00,3,B,call,field recording,no,[],24000,https://xeno-canto.org/1054504,https://xeno-canto.org/1054504/download,
346457,Saxicola rubicola,European Stonechat,David Darrell-Lambert,United Kingdom,2016-12-18,10:30,10,A,call,field recording,yes,[],48000,https://xeno-canto.org/346457,https://xeno-canto.org/346457/download,
697375,Saxicola rubicola,European Stonechat,Giuseppe Speranza,Italy,2022-01-02,13:00,26,A,call,field recording,no,[],44100,https://xeno-canto.org/697375,https://xeno-canto.org/697375/download,
875394,Saxicola rubicola,European Stonechat,João Tomás,Spain,2024-02-17,9:35,41,A,"alarm call, call, song",field recording,yes,[],44100,https://xeno-canto.org/875394,https://xeno-canto.org/875394/download,
709726,Saxicola rubicola,European Stonechat,Peter Stronach,United Kingdom,2022-03-16,19:49,49,A,song,field recording,yes,[],44100,https://xeno-canto.org/709726,https://xeno-canto.org/709726/download,
985867,Saxicola rubicola,European Stonechat,David Darrell-Lambert,United Kingdom,2024-04-24,20:00,39,A,call,field recording,yes,[],48000,https://xeno-canto.org/985867,https://xeno-canto.org/985867/download,
811672,Saxicola rubicola,European Stonechat,Paul Driver,United Kingdom,2023-05-21,05:13,44,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/811672,https://xeno-canto.org/811672/download,
812090,Saxicola rubicola,European Stonechat,Paul Driver,United Kingdom,2022-06-15,06:05,26,A,"alarm call, in flight",field recording,yes,[],44100,https://xeno-canto.org/812090,https://xeno-canto.org/812090/download,
744632,Saxicola rubicola,European Stonechat,Irish Wildlife Sounds,Ireland,2022-07-17,07:00,9,A,"call, agitation/agression calls",field recording,no,[],44100,https://xeno-canto.org/744632,https://xeno-canto.org/744632/download,
1050973,Saxicola rubicola,European Stonechat,MILLON Xavier,France,2025-08-31,07:03,27,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1050973,https://xeno-canto.org/1050973/download,
