species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
spinus_spinus,777610,Spinus spinus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/spinus_spinus/XC777610.mp3,1.0,4.0,-19.318777984854364,-21.057037718051337,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/spinus_spinus/XC777610__s1000__e4000.wav,
spinus_spinus,717381,Spinus spinus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/spinus_spinus/XC717381.mp3,1.0,4.0,-19.032856045714727,-20.835959395929148,species,Spinus spinus,Eurasian Siskin,0.9641691446304321,0.9641691446304321,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/spinus_spinus/XC717381__s1000__e4000.wav,
spinus_spinus,717381,Spinus spinus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/spinus_spinus/XC717381.mp3,4.0,7.0,-19.43376237595604,-20.835959395929148,species,Spinus spinus,Eurasian Siskin,0.9448267221450806,0.9448267221450806,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/spinus_spinus/XC717381__s4000__e7000.wav,
spinus_spinus,717381,Spinus spinus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/spinus_spinus/XC717381.mp3,7.0,10.0,-20.288401474762246,-20.835959395929148,species,Spinus spinus,Eurasian Siskin,0.5669201612472534,0.5669201612472534,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/spinus_spinus/XC717381__s7000__e10000.wav,
spinus_spinus,717381,Spinus spinus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/spinus_spinus/XC717381.mp3,10.0,13.0,-19.83622575523141,-20.835959395929148,species,Spinus spinus,Eurasian Siskin,0.8479599356651306,0.8479599356651306,species,0,,,
spinus_spinus,717381,Spinus spinus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/spinus_spinus/XC717381.mp3,13.0,16.0,-20.03434652692893,-20.835959395929148,species,Spinus spinus,Eurasian Siskin,0.8991608619689941,0.8991608619689941,species,0,,,
spinus_spinus,594920,Spinus spinus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/spinus_spinus/XC594920.mp3,1.0,4.0,-21.081358611331346,-23.40692993901535,drop,Acanthis flammea,Common Redpoll,0.8998153805732727,0.8998153805732727,drop,0,,,
spinus_spinus,594920,Spinus spinus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/spinus_spinus/XC594920.mp3,4.0,7.0,-22.94707705211344,-23.40692993901535,drop,Acanthis flammea,Common Redpoll,0.5209044814109802,0.5209044814109802,drop,0,,,
spinus_spinus,594920,Spinus spinus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/spinus_spinus/XC594920.mp3,7.0,10.0,-22.917376771487035,-23.40692993901535,drop,Acanthis flammea,Common Redpoll,0.5830882787704468,0.5830882787704468,drop,0,,,
spinus_spinus,594920,Spinus spinus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/spinus_spinus/XC594920.mp3,13.0,16.0,-22.545674987982522,-23.40692993901535,drop,Acanthis flammea,Common Redpoll,0.6983644366264343,0.6983644366264343,drop,0,,,
spinus_spinus,594920,Spinus spinus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/spinus_spinus/XC594920.mp3,22.0,25.0,-21.819357675166362,-23.40692993901535,drop,Acanthis flammea,Common Redpoll,0.6523788571357727,0.6523788571357727,drop,0,,,
spinus_spinus,594920,Spinus spinus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/spinus_spinus/XC594920.mp3,25.0,28.0,-23.328382374019192,-23.40692993901535,drop,Acanthis flammea,Common Redpoll,0.8542215824127197,0.8542215824127197,drop,0,,,
spinus_spinus,1000088,Spinus spinus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/spinus_spinus/XC1000088.mp3,1.0,4.0,-35.510774538843116,-36.44292543369987,species,Spinus spinus,Eurasian Siskin,0.9107900857925415,0.9107900857925415,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/spinus_spinus/XC1000088__s1000__e4000.wav,
spinus_spinus,1000088,Spinus spinus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/spinus_spinus/XC1000088.mp3,4.0,7.0,-33.6841444030076,-36.44292543369987,species,Spinus spinus,Eurasian Siskin,0.9399237632751465,0.9399237632751465,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/spinus_spinus/XC1000088__s4000__e7000.wav,
spinus_spinus,811641,Spinus spinus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/spinus_spinus/XC811641.mp3,1.0,4.0,-32.39222657012115,-36.226299556932844,drop,Turdus viscivorus,Mistle Thrush,0.9182373881340027,0.9182373881340027,drop,0,,,
spinus_spinus,986525,Spinus spinus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/spinus_spinus/XC986525.mp3,1.0,4.0,-49.55778230171363,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/spinus_spinus/XC986525__s1000__e4000.wav,
