xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
777610,Spinus spinus,Eurasian Siskin,Paul Kelly,Ireland,2023-01-28,23:30,7,B,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/777610,https://xeno-canto.org/777610/download,
717381,Spinus spinus,Eurasian Siskin,Shaun Micklewright,United Kingdom,2022-02-12,13:00,25,A,call,field recording,yes,[],44100,https://xeno-canto.org/717381,https://xeno-canto.org/717381/download,
594920,Spinus spinus,Eurasian Siskin,Simon Elliott,United Kingdom,2003-03-15,08:00,48,A,call,field recording,yes,"[""Fringilla coelebs"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/594920,https://xeno-canto.org/594920/download,
1000088,Spinus spinus,Eurasian Siskin,Paul Archer,Ireland,2025-04-11,12:30,12,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/1000088,https://xeno-canto.org/1000088/download,
811641,Spinus spinus,Eurasian Siskin,Paul Driver,United Kingdom,2023-05-24,07:54,7,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/811641,https://xeno-canto.org/811641/download,
986525,Spinus spinus,Eurasian Siskin,David Darrell-Lambert,United Kingdom,2024-06-23,09:30,5,B,song,field recording,yes,[],48000,https://xeno-canto.org/986525,https://xeno-canto.org/986525/download,
921706,Spinus spinus,Eurasian Siskin,Paul Driver,United Kingdom,2024-07-01,07:58,7,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/921706,https://xeno-canto.org/921706/download,
741177,Spinus spinus,Eurasian Siskin,Andrew Harrop,United Kingdom,2022-08-01,09:00,25,B,call,field recording,yes,[],44100,https://xeno-canto.org/741177,https://xeno-canto.org/741177/download,
1041695,Spinus spinus,Eurasian Siskin,David Darrell-Lambert,United Kingdom,2025-09-14,18:00,4,B,flight call,field recording,yes,[],32000,https://xeno-canto.org/1041695,https://xeno-canto.org/1041695/download,
1051098,Spinus spinus,Eurasian Siskin,David Tattersley,United Kingdom,2025-10-29,06:58,16,B,flight call,field recording,no,[],48000,https://xeno-canto.org/1051098,https://xeno-canto.org/1051098/download,
604857,Spinus spinus,Eurasian Siskin,Arjun Dutta,United Kingdom,2020-11-15,10:06,19,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/604857,https://xeno-canto.org/604857/download,
778205,Spinus spinus,Eurasian Siskin,Paul Driver,United Kingdom,2016-12-14,09:03,31,B,"call, hawk alarm",field recording,yes,[],44100,https://xeno-canto.org/778205,https://xeno-canto.org/778205/download,
775326,Spinus spinus,Eurasian Siskin,Dan Lombard,United Kingdom,2023-01-12,09:30,11,B,call,field recording,yes,[],44100,https://xeno-canto.org/775326,https://xeno-canto.org/775326/download,
704600,Spinus spinus,Eurasian Siskin,Sarah Loving,United Kingdom,2022-02-26,14:30,9,B,song,field recording,yes,[],48000,https://xeno-canto.org/704600,https://xeno-canto.org/704600/download,
890006,Spinus spinus,Eurasian Siskin,Stuart Fisher,United Kingdom,2024-03-26,07:00,16,B,call,field recording,yes,"[""Acanthis cabaret"", ""Corvus corone"", ""Erithacus rubecula"", ""Troglodytes troglodytes"", ""Phasianus colchicus""]",44100,https://xeno-canto.org/890006,https://xeno-canto.org/890006/download,
778329,Spinus spinus,Eurasian Siskin,Paul Driver,United Kingdom,2013-04-02,08:00,8,B,call,field recording,yes,[],44100,https://xeno-canto.org/778329,https://xeno-canto.org/778329/download,
811640,Spinus spinus,Eurasian Siskin,Paul Driver,United Kingdom,2023-05-24,07:54,29,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/811640,https://xeno-canto.org/811640/download,
666913,Spinus spinus,Eurasian Siskin,Irish Wildlife Sounds,Ireland,2021-06-21,18:00,22,B,"imitation, song, mimicry/imitation",field recording,yes,[],44100,https://xeno-canto.org/666913,https://xeno-canto.org/666913/download,
489222,Spinus spinus,Eurasian Siskin,Andrew Harrop,United Kingdom,2019-07-28,11:00,11,B,song,field recording,yes,[],44100,https://xeno-canto.org/489222,https://xeno-canto.org/489222/download,
442141,Spinus spinus,Eurasian Siskin,Livia May,United Kingdom,2018-08-13,17:36,27,B,call,field recording,no,"[""Fringilla coelebs"", ""Erithacus rubecula"", ""Certhia familiaris""]",44100,https://xeno-canto.org/442141,https://xeno-canto.org/442141/download,
1041694,Spinus spinus,Eurasian Siskin,David Darrell-Lambert,United Kingdom,2025-09-14,18:00,5,B,flight call,field recording,yes,[],32000,https://xeno-canto.org/1041694,https://xeno-canto.org/1041694/download,
942213,Spinus spinus,Eurasian Siskin,Steve Flynn,United Kingdom,2024-10-23,11:34,4,B,flight call,field recording,no,[],48000,https://xeno-canto.org/942213,https://xeno-canto.org/942213/download,
950882,Spinus spinus,Eurasian Siskin,Ulf Elman,Sweden,2024-11-24,14:46,8,A,call,field recording,yes,[],48000,https://xeno-canto.org/950882,https://xeno-canto.org/950882/download,
447579,Spinus spinus,Eurasian Siskin,Twan Mols,Netherlands,2018-12-26,12:00,32,A,call,field recording,unknown,[],44100,https://xeno-canto.org/447579,https://xeno-canto.org/447579/download,
706842,Spinus spinus,Eurasian Siskin,Irish Wildlife Sounds,Ireland,2022-01-17,10:00,20,B,flight song,field recording,yes,[],44100,https://xeno-canto.org/706842,https://xeno-canto.org/706842/download,
701211,Spinus spinus,Eurasian Siskin,Katie,Ireland,2022-02-09,09:20,4,B,song,field recording,yes,"[""Cyanistes caeruleus"", ""Carduelis carduelis""]",44100,https://xeno-canto.org/701211,https://xeno-canto.org/701211/download,
884992,Spinus spinus,Eurasian Siskin,Paul Driver,United Kingdom,2024-03-21,07:55,14,B,call,field recording,yes,[],48000,https://xeno-canto.org/884992,https://xeno-canto.org/884992/download,
776265,Spinus spinus,Eurasian Siskin,Dan Lombard,United Kingdom,2021-04-28,07:30,4,B,call,field recording,yes,[],44100,https://xeno-canto.org/776265,https://xeno-canto.org/776265/download,
647080,Spinus spinus,Eurasian Siskin,Sean Morris,United Kingdom,2021-05-10,15:15,59,B,"call, song",field recording,yes,[],44100,https://xeno-canto.org/647080,https://xeno-canto.org/647080/download,
