xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1062732,Streptopelia decaocto,Eurasian Collared Dove,Lionel Triboulin,France,2025-12-05,08:30,8,A,song,field recording,yes,[],44100,https://xeno-canto.org/1062732,https://xeno-canto.org/1062732/download,
1062731,Streptopelia decaocto,Eurasian Collared Dove,Lionel Triboulin,France,2025-12-05,08:30,7,A,song,field recording,yes,[],44100,https://xeno-canto.org/1062731,https://xeno-canto.org/1062731/download,
1062559,Streptopelia decaocto,Eurasian Collared Dove,Esperanza Poveda,Spain,2025-09-20,?,5,A,flight call,field recording,no,[],44100,https://xeno-canto.org/1062559,https://xeno-canto.org/1062559/download,
1059760,Streptopelia decaocto,Eurasian Collared Dove,Tony Rinaud,France,2025-11-20,16:17,7,A,wingbeat,field recording,no,"[""Erithacus rubecula"", ""Anas platyrhynchos""]",48000,https://xeno-canto.org/1059760,https://xeno-canto.org/1059760/download,
1056409,Streptopelia decaocto,Eurasian Collared Dove,Paul Kelly,Portugal,2025-11-10,04:30,41,A,song,field recording,no,[],24000,https://xeno-canto.org/1056409,https://xeno-canto.org/1056409/download,
1050009,Streptopelia decaocto,Eurasian Collared Dove,Denis Dujardin,France,2025-10-25,16:00,6,A,song,field recording,yes,[],48000,https://xeno-canto.org/1050009,https://xeno-canto.org/1050009/download,
1037154,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2018-03-18,?,6,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1037154,https://xeno-canto.org/1037154/download,
1037152,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2011-04-24,?,46,A,singing,field recording,yes,[],96000,https://xeno-canto.org/1037152,https://xeno-canto.org/1037152/download,
1037151,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2010-07-10,?,15,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1037151,https://xeno-canto.org/1037151/download,
1037150,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2009-04-12,?,6,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1037150,https://xeno-canto.org/1037150/download,
1037149,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2009-03-14,?,19,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1037149,https://xeno-canto.org/1037149/download,
