species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
streptopelia_decaocto,1037148,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC1037148.mp3,4.0,7.0,-33.60849592239041,-39.34260348968152,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9621016979217529,0.9621016979217529,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/streptopelia_decaocto/XC1037148__s4000__e7000.wav,
streptopelia_decaocto,1037148,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC1037148.mp3,7.0,10.0,-39.08120972096284,-39.34260348968152,drop,Strix varia,Barred Owl,0.7501378059387207,0.7501378059387207,drop,0,,,
streptopelia_decaocto,1037148,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC1037148.mp3,13.0,16.0,-37.36841429058598,-39.34260348968152,species,Streptopelia decaocto,Eurasian Collared-Dove,0.301107794046402,0.301107794046402,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/streptopelia_decaocto/XC1037148__s13000__e16000.wav,
streptopelia_decaocto,1037148,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC1037148.mp3,16.0,19.0,-35.5418071192903,-39.34260348968152,species,Streptopelia decaocto,Eurasian Collared-Dove,0.7161261439323425,0.7161261439323425,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/streptopelia_decaocto/XC1037148__s16000__e19000.wav,
streptopelia_decaocto,972740,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC972740.mp3,1.0,4.0,-46.052261099783195,-40.0,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9938938021659851,0.9938938021659851,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/streptopelia_decaocto/XC972740__s1000__e4000.wav,
streptopelia_decaocto,1037154,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC1037154.mp3,1.0,4.0,-23.96098551335637,-23.96098551335637,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9987725615501404,0.9987725615501404,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/streptopelia_decaocto/XC1037154__s1000__e4000.wav,
streptopelia_decaocto,1037152,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC1037152.mp3,4.0,7.0,-85.256959865652,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/streptopelia_decaocto/XC1037152__s4000__e7000.wav,
streptopelia_decaocto,1037146,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC1037146.mp3,13.0,16.0,-47.57880127228067,-40.0,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9857825040817261,0.9857825040817261,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/streptopelia_decaocto/XC1037146__s13000__e16000.wav,
streptopelia_decaocto,1010996,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC1010996.mp3,1.0,4.0,-30.39554296955684,-30.39554296955684,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9502765536308289,0.9502765536308289,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/streptopelia_decaocto/XC1010996__s1000__e4000.wav,
streptopelia_decaocto,1037151,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC1037151.mp3,1.0,4.0,-32.576245451522425,-40.0,drop,Streptopelia decaocto,Eurasian Collared-Dove,0.2652153968811035,0.2652153968811035,drop,0,,,
streptopelia_decaocto,1037138,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC1037138.mp3,1.0,4.0,-21.2227883358499,-21.2227883358499,drop,Bubo bubo,Eurasian Eagle-Owl,0.3436056077480316,0.3436056077480316,drop,0,,,
streptopelia_decaocto,292476,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC292476.mp3,4.0,7.0,-28.270235460987614,-40.0,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9989483952522278,0.9989483952522278,species,0,,,
streptopelia_decaocto,292476,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC292476.mp3,10.0,13.0,-32.00182266044641,-40.0,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9980626702308655,0.9980626702308655,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/streptopelia_decaocto/XC292476__s10000__e13000.wav,
streptopelia_decaocto,292476,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC292476.mp3,16.0,19.0,-31.756535196683977,-40.0,species,Streptopelia decaocto,Eurasian Collared-Dove,0.999060332775116,0.999060332775116,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/streptopelia_decaocto/XC292476__s16000__e19000.wav,
streptopelia_decaocto,292476,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC292476.mp3,19.0,22.0,-28.580719244278896,-40.0,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9939653277397156,0.9939653277397156,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/streptopelia_decaocto/XC292476__s19000__e22000.wav,
streptopelia_decaocto,292476,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC292476.mp3,25.0,28.0,-27.41339975491752,-40.0,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9983513355255127,0.9983513355255127,species,0,,,
streptopelia_decaocto,1050009,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/streptopelia_decaocto/XC1050009.mp3,1.0,4.0,-41.872400943622225,-40.0,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9944392442703247,0.9944392442703247,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/streptopelia_decaocto/XC1050009__s1000__e4000.wav,
