xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1037148,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2009-01-15,?,20,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1037148,https://xeno-canto.org/1037148/download,
972740,Streptopelia decaocto,Eurasian Collared Dove,Molly Bell,Ireland,2025-02-10,08:31,7,A,song,field recording,yes,[],44100,https://xeno-canto.org/972740,https://xeno-canto.org/972740/download,
1037154,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2018-03-18,?,6,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1037154,https://xeno-canto.org/1037154/download,
1037152,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2011-04-24,?,46,A,singing,field recording,yes,[],96000,https://xeno-canto.org/1037152,https://xeno-canto.org/1037152/download,
1037146,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2008-05-20,?,24,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1037146,https://xeno-canto.org/1037146/download,
1010996,Streptopelia decaocto,Eurasian Collared Dove,Paul Kelly,Ireland,2025-06-20,07:30,6,A,call,field recording,no,"[""Corvus frugilegus""]",44100,https://xeno-canto.org/1010996,https://xeno-canto.org/1010996/download,
1037151,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2010-07-10,?,15,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1037151,https://xeno-canto.org/1037151/download,
1037138,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2017-08-15,?,6,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1037138,https://xeno-canto.org/1037138/download,
292476,Streptopelia decaocto,Eurasian Collared Dove,david m,United Kingdom,2015-09-07,06:29,57,A,"song, wing beats",field recording,yes,"[""Turdus merula"", ""Corvus corone"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/292476,https://xeno-canto.org/292476/download,
1050009,Streptopelia decaocto,Eurasian Collared Dove,Denis Dujardin,France,2025-10-25,16:00,6,A,song,field recording,yes,[],48000,https://xeno-canto.org/1050009,https://xeno-canto.org/1050009/download,
1059760,Streptopelia decaocto,Eurasian Collared Dove,Tony Rinaud,France,2025-11-20,16:17,7,A,wingbeat,field recording,no,"[""Erithacus rubecula"", ""Anas platyrhynchos""]",48000,https://xeno-canto.org/1059760,https://xeno-canto.org/1059760/download,
607054,Streptopelia decaocto,Eurasian Collared Dove,Peter Stronach,United Kingdom,2020-12-05,09:30,9,B,song,field recording,yes,"[""Carduelis carduelis""]",44100,https://xeno-canto.org/607054,https://xeno-canto.org/607054/download,
618193,Streptopelia decaocto,Eurasian Collared Dove,Irish Wildlife Sounds,Ireland,2021-01-23,07:00,14,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/618193,https://xeno-canto.org/618193/download,
621403,Streptopelia decaocto,Eurasian Collared Dove,Irish Wildlife Sounds,Ireland,2021-02-07,9:00,44,A,song,field recording,no,[],44100,https://xeno-canto.org/621403,https://xeno-canto.org/621403/download,
1037149,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2009-03-14,?,19,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1037149,https://xeno-canto.org/1037149/download,
1037150,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2009-04-12,?,6,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1037150,https://xeno-canto.org/1037150/download,
823053,Streptopelia decaocto,Eurasian Collared Dove,Anthony McGeehan ,United Kingdom,2014-05-07,07:00,17,A,song,field recording,yes,[],44100,https://xeno-canto.org/823053,https://xeno-canto.org/823053/download,
984066,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2020-06-14,05:45,29,A,song,field recording,no,[],48000,https://xeno-canto.org/984066,https://xeno-canto.org/984066/download,
1029285,Streptopelia decaocto,Eurasian Collared Dove,Agris Celmins,United Kingdom,2025-07-20,08:11,14,A,song,field recording,yes,[],44100,https://xeno-canto.org/1029285,https://xeno-canto.org/1029285/download,
