xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1031530,Sturnus vulgaris,Common Starling,Paul Kelly,Ireland,2025-08-15,04:00,4,A,call,field recording,no,[],44100,https://xeno-canto.org/1031530,https://xeno-canto.org/1031530/download,
1026159,Sturnus vulgaris,Common Starling,David Boyle,United Kingdom,2025-07-19,07:00,48,A,call,field recording,no,"[""Larus marinus""]",48000,https://xeno-canto.org/1026159,https://xeno-canto.org/1026159/download,
996283,Sturnus vulgaris,Common Starling,Johannes Worona,Germany,2025-05-09,06:40,53,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/996283,https://xeno-canto.org/996283/download,
996281,Sturnus vulgaris,Common Starling,Johannes Worona,Germany,2025-05-09,06:39,8,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/996281,https://xeno-canto.org/996281/download,
995266,Sturnus vulgaris,Common Starling,Johannes Worona,Germany,2025-05-06,06:51,2,A,call,field recording,yes,[],44100,https://xeno-canto.org/995266,https://xeno-canto.org/995266/download,
995264,Sturnus vulgaris,Common Starling,Johannes Worona,Germany,2025-05-06,06:51,2,A,call,field recording,yes,[],44100,https://xeno-canto.org/995264,https://xeno-canto.org/995264/download,
981795,Sturnus vulgaris,Common Starling,Susanne Kuijpers,Netherlands,2025-03-20,07:23,11,A,song,field recording,no,"[""Parus major""]",44100,https://xeno-canto.org/981795,https://xeno-canto.org/981795/download,
934628,Sturnus vulgaris,Common Starling,Sonothèque ADVL,France,2024-08-19,15:20,18,A,call,field recording,yes,[],48000,https://xeno-canto.org/934628,https://xeno-canto.org/934628/download,
908736,Sturnus vulgaris,Common Starling,Peter Stronach,United Kingdom,2024-05-25,13:57,13,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/908736,https://xeno-canto.org/908736/download,
904982,Sturnus vulgaris,Common Starling,Martin Billard,France,2024-05-19,12:20,30,A,"begging call, call",field recording,yes,[],44100,https://xeno-canto.org/904982,https://xeno-canto.org/904982/download,
904979,Sturnus vulgaris,Common Starling,Martin Billard,France,2024-05-19,14:24,30,A,"begging call, call",field recording,yes,[],44100,https://xeno-canto.org/904979,https://xeno-canto.org/904979/download,
897192,Sturnus vulgaris,Common Starling,Pia,Sweden,2024-04-18,07:40,21,A,song,unknown,yes,[],48000,https://xeno-canto.org/897192,https://xeno-canto.org/897192/download,
858431,Sturnus vulgaris,Common Starling,Wim Jacobs,Belgium,2019-06-15,?,47,A,call,field recording,yes,"[""Linaria cannabina""]",44100,https://xeno-canto.org/858431,https://xeno-canto.org/858431/download,
822550,Sturnus vulgaris,Common Starling,Esperanza Poveda,Sweden,2022-06-07,?,35,A,begging call,field recording,no,[],44100,https://xeno-canto.org/822550,https://xeno-canto.org/822550/download,
808473,Sturnus vulgaris,Common Starling,Johannes Worona,Germany,2023-06-12,09:20,43,A,call,field recording,no,[],44100,https://xeno-canto.org/808473,https://xeno-canto.org/808473/download,
807146,Sturnus vulgaris,Common Starling,Jocce Ekstrom,Sweden,2023-06-05,21:40,36,A,call,field recording,no,"[""Anser anser"", ""Acrocephalus scirpaceus"", ""Acrocephalus schoenobaenus""]",44100,https://xeno-canto.org/807146,https://xeno-canto.org/807146/download,
804404,Sturnus vulgaris,Common Starling,Dominique Guillerme,France,2023-05-27,07:30,17,A,interaction calls,in the hand,yes,[],48000,https://xeno-canto.org/804404,https://xeno-canto.org/804404/download,
735526,Sturnus vulgaris,Common Starling,Irish Wildlife Sounds,Ireland,2022-06-05,08:00,53,A,call,field recording,no,[],44100,https://xeno-canto.org/735526,https://xeno-canto.org/735526/download,
