xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
936254,Sylvia atricapilla,Eurasian Blackcap,Arjun Dutta,United Kingdom,2022-01-02,07:30,14,B,"call, nocturnal flight song",field recording,yes,[],44100,https://xeno-canto.org/936254,https://xeno-canto.org/936254/download,bird_data\raw\sylvia_atricapilla\XC936254.mp3
936243,Sylvia atricapilla,Eurasian Blackcap,Arjun Dutta,United Kingdom,2023-02-15,16:00,35,B,call,field recording,yes,"[""Turdus merula""]",44100,https://xeno-canto.org/936243,https://xeno-canto.org/936243/download,bird_data\raw\sylvia_atricapilla\XC936243.mp3
936253,Sylvia atricapilla,Eurasian Blackcap,Arjun Dutta,United Kingdom,2022-03-29,03:30,7,B,nocturnal flight song,field recording,no,[],44100,https://xeno-canto.org/936253,https://xeno-canto.org/936253/download,bird_data\raw\sylvia_atricapilla\XC936253.mp3
986437,Sylvia atricapilla,Eurasian Blackcap,Molly Bell,Ireland,2025-04-08,12:27,22,A,song,field recording,yes,"[""Turdus merula"", ""Troglodytes troglodytes"", ""Periparus ater""]",44100,https://xeno-canto.org/986437,https://xeno-canto.org/986437/download,bird_data\raw\sylvia_atricapilla\XC986437.mp3
986487,Sylvia atricapilla,Eurasian Blackcap,David Darrell-Lambert,United Kingdom,2023-05-09,09:30,7,A,song,field recording,no,[],48000,https://xeno-canto.org/986487,https://xeno-canto.org/986487/download,bird_data\raw\sylvia_atricapilla\XC986487.mp3
928946,Sylvia atricapilla,Eurasian Blackcap,Thomas Coldwell,United Kingdom,2024-06-02,10:20,14,A,song,field recording,yes,[],44100,https://xeno-canto.org/928946,https://xeno-canto.org/928946/download,bird_data\raw\sylvia_atricapilla\XC928946.mp3
1044565,Sylvia atricapilla,Eurasian Blackcap,Stewart Hares,United Kingdom,2025-07-31,17:30,12,B,song,field recording,yes,[],48000,https://xeno-canto.org/1044565,https://xeno-canto.org/1044565/download,bird_data\raw\sylvia_atricapilla\XC1044565.mp3
1032666,Sylvia atricapilla,Eurasian Blackcap,David Darrell-Lambert,United Kingdom,2025-08-25,07:00,35,B,call,field recording,yes,[],32000,https://xeno-canto.org/1032666,https://xeno-canto.org/1032666/download,bird_data\raw\sylvia_atricapilla\XC1032666.mp3
977674,Sylvia atricapilla,Eurasian Blackcap,David Darrell-Lambert,United Kingdom,2024-09-07,10:00,6,B,call,field recording,yes,[],48000,https://xeno-canto.org/977674,https://xeno-canto.org/977674/download,bird_data\raw\sylvia_atricapilla\XC977674.mp3
938500,Sylvia atricapilla,Eurasian Blackcap,Andrew Harrop,United Kingdom,2024-10-07,13:30,5,B,call,field recording,yes,[],44100,https://xeno-canto.org/938500,https://xeno-canto.org/938500/download,bird_data\raw\sylvia_atricapilla\XC938500.mp3
