xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
936254,Sylvia atricapilla,Eurasian Blackcap,Arjun Dutta,United Kingdom,2022-01-02,07:30,14,B,"call, nocturnal flight song",field recording,yes,[],44100,https://xeno-canto.org/936254,https://xeno-canto.org/936254/download,
936243,Sylvia atricapilla,Eurasian Blackcap,Arjun Dutta,United Kingdom,2023-02-15,16:00,35,B,call,field recording,yes,"[""Turdus merula""]",44100,https://xeno-canto.org/936243,https://xeno-canto.org/936243/download,
936253,Sylvia atricapilla,Eurasian Blackcap,Arjun Dutta,United Kingdom,2022-03-29,03:30,7,B,nocturnal flight song,field recording,no,[],44100,https://xeno-canto.org/936253,https://xeno-canto.org/936253/download,
986437,Sylvia atricapilla,Eurasian Blackcap,Molly Bell,Ireland,2025-04-08,12:27,22,A,song,field recording,yes,"[""Turdus merula"", ""Troglodytes troglodytes"", ""Periparus ater""]",44100,https://xeno-canto.org/986437,https://xeno-canto.org/986437/download,
986487,Sylvia atricapilla,Eurasian Blackcap,David Darrell-Lambert,United Kingdom,2023-05-09,09:30,7,A,song,field recording,no,[],48000,https://xeno-canto.org/986487,https://xeno-canto.org/986487/download,
928946,Sylvia atricapilla,Eurasian Blackcap,Thomas Coldwell,United Kingdom,2024-06-02,10:20,14,A,song,field recording,yes,[],44100,https://xeno-canto.org/928946,https://xeno-canto.org/928946/download,
1044565,Sylvia atricapilla,Eurasian Blackcap,Stewart Hares,United Kingdom,2025-07-31,17:30,12,B,song,field recording,yes,[],48000,https://xeno-canto.org/1044565,https://xeno-canto.org/1044565/download,
1032666,Sylvia atricapilla,Eurasian Blackcap,David Darrell-Lambert,United Kingdom,2025-08-25,07:00,35,B,call,field recording,yes,[],32000,https://xeno-canto.org/1032666,https://xeno-canto.org/1032666/download,
977674,Sylvia atricapilla,Eurasian Blackcap,David Darrell-Lambert,United Kingdom,2024-09-07,10:00,6,B,call,field recording,yes,[],48000,https://xeno-canto.org/977674,https://xeno-canto.org/977674/download,
938500,Sylvia atricapilla,Eurasian Blackcap,Andrew Harrop,United Kingdom,2024-10-07,13:30,5,B,call,field recording,yes,[],44100,https://xeno-canto.org/938500,https://xeno-canto.org/938500/download,
295770,Sylvia atricapilla,Eurasian Blackcap,Jordi Calvet,Spain,2015-11-15,17:41,15,A,"alarm call, call",field recording,no,"[""Erithacus rubecula""]",48000,https://xeno-canto.org/295770,https://xeno-canto.org/295770/download,
1069726,Sylvia atricapilla,Eurasian Blackcap,Thierry THOMAS,France,2025-12-29,08:07,32,B,"alarm call, call",field recording,no,[],44100,https://xeno-canto.org/1069726,https://xeno-canto.org/1069726/download,
521586,Sylvia atricapilla,Eurasian Blackcap,Sean Ronayne,Spain,2020-01-12,10:00,18,A,call,field recording,yes,[],48000,https://xeno-canto.org/521586,https://xeno-canto.org/521586/download,
622344,Sylvia atricapilla,Eurasian Blackcap,Mr Mark Shorten,Ireland,2021-02-17,10:30,20,B,subsong,field recording,unknown,[],48000,https://xeno-canto.org/622344,https://xeno-canto.org/622344/download,
884763,Sylvia atricapilla,Eurasian Blackcap,Paul Driver,United Kingdom,2024-03-18,06:07,26,B,song,field recording,no,[],48000,https://xeno-canto.org/884763,https://xeno-canto.org/884763/download,
985877,Sylvia atricapilla,Eurasian Blackcap,David Darrell-Lambert,United Kingdom,2025-04-05,09:00,48,A,"song, displaying",field recording,yes,[],32000,https://xeno-canto.org/985877,https://xeno-canto.org/985877/download,
905250,Sylvia atricapilla,Eurasian Blackcap,Azens,United Kingdom,2024-05-20,05:18,36,A,song,field recording,no,"[""Columba palumbus"", ""Phylloscopus trochilus"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/905250,https://xeno-canto.org/905250/download,
421349,Sylvia atricapilla,Eurasian Blackcap,James Bradley,United Kingdom,2018-06-06,19:00,14,A,song,field recording,no,[],44100,https://xeno-canto.org/421349,https://xeno-canto.org/421349/download,
1031277,Sylvia atricapilla,Eurasian Blackcap,Meena Haribal,United Kingdom,2025-07-03,15:30,36,B,"call, song",field recording,yes,[],44100,https://xeno-canto.org/1031277,https://xeno-canto.org/1031277/download,
686296,Sylvia atricapilla,Eurasian Blackcap,Irish Wildlife Sounds,Ireland,2021-08-25,15:00,21,B,call,field recording,yes,[],44100,https://xeno-canto.org/686296,https://xeno-canto.org/686296/download,
672534,Sylvia atricapilla,Eurasian Blackcap,Paul Archer,Ireland,2021-09-05,16:00,27,B,call,field recording,yes,[],48000,https://xeno-canto.org/672534,https://xeno-canto.org/672534/download,
341477,Sylvia atricapilla,Eurasian Blackcap,Anthony McGeehan ,Ireland,2016-10-29,13:30,26,B,call,field recording,yes,[],44100,https://xeno-canto.org/341477,https://xeno-canto.org/341477/download,
1070166,Sylvia atricapilla,Eurasian Blackcap,Nelson Conceição,Portugal,2025-11-02,18:38,10,B,call,field recording,no,[],48000,https://xeno-canto.org/1070166,https://xeno-canto.org/1070166/download,
766392,Sylvia atricapilla,Eurasian Blackcap,Jacobo Ramil Millarengo,Spain,2022-12-04,17:30,57,B,"call, subsong",field recording,yes,"[""Dendrocopos major""]",44100,https://xeno-canto.org/766392,https://xeno-canto.org/766392/download,
1075958,Sylvia atricapilla,Eurasian Blackcap,Icilio MANIACCI,France,2026-01-30,15:00,7,B,,field recording,yes,[],44100,https://xeno-canto.org/1075958,https://xeno-canto.org/1075958/download,
966117,Sylvia atricapilla,Eurasian Blackcap,Jacobo Ramil Millarengo,Spain,2025-02-02,09:30,40,A,song,field recording,yes,[],48000,https://xeno-canto.org/966117,https://xeno-canto.org/966117/download,
710393,Sylvia atricapilla,Eurasian Blackcap,Paul Kelly,Ireland,2022-03-22,08:30,9,B,song,field recording,yes,[],48000,https://xeno-canto.org/710393,https://xeno-canto.org/710393/download,
795601,Sylvia atricapilla,Eurasian Blackcap,David Bissett,United Kingdom,2023-04-24,10:30,42,A,song,field recording,no,"[""Turdus merula"", ""Phylloscopus collybita""]",96000,https://xeno-canto.org/795601,https://xeno-canto.org/795601/download,
854559,Sylvia atricapilla,Eurasian Blackcap,David Pennington,United Kingdom,2023-05-15,11:32,58,A,song,field recording,yes,[],48000,https://xeno-canto.org/854559,https://xeno-canto.org/854559/download,
1031123,Sylvia atricapilla,Eurasian Blackcap,Meena Haribal,United Kingdom,2025-06-24,10:00,34,B,song,field recording,no,[],44100,https://xeno-canto.org/1031123,https://xeno-canto.org/1031123/download,
1024140,Sylvia atricapilla,Eurasian Blackcap,Paul Driver,United Kingdom,2025-07-11,08:37,12,B,begging call,field recording,no,[],48000,https://xeno-canto.org/1024140,https://xeno-canto.org/1024140/download,
191395,Sylvia atricapilla,Eurasian Blackcap,Oscar Campbell,United Kingdom,2014-08-05,15:30,28,B,call,field recording,no,[],44100,https://xeno-canto.org/191395,https://xeno-canto.org/191395/download,
587572,Sylvia atricapilla,Eurasian Blackcap,Craig Brookes,United Kingdom,2020-09-09,17:30,21,B,"alarm call, call",field recording,no,"[""Phylloscopus collybita""]",44100,https://xeno-canto.org/587572,https://xeno-canto.org/587572/download,
1063841,Sylvia atricapilla,Eurasian Blackcap,Nelson Conceição,Portugal,2025-10-21,11:40,29,B,call,field recording,no,[],48000,https://xeno-canto.org/1063841,https://xeno-canto.org/1063841/download,
1059051,Sylvia atricapilla,Eurasian Blackcap,Paul Kelly,Portugal,2025-11-13,17:00,10,B,call,field recording,no,"[""Columba palumbus""]",24000,https://xeno-canto.org/1059051,https://xeno-canto.org/1059051/download,
668037,Sylvia atricapilla,Eurasian Blackcap,Filippo Ceccolini,Italy,2020-12-25,?,42,B,call,field recording,yes,[],48000,https://xeno-canto.org/668037,https://xeno-canto.org/668037/download,
1074424,Sylvia atricapilla,Eurasian Blackcap,Nelson Conceição,Portugal,2026-01-14,17:38,43,B,call,field recording,no,"[""Turdus merula"", ""Athene noctua"", ""Erithacus rubecula""]",48000,https://xeno-canto.org/1074424,https://xeno-canto.org/1074424/download,
460077,Sylvia atricapilla,Eurasian Blackcap,Alain Verneau,Spain,2019-02-26,11:30,13,A,song,field recording,yes,[],44100,https://xeno-canto.org/460077,https://xeno-canto.org/460077/download,
636441,Sylvia atricapilla,Eurasian Blackcap,Lee Alder,United Kingdom,2021-03-31,10:12,57,B,song,field recording,no,[],48000,https://xeno-canto.org/636441,https://xeno-canto.org/636441/download,
717596,Sylvia atricapilla,Eurasian Blackcap,Irish Wildlife Sounds,Ireland,2022-04-13,17:00,19,A,"song, uncertain, plastic song",field recording,yes,[],44100,https://xeno-canto.org/717596,https://xeno-canto.org/717596/download,
732590,Sylvia atricapilla,Eurasian Blackcap,Jonathan Bryant,United Kingdom,2022-05-17,07:30,54,A,song,field recording,yes,"[""Fringilla coelebs"", ""Picus viridis""]",48000,https://xeno-canto.org/732590,https://xeno-canto.org/732590/download,
1031121,Sylvia atricapilla,Eurasian Blackcap,Meena Haribal,United Kingdom,2025-06-24,10:00,49,B,"alarm call, song",field recording,yes,"[""Troglodytes troglodytes""]",44100,https://xeno-canto.org/1031121,https://xeno-canto.org/1031121/download,
1019689,Sylvia atricapilla,Eurasian Blackcap,Colm Philpott,Ireland,2025-07-25,10:30,33,B,song,in the hand,no,[],44100,https://xeno-canto.org/1019689,https://xeno-canto.org/1019689/download,
823862,Sylvia atricapilla,Eurasian Blackcap,Dominique Guillerme,France,2023-08-17,07:30,15,A,"alarm call, call",in the hand,yes,[],48000,https://xeno-canto.org/823862,https://xeno-canto.org/823862/download,
499729,Sylvia atricapilla,Eurasian Blackcap,Andrew Harrop,United Kingdom,2019-09-27,07:30,18,B,call,field recording,yes,[],44100,https://xeno-canto.org/499729,https://xeno-canto.org/499729/download,
1063774,Sylvia atricapilla,Eurasian Blackcap,Nelson Conceição,Portugal,2025-10-11,17:44,16,B,call,field recording,yes,[],48000,https://xeno-canto.org/1063774,https://xeno-canto.org/1063774/download,
1055821,Sylvia atricapilla,Eurasian Blackcap,Filippo Ceccolini,Italy,2025-11-15,15:30,14,B,call,field recording,no,[],48000,https://xeno-canto.org/1055821,https://xeno-canto.org/1055821/download,
614265,Sylvia atricapilla,Eurasian Blackcap,Daniele Baroni,Italy,2020-12-26,16:55,10,B,call,field recording,no,[],48000,https://xeno-canto.org/614265,https://xeno-canto.org/614265/download,
1072937,Sylvia atricapilla,Eurasian Blackcap,GABRIEL LEITE,Portugal,2026-01-02,09:00,19,B,call,field recording,yes,[],44100,https://xeno-canto.org/1072937,https://xeno-canto.org/1072937/download,
1078371,Sylvia atricapilla,Eurasian Blackcap,Thierry THOMAS,France,2026-02-06,17:45,12,B,"call, aberrant call",field recording,no,[],44100,https://xeno-canto.org/1078371,https://xeno-canto.org/1078371/download,
633592,Sylvia atricapilla,Eurasian Blackcap,Shailesh Patel,United Kingdom,2021-03-30,14:00,24,B,song,field recording,yes,[],44100,https://xeno-canto.org/633592,https://xeno-canto.org/633592/download,
552452,Sylvia atricapilla,Eurasian Blackcap,Anthony McGeehan ,United Kingdom,2020-04-28,09:00,44,A,song,field recording,yes,[],48000,https://xeno-canto.org/552452,https://xeno-canto.org/552452/download,
728059,Sylvia atricapilla,Eurasian Blackcap,Dean McDonnell,Ireland,2022-05-02,11:00,16,A,song,field recording,yes,"[""Columba palumbus""]",44100,https://xeno-canto.org/728059,https://xeno-canto.org/728059/download,
917074,Sylvia atricapilla,Eurasian Blackcap,steve,United Kingdom,2024-06-26,09:30,39,B,song,field recording,yes,[],44100,https://xeno-canto.org/917074,https://xeno-canto.org/917074/download,
1017265,Sylvia atricapilla,Eurasian Blackcap,David Darrell-Lambert,United Kingdom,2025-07-18,05:30,20,B,call,field recording,no,[],32000,https://xeno-canto.org/1017265,https://xeno-canto.org/1017265/download,
