xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
965020,Troglodytes troglodytes,Eurasian Wren,Andrew Harrop,United Kingdom,2025-01-29,09:30,3,B,song,field recording,yes,[],44100,https://xeno-canto.org/965020,https://xeno-canto.org/965020/download,bird_data\raw\troglodytes_troglodytes\XC965020.mp3
461839,Troglodytes troglodytes,Eurasian Wren,Andrew Harrop,United Kingdom,2019-02-21,11:26,46,A,song,field recording,yes,[],16000,https://xeno-canto.org/461839,https://xeno-canto.org/461839/download,bird_data\raw\troglodytes_troglodytes\XC461839.mp3
882571,Troglodytes troglodytes,Eurasian Wren,Paul Kelly,Ireland,2024-03-15,18:30,51,A,"song, Sheep.",field recording,no,"[""Chroicocephalus ridibundus""]",44100,https://xeno-canto.org/882571,https://xeno-canto.org/882571/download,bird_data\raw\troglodytes_troglodytes\XC882571.mp3
897406,Troglodytes troglodytes,Eurasian Wren,David Bissett,United Kingdom,2024-04-21,07:00,47,A,song,field recording,no,"[""Turdus merula""]",96000,https://xeno-canto.org/897406,https://xeno-canto.org/897406/download,bird_data\raw\troglodytes_troglodytes\XC897406.mp3
133872,Troglodytes troglodytes,Eurasian Wren,Mike Nelson,United Kingdom,2013-05-12,07:00,52,A,song,field recording,yes,"[""Fringilla coelebs"", ""Coloeus monedula""]",44100,https://xeno-canto.org/133872,https://xeno-canto.org/133872/download,bird_data\raw\troglodytes_troglodytes\XC133872.mp3
822150,Troglodytes troglodytes,Eurasian Wren,James Lambert,United Kingdom,2023-06-05,07:03,5,A,song,field recording,yes,"[""Turdus philomelos""]",48000,https://xeno-canto.org/822150,https://xeno-canto.org/822150/download,bird_data\raw\troglodytes_troglodytes\XC822150.mp3
1025759,Troglodytes troglodytes,Eurasian Wren,David Boyle,United Kingdom,2025-07-29,05:00,55,A,"call, song",field recording,no,"[""Emberiza citrinella""]",48000,https://xeno-canto.org/1025759,https://xeno-canto.org/1025759/download,bird_data\raw\troglodytes_troglodytes\XC1025759.mp3
749506,Troglodytes troglodytes,Eurasian Wren,Irish Wildlife Sounds,Ireland,2022-08-25,09:00,24,A,song,field recording,no,[],44100,https://xeno-canto.org/749506,https://xeno-canto.org/749506/download,bird_data\raw\troglodytes_troglodytes\XC749506.mp3
1044258,Troglodytes troglodytes,Eurasian Wren,David Darrell-Lambert,United Kingdom,2025-09-30,11:00,58,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/1044258,https://xeno-canto.org/1044258/download,bird_data\raw\troglodytes_troglodytes\XC1044258.mp3
1047693,Troglodytes troglodytes,Eurasian Wren,Paul Kelly,Ireland,2025-10-09,07:30,6,B,call,field recording,no,[],44100,https://xeno-canto.org/1047693,https://xeno-canto.org/1047693/download,bird_data\raw\troglodytes_troglodytes\XC1047693.mp3
692833,Troglodytes troglodytes,Eurasian Wren,Irish Wildlife Sounds,Ireland,2021-11-23,11:00,30,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/692833,https://xeno-canto.org/692833/download,bird_data\raw\troglodytes_troglodytes\XC692833.mp3
1068505,Troglodytes troglodytes,Eurasian Wren,Colm Philpott,Ireland,2025-12-27,10:30,26,B,uncertain,field recording,no,[],44100,https://xeno-canto.org/1068505,https://xeno-canto.org/1068505/download,bird_data\raw\troglodytes_troglodytes\XC1068505.mp3
858544,Troglodytes troglodytes,Eurasian Wren,Andrew Harrop,United Kingdom,2024-01-01,10:30,5,B,alarm call,field recording,yes,[],44100,https://xeno-canto.org/858544,https://xeno-canto.org/858544/download,bird_data\raw\troglodytes_troglodytes\XC858544.mp3
781826,Troglodytes troglodytes,Eurasian Wren,Paul Kelly,Ireland,2023-02-12,08:30,37,B,"song, Canine.",field recording,no,"[""Cygnus cygnus"", ""Numenius arquata""]",44100,https://xeno-canto.org/781826,https://xeno-canto.org/781826/download,bird_data\raw\troglodytes_troglodytes\XC781826.mp3
882126,Troglodytes troglodytes,Eurasian Wren,Paul Kelly,Ireland,2024-03-15,18:30,11,A,song,field recording,no,[],44100,https://xeno-canto.org/882126,https://xeno-canto.org/882126/download,bird_data\raw\troglodytes_troglodytes\XC882126.mp3
788818,Troglodytes troglodytes,Eurasian Wren,Simon Elliott,United Kingdom,1990-04-08,09:00,51,A,song,field recording,yes,"[""Erithacus rubecula""]",44100,https://xeno-canto.org/788818,https://xeno-canto.org/788818/download,bird_data\raw\troglodytes_troglodytes\XC788818.mp3
999199,Troglodytes troglodytes,Eurasian Wren,Colm Philpott,Ireland,2025-05-17,19:30,13,B,song,in the hand,no,[],44100,https://xeno-canto.org/999199,https://xeno-canto.org/999199/download,bird_data\raw\troglodytes_troglodytes\XC999199.mp3
812091,Troglodytes troglodytes,Eurasian Wren,Paul Driver,United Kingdom,2022-06-16,08:30,57,A,"song, in flight",field recording,yes,[],44100,https://xeno-canto.org/812091,https://xeno-canto.org/812091/download,bird_data\raw\troglodytes_troglodytes\XC812091.mp3
1019693,Troglodytes troglodytes,Eurasian Wren,He Wenjin/文进,United Kingdom,2025-07-20,5:00,19,A,song,field recording,yes,[],48000,https://xeno-canto.org/1019693,https://xeno-canto.org/1019693/download,bird_data\raw\troglodytes_troglodytes\XC1019693.mp3
749505,Troglodytes troglodytes,Eurasian Wren,Irish Wildlife Sounds,Ireland,2022-08-25,09:00,40,A,song,field recording,no,[],44100,https://xeno-canto.org/749505,https://xeno-canto.org/749505/download,bird_data\raw\troglodytes_troglodytes\XC749505.mp3
934583,Troglodytes troglodytes,Eurasian Wren,Paul Kelly,Ireland,2024-09-13,06:30,9,B,"call, Ocean.",field recording,no,"[""Numenius arquata""]",44100,https://xeno-canto.org/934583,https://xeno-canto.org/934583/download,bird_data\raw\troglodytes_troglodytes\XC934583.mp3
1046329,Troglodytes troglodytes,Eurasian Wren,Andrew Harrop,United Kingdom,2025-10-08,07:00,2,B,song,field recording,no,[],44100,https://xeno-canto.org/1046329,https://xeno-canto.org/1046329/download,bird_data\raw\troglodytes_troglodytes\XC1046329.mp3
1065086,Troglodytes troglodytes,Eurasian Wren,Paul Driver,United Kingdom,2025-11-26,08:30,31,B,call,field recording,yes,[],48000,https://xeno-canto.org/1065086,https://xeno-canto.org/1065086/download,bird_data\raw\troglodytes_troglodytes\XC1065086.mp3
1068124,Troglodytes troglodytes,Eurasian Wren,Colm Philpott,Ireland,2025-12-26,11:00,17,B,uncertain,field recording,no,[],44100,https://xeno-canto.org/1068124,https://xeno-canto.org/1068124/download,bird_data\raw\troglodytes_troglodytes\XC1068124.mp3
858543,Troglodytes troglodytes,Eurasian Wren,Andrew Harrop,United Kingdom,2024-01-01,10:30,3,B,song,field recording,yes,[],44100,https://xeno-canto.org/858543,https://xeno-canto.org/858543/download,bird_data\raw\troglodytes_troglodytes\XC858543.mp3
778909,Troglodytes troglodytes,Eurasian Wren,Lee Alder,United Kingdom,2023-02-04,08:43,40,B,song,field recording,no,"[""Columba palumbus"", ""Turdus philomelos"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/778909,https://xeno-canto.org/778909/download,bird_data\raw\troglodytes_troglodytes\XC778909.mp3
879393,Troglodytes troglodytes,Eurasian Wren,Mark Plummer,United Kingdom,2024-03-04,06:21,32,A,song,field recording,no,[],22050,https://xeno-canto.org/879393,https://xeno-canto.org/879393/download,bird_data\raw\troglodytes_troglodytes\XC879393.mp3
717599,Troglodytes troglodytes,Eurasian Wren,Irish Wildlife Sounds,Ireland,2022-04-13,17:00,12,A,"call, agitation/agression calls",field recording,yes,[],44100,https://xeno-canto.org/717599,https://xeno-canto.org/717599/download,bird_data\raw\troglodytes_troglodytes\XC717599.mp3
901338,Troglodytes troglodytes,Eurasian Wren,Chris Button,United Kingdom,2024-05-08,09:30,45,B,uncertain,field recording,no,[],48000,https://xeno-canto.org/901338,https://xeno-canto.org/901338/download,bird_data\raw\troglodytes_troglodytes\XC901338.mp3
777055,Troglodytes troglodytes,Eurasian Wren,Fraser Simpson,United Kingdom,2022-06-23,06:00,33,A,song,field recording,yes,[],44100,https://xeno-canto.org/777055,https://xeno-canto.org/777055/download,bird_data\raw\troglodytes_troglodytes\XC777055.mp3
740842,Troglodytes troglodytes,Eurasian Wren,Irish Wildlife Sounds,Ireland,2022-07-27,09:30,53,A,song,field recording,yes,[],44100,https://xeno-canto.org/740842,https://xeno-canto.org/740842/download,bird_data\raw\troglodytes_troglodytes\XC740842.mp3
749461,Troglodytes troglodytes,Eurasian Wren,Irish Wildlife Sounds,Ireland,2022-08-17,07:00,12,A,alarm call,field recording,no,[],44100,https://xeno-canto.org/749461,https://xeno-canto.org/749461/download,bird_data\raw\troglodytes_troglodytes\XC749461.mp3
934582,Troglodytes troglodytes,Eurasian Wren,Paul Kelly,Ireland,2024-09-13,06:30,53,B,"call, Ocean.",field recording,no,"[""Numenius arquata""]",44100,https://xeno-canto.org/934582,https://xeno-canto.org/934582/download,bird_data\raw\troglodytes_troglodytes\XC934582.mp3
