xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
965020,Troglodytes troglodytes,Eurasian Wren,Andrew Harrop,United Kingdom,2025-01-29,09:30,3,B,song,field recording,yes,[],44100,https://xeno-canto.org/965020,https://xeno-canto.org/965020/download,
461839,Troglodytes troglodytes,Eurasian Wren,Andrew Harrop,United Kingdom,2019-02-21,11:26,46,A,song,field recording,yes,[],16000,https://xeno-canto.org/461839,https://xeno-canto.org/461839/download,
882571,Troglodytes troglodytes,Eurasian Wren,Paul Kelly,Ireland,2024-03-15,18:30,51,A,"song, Sheep.",field recording,no,"[""Chroicocephalus ridibundus""]",44100,https://xeno-canto.org/882571,https://xeno-canto.org/882571/download,
897406,Troglodytes troglodytes,Eurasian Wren,David Bissett,United Kingdom,2024-04-21,07:00,47,A,song,field recording,no,"[""Turdus merula""]",96000,https://xeno-canto.org/897406,https://xeno-canto.org/897406/download,
133872,Troglodytes troglodytes,Eurasian Wren,Mike Nelson,United Kingdom,2013-05-12,07:00,52,A,song,field recording,yes,"[""Fringilla coelebs"", ""Coloeus monedula""]",44100,https://xeno-canto.org/133872,https://xeno-canto.org/133872/download,
822150,Troglodytes troglodytes,Eurasian Wren,James Lambert,United Kingdom,2023-06-05,07:03,5,A,song,field recording,yes,"[""Turdus philomelos""]",48000,https://xeno-canto.org/822150,https://xeno-canto.org/822150/download,
1025759,Troglodytes troglodytes,Eurasian Wren,David Boyle,United Kingdom,2025-07-29,05:00,55,A,"call, song",field recording,no,"[""Emberiza citrinella""]",48000,https://xeno-canto.org/1025759,https://xeno-canto.org/1025759/download,
749506,Troglodytes troglodytes,Eurasian Wren,Irish Wildlife Sounds,Ireland,2022-08-25,09:00,24,A,song,field recording,no,[],44100,https://xeno-canto.org/749506,https://xeno-canto.org/749506/download,
1044258,Troglodytes troglodytes,Eurasian Wren,David Darrell-Lambert,United Kingdom,2025-09-30,11:00,58,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/1044258,https://xeno-canto.org/1044258/download,
1047693,Troglodytes troglodytes,Eurasian Wren,Paul Kelly,Ireland,2025-10-09,07:30,6,B,call,field recording,no,[],44100,https://xeno-canto.org/1047693,https://xeno-canto.org/1047693/download,
692833,Troglodytes troglodytes,Eurasian Wren,Irish Wildlife Sounds,Ireland,2021-11-23,11:00,30,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/692833,https://xeno-canto.org/692833/download,
1068505,Troglodytes troglodytes,Eurasian Wren,Colm Philpott,Ireland,2025-12-27,10:30,26,B,uncertain,field recording,no,[],44100,https://xeno-canto.org/1068505,https://xeno-canto.org/1068505/download,
858544,Troglodytes troglodytes,Eurasian Wren,Andrew Harrop,United Kingdom,2024-01-01,10:30,5,B,alarm call,field recording,yes,[],44100,https://xeno-canto.org/858544,https://xeno-canto.org/858544/download,
781826,Troglodytes troglodytes,Eurasian Wren,Paul Kelly,Ireland,2023-02-12,08:30,37,B,"song, Canine.",field recording,no,"[""Cygnus cygnus"", ""Numenius arquata""]",44100,https://xeno-canto.org/781826,https://xeno-canto.org/781826/download,
882126,Troglodytes troglodytes,Eurasian Wren,Paul Kelly,Ireland,2024-03-15,18:30,11,A,song,field recording,no,[],44100,https://xeno-canto.org/882126,https://xeno-canto.org/882126/download,
788818,Troglodytes troglodytes,Eurasian Wren,Simon Elliott,United Kingdom,1990-04-08,09:00,51,A,song,field recording,yes,"[""Erithacus rubecula""]",44100,https://xeno-canto.org/788818,https://xeno-canto.org/788818/download,
999199,Troglodytes troglodytes,Eurasian Wren,Colm Philpott,Ireland,2025-05-17,19:30,13,B,song,in the hand,no,[],44100,https://xeno-canto.org/999199,https://xeno-canto.org/999199/download,
812091,Troglodytes troglodytes,Eurasian Wren,Paul Driver,United Kingdom,2022-06-16,08:30,57,A,"song, in flight",field recording,yes,[],44100,https://xeno-canto.org/812091,https://xeno-canto.org/812091/download,
1019693,Troglodytes troglodytes,Eurasian Wren,He Wenjin/文进,United Kingdom,2025-07-20,5:00,19,A,song,field recording,yes,[],48000,https://xeno-canto.org/1019693,https://xeno-canto.org/1019693/download,
749505,Troglodytes troglodytes,Eurasian Wren,Irish Wildlife Sounds,Ireland,2022-08-25,09:00,40,A,song,field recording,no,[],44100,https://xeno-canto.org/749505,https://xeno-canto.org/749505/download,
934583,Troglodytes troglodytes,Eurasian Wren,Paul Kelly,Ireland,2024-09-13,06:30,9,B,"call, Ocean.",field recording,no,"[""Numenius arquata""]",44100,https://xeno-canto.org/934583,https://xeno-canto.org/934583/download,
