species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
turdus_merula,894642,Turdus merula,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\turdus_merula\XC894642.mp3,16.0,19.0,-29.847178182964335,-32.28205581844578,species,Turdus merula,Eurasian Blackbird,0.8634374141693115,0.8634374141693115,species,0.0,,,
turdus_merula,894642,Turdus merula,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\turdus_merula\XC894642.mp3,19.0,22.0,-31.885226977503326,-32.28205581844578,species,Turdus merula,Eurasian Blackbird,0.8293498158454895,0.8293498158454895,species,1.0,rand_species,bird_data\clips\species\turdus_merula\XC894642__s19000__e22000.wav,
turdus_merula,894642,Turdus merula,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\turdus_merula\XC894642.mp3,22.0,25.0,-29.61279320602799,-32.28205581844578,species,Turdus merula,Eurasian Blackbird,0.5500099658966064,0.5500099658966064,species,1.0,rand_species,bird_data\clips\species\turdus_merula\XC894642__s22000__e25000.wav,
turdus_merula,894642,Turdus merula,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\turdus_merula\XC894642.mp3,25.0,28.0,-27.344403942956347,-32.28205581844578,species,Turdus merula,Eurasian Blackbird,0.8638479709625244,0.8638479709625244,species,0.0,,,
turdus_merula,894642,Turdus merula,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\turdus_merula\XC894642.mp3,37.0,40.0,-30.718153431713464,-32.28205581844578,species,Turdus merula,Eurasian Blackbird,0.6118583083152771,0.6118583083152771,species,1.0,rand_species,bird_data\clips\species\turdus_merula\XC894642__s37000__e40000.wav,
turdus_merula,894642,Turdus merula,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\turdus_merula\XC894642.mp3,40.0,43.0,-25.11413263073536,-32.28205581844578,species,Turdus merula,Eurasian Blackbird,0.9185196161270142,0.9185196161270142,species,0.0,,,
turdus_merula,783056,Turdus merula,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\turdus_merula\XC783056.mp3,4.0,7.0,-28.39682463519711,-29.700923996240494,drop,Turdus migratorius,American Robin,0.4883476793766022,0.4883476793766022,drop,0.0,,,
turdus_merula,783056,Turdus merula,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\turdus_merula\XC783056.mp3,7.0,10.0,-26.06159424233812,-29.700923996240494,drop,Turdus migratorius,American Robin,0.36102139949798584,0.36102139949798584,drop,0.0,,,
turdus_merula,982612,Turdus merula,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\turdus_merula\XC982612.mp3,19.0,22.0,-20.884558717391965,-21.19167082840986,species,Turdus merula,Eurasian Blackbird,0.6620423793792725,0.6620423793792725,species,0.0,,,
turdus_merula,982612,Turdus merula,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\turdus_merula\XC982612.mp3,22.0,25.0,-20.63554949052952,-21.19167082840986,species,Turdus merula,Eurasian Blackbird,0.9873825907707214,0.9873825907707214,species,1.0,rand_species,bird_data\clips\species\turdus_merula\XC982612__s22000__e25000.wav,
turdus_merula,982612,Turdus merula,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\turdus_merula\XC982612.mp3,31.0,34.0,-19.891532411960153,-21.19167082840986,species,Turdus merula,Eurasian Blackbird,0.9531157612800598,0.9531157612800598,species,1.0,rand_species,bird_data\clips\species\turdus_merula\XC982612__s31000__e34000.wav,
turdus_merula,982612,Turdus merula,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\turdus_merula\XC982612.mp3,34.0,37.0,-18.38119047520694,-21.19167082840986,species,Turdus merula,Eurasian Blackbird,0.6963369250297546,0.6963369250297546,species,1.0,rand_species,bird_data\clips\species\turdus_merula\XC982612__s34000__e37000.wav,
turdus_merula,982612,Turdus merula,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\turdus_merula\XC982612.mp3,37.0,40.0,-15.78189205512218,-21.19167082840986,non_bird,,,0.0,0.0,non_bird,1.0,nonbird_lowconf,bird_data\clips\non_bird\turdus_merula\XC982612__s37000__e40000.wav,
turdus_merula,982612,Turdus merula,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\turdus_merula\XC982612.mp3,40.0,43.0,-15.956353213090438,-21.19167082840986,species,Turdus merula,Eurasian Blackbird,0.9489617943763733,0.9489617943763733,species,0.0,,,
