xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
894642,Turdus merula,Common Blackbird,Simon Elliott,United Kingdom,2024-01-13,14:00,46,A,call,field recording,yes,"[""Carduelis carduelis""]",48000,https://xeno-canto.org/894642,https://xeno-canto.org/894642/download,bird_data\raw\turdus_merula\XC894642.mp3
783056,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2023-02-25,00:30,12,A,alarm call,field recording,no,[],44100,https://xeno-canto.org/783056,https://xeno-canto.org/783056/download,bird_data\raw\turdus_merula\XC783056.mp3
982612,Turdus merula,Common Blackbird,Will Scott,United Kingdom,2025-03-24,05:00,45,A,song,field recording,no,[],44100,https://xeno-canto.org/982612,https://xeno-canto.org/982612/download,bird_data\raw\turdus_merula\XC982612.mp3
986243,Turdus merula,Common Blackbird,Molly Bell,Ireland,2025-04-07,07:13,59,A,"dawn song, song",field recording,yes,"[""Erithacus rubecula"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/986243,https://xeno-canto.org/986243/download,bird_data\raw\turdus_merula\XC986243.mp3
436368,Turdus merula,Common Blackbird,Adrian Thomas,United Kingdom,2016-05-04,04:30,20,A,song,field recording,yes,[],48000,https://xeno-canto.org/436368,https://xeno-canto.org/436368/download,bird_data\raw\turdus_merula\XC436368.mp3
912632,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2024-06-08,21:30,28,A,song,field recording,no,"[""Emberiza schoeniclus""]",44100,https://xeno-canto.org/912632,https://xeno-canto.org/912632/download,bird_data\raw\turdus_merula\XC912632.mp3
145631,Turdus merula,Common Blackbird,Patrik Åberg,United Kingdom,2013-07-08,04:10,33,A,alarm call,field recording,yes,"[""Troglodytes troglodytes""]",44100,https://xeno-canto.org/145631,https://xeno-canto.org/145631/download,bird_data\raw\turdus_merula\XC145631.mp3
1030029,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2025-08-15,06:30,47,B,call,field recording,no,"[""Columba palumbus"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/1030029,https://xeno-canto.org/1030029/download,bird_data\raw\turdus_merula\XC1030029.mp3
443387,Turdus merula,Common Blackbird,Dominic Garcia-Hall,United Kingdom,2018-09-22,4:30,54,A,"alarm call, call",field recording,no,[],44100,https://xeno-canto.org/443387,https://xeno-canto.org/443387/download,bird_data\raw\turdus_merula\XC443387.mp3
518777,Turdus merula,Common Blackbird,Anthony McGeehan ,Ireland,2018-10-14,13:30,6,A,alarm call,field recording,no,[],48000,https://xeno-canto.org/518777,https://xeno-canto.org/518777/download,bird_data\raw\turdus_merula\XC518777.mp3
949407,Turdus merula,Common Blackbird,David Bissett,United Kingdom,2024-11-16,16:15,55,A,"call, anxious call",field recording,no,[],48000,https://xeno-canto.org/949407,https://xeno-canto.org/949407/download,bird_data\raw\turdus_merula\XC949407.mp3
857364,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2023-12-18,16:00,7,A,"alarm call, call",field recording,no,[],44100,https://xeno-canto.org/857364,https://xeno-canto.org/857364/download,bird_data\raw\turdus_merula\XC857364.mp3
1052331,Turdus merula,Common Blackbird,Lee Alder,United Kingdom,2025-01-25,07:14,55,B,"alarm call, Traffic Noise",field recording,no,"[""Turdus philomelos""]",48000,https://xeno-canto.org/1052331,https://xeno-canto.org/1052331/download,bird_data\raw\turdus_merula\XC1052331.mp3
978500,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2025-02-24,07:00,40,B,call,field recording,no,[],44100,https://xeno-canto.org/978500,https://xeno-canto.org/978500/download,bird_data\raw\turdus_merula\XC978500.mp3
981210,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2025-03-16,05:30,7,A,"alarm call, Ocean.",field recording,no,[],44100,https://xeno-canto.org/981210,https://xeno-canto.org/981210/download,bird_data\raw\turdus_merula\XC981210.mp3
