xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1070415,Turdus philomelos,Song Thrush,Adrien Mauss,France,2026-01-02,23:43,14,A,"alarm call, flight call, nocturnal flight call, wingbeats",field recording,no,[],44100,https://xeno-canto.org/1070415,https://xeno-canto.org/1070415/download,
1019199,Turdus philomelos,Song Thrush,Manuel Grosselet,France,2025-06-18,18:45,46,A,song,field recording,yes,"[""Columba palumbus"", ""Turdus merula""]",44100,https://xeno-canto.org/1019199,https://xeno-canto.org/1019199/download,
1019089,Turdus philomelos,Song Thrush,Filippo Ceccolini,United Kingdom,2025-07-23,20:30,31,A,song,field recording,no,[],48000,https://xeno-canto.org/1019089,https://xeno-canto.org/1019089/download,
1010005,Turdus philomelos,Song Thrush,David Darrell-Lambert,United Kingdom,2025-06-27,07:00,32,A,song,field recording,yes,[],32000,https://xeno-canto.org/1010005,https://xeno-canto.org/1010005/download,
1004197,Turdus philomelos,Song Thrush,Jorge Leitão,Portugal,2025-06-03,11:13,42,A,song,field recording,yes,"[""Fringilla coelebs""]",44100,https://xeno-canto.org/1004197,https://xeno-canto.org/1004197/download,
1004195,Turdus philomelos,Song Thrush,Jorge Leitão,Portugal,2025-06-03,10:53,52,A,song,field recording,yes,"[""Fringilla coelebs"", ""Certhia brachydactyla"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/1004195,https://xeno-canto.org/1004195/download,
1001633,Turdus philomelos,Song Thrush,Luca Baghino,Italy,2025-05-26,07:00,52,A,song,field recording,no,"[""Sylvia atricapilla"", ""Turdus merula""]",48000,https://xeno-canto.org/1001633,https://xeno-canto.org/1001633/download,
999269,Turdus philomelos,Song Thrush,Lars Edenius,Sweden,2025-05-17,04:30,34,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/999269,https://xeno-canto.org/999269/download,
978523,Turdus philomelos,Song Thrush,Vincent Pourchaire,France,2025-03-07,09:00,55,A,song,field recording,no,[],48000,https://xeno-canto.org/978523,https://xeno-canto.org/978523/download,
975800,Turdus philomelos,Song Thrush,Arjan Boonman,Germany,2025-02-24,18:18,57,A,song,field recording,no,"[""Turdus merula""]",48000,https://xeno-canto.org/975800,https://xeno-canto.org/975800/download,
920534,Turdus philomelos,Song Thrush,Hannu Varkki,Finland,2023-05-15,02:59,46,A,song,field recording,no,"[""Lyrurus tetrix"", ""Poecile montanus""]",48000,https://xeno-canto.org/920534,https://xeno-canto.org/920534/download,
912710,Turdus philomelos,Song Thrush,Lars Edenius,Sweden,2024-06-12,18:00,40,A,song,field recording,no,"[""Phylloscopus collybita""]",44100,https://xeno-canto.org/912710,https://xeno-canto.org/912710/download,
905174,Turdus philomelos,Song Thrush,Elias Tibax,Belgium,2024-05-21,21:00,51,A,,field recording,yes,[],44100,https://xeno-canto.org/905174,https://xeno-canto.org/905174/download,
884647,Turdus philomelos,Song Thrush,Romuald Mikusek,Poland,2024-03-19,18:00,7,A,"aberrant, flight call, imitation",field recording,no,[],44100,https://xeno-canto.org/884647,https://xeno-canto.org/884647/download,
881157,Turdus philomelos,Song Thrush,Martin Billard,France,2024-03-06,09:00,51,A,song,field recording,yes,[],44100,https://xeno-canto.org/881157,https://xeno-canto.org/881157/download,
879352,Turdus philomelos,Song Thrush,Alain Malengreau,Belgium,2022-06-10,21:00,38,A,song,field recording,yes,[],48000,https://xeno-canto.org/879352,https://xeno-canto.org/879352/download,
872446,Turdus philomelos,Song Thrush,Mats Olsson,Sweden,2021-06-03,22:16,38,A,alarm call,field recording,no,[],44100,https://xeno-canto.org/872446,https://xeno-canto.org/872446/download,
858672,Turdus philomelos,Song Thrush,Manuel Grosselet,France,2024-01-01,09:40,52,A,song,field recording,yes,"[""Fringilla coelebs"", ""Prunella modularis"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/858672,https://xeno-canto.org/858672/download,
845156,Turdus philomelos,Song Thrush,Harry Heuven,Netherlands,2023-04-23,06:00,43,A,song,field recording,yes,[],48000,https://xeno-canto.org/845156,https://xeno-canto.org/845156/download,
835605,Turdus philomelos,Song Thrush,Martin Billard,France,2023-10-12,01:10,11,A,"alarm call, call, flight call",field recording,no,[],44100,https://xeno-canto.org/835605,https://xeno-canto.org/835605/download,
816707,Turdus philomelos,Song Thrush,Lars Edenius,Sweden,2023-07-12,21:00,52,A,song,field recording,no,[],44100,https://xeno-canto.org/816707,https://xeno-canto.org/816707/download,
809215,Turdus philomelos,Song Thrush,Jorge Leitão,Portugal,2023-06-15,20:37,39,A,song,field recording,yes,"[""Fringilla coelebs"", ""Erithacus rubecula"", ""Serinus serinus""]",44100,https://xeno-canto.org/809215,https://xeno-canto.org/809215/download,
808851,Turdus philomelos,Song Thrush,Dominique Guillerme,France,2023-06-08,04:48,37,A,song,field recording,no,[],48000,https://xeno-canto.org/808851,https://xeno-canto.org/808851/download,
805209,Turdus philomelos,Song Thrush,Jorge Leitão,Portugal,2023-05-26,19:57,36,A,song,field recording,yes,"[""Cisticola juncidis""]",44100,https://xeno-canto.org/805209,https://xeno-canto.org/805209/download,
797737,Turdus philomelos,Song Thrush,Lars Edenius,Sweden,2023-05-02,08:00,31,A,song,field recording,yes,[],48000,https://xeno-canto.org/797737,https://xeno-canto.org/797737/download,
794170,Turdus philomelos,Song Thrush,Ulf Elman,Sweden,2023-04-17,20:47,19,A,alarm call,field recording,unknown,"[""Erithacus rubecula"", ""Rallus aquaticus"", ""Anas platyrhynchos""]",48000,https://xeno-canto.org/794170,https://xeno-canto.org/794170/download,
785678,Turdus philomelos,Song Thrush,Olivier SWIFT,France,2022-04-13,21:30,54,A,song,field recording,unknown,"[""Athene noctua""]",44100,https://xeno-canto.org/785678,https://xeno-canto.org/785678/download,
785671,Turdus philomelos,Song Thrush,Olivier SWIFT,France,2022-04-14,21:20,34,A,song,field recording,no,"[""Erithacus rubecula""]",44100,https://xeno-canto.org/785671,https://xeno-canto.org/785671/download,
783809,Turdus philomelos,Song Thrush,Susanne Kuijpers,Netherlands,2023-03-04,06:48,21,A,"dawn song, song",field recording,no,"[""Turdus merula""]",44100,https://xeno-canto.org/783809,https://xeno-canto.org/783809/download,
780035,Turdus philomelos,Song Thrush,Frank A. Roos,Netherlands,2023-02-12,15:30,33,A,song,field recording,yes,"[""Parus major""]",44100,https://xeno-canto.org/780035,https://xeno-canto.org/780035/download,
764163,Turdus philomelos,Song Thrush,Jacobo Ramil Millarengo,Spain,2022-11-26,10:00,44,A,"song, subsong",field recording,yes,"[""Turdus merula"", ""Phylloscopus collybita""]",44100,https://xeno-canto.org/764163,https://xeno-canto.org/764163/download,
756357,Turdus philomelos,Song Thrush,Martin Billard,France,2022-10-10,01:51,4,A,"flight call, nocturnal flight call, wing beats",field recording,no,[],44100,https://xeno-canto.org/756357,https://xeno-canto.org/756357/download,
747444,Turdus philomelos,Song Thrush,Lars Edenius,Sweden,2022-09-03,04:00,52,A,alarm call,field recording,no,[],44100,https://xeno-canto.org/747444,https://xeno-canto.org/747444/download,
735687,Turdus philomelos,Song Thrush,Bodo Sonnenburg,Germany,2022-07-03,06:53,48,A,song,field recording,yes,[],48000,https://xeno-canto.org/735687,https://xeno-canto.org/735687/download,
735357,Turdus philomelos,Song Thrush,Lars Edenius,Sweden,2022-06-27,07:00,52,A,song,field recording,no,[],44100,https://xeno-canto.org/735357,https://xeno-canto.org/735357/download,
729884,Turdus philomelos,Song Thrush,Olivier SWIFT,France,2022-05-25,08:09,29,A,song,field recording,no,"[""Troglodytes troglodytes""]",44100,https://xeno-canto.org/729884,https://xeno-canto.org/729884/download,
723189,Turdus philomelos,Song Thrush,Lars Edenius,Sweden,2022-05-07,05:00,49,A,song,field recording,no,[],44100,https://xeno-canto.org/723189,https://xeno-canto.org/723189/download,
704712,Turdus philomelos,Song Thrush,Susanne Kuijpers,Netherlands,2022-02-27,08:03,49,A,song,field recording,yes,"[""Parus major"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/704712,https://xeno-canto.org/704712/download,
695501,Turdus philomelos,Song Thrush,Krzysztof Deoniziak,Poland,2021-09-28,05:00,11,A,"alarm call, nocturnal flight call",field recording,no,"[""Grus grus""]",44100,https://xeno-canto.org/695501,https://xeno-canto.org/695501/download,
694611,Turdus philomelos,Song Thrush,Beatrix Saadi-Varchmin,Germany,2018-05-26,04:38,49,A,"dawn song, song",field recording,no,"[""Erithacus rubecula""]",44100,https://xeno-canto.org/694611,https://xeno-canto.org/694611/download,
686634,Turdus philomelos,Song Thrush,Niels Van Doninck,Norway,2021-05-26,22:15,30,A,song,field recording,yes,"[""Turdus pilaris"", ""Turdus iliacus"", ""Erithacus rubecula""]",48000,https://xeno-canto.org/686634,https://xeno-canto.org/686634/download,
686633,Turdus philomelos,Song Thrush,Niels Van Doninck,Norway,2021-05-26,22:15,29,A,song,field recording,yes,"[""Turdus pilaris"", ""Turdus iliacus"", ""Erithacus rubecula""]",48000,https://xeno-canto.org/686633,https://xeno-canto.org/686633/download,
686632,Turdus philomelos,Song Thrush,Niels Van Doninck,Norway,2021-05-26,22:10,25,A,song,field recording,yes,"[""Turdus philomelos""]",48000,https://xeno-canto.org/686632,https://xeno-canto.org/686632/download,
686631,Turdus philomelos,Song Thrush,Niels Van Doninck,Norway,2021-05-26,22:05,37,A,song,field recording,yes,"[""Turdus philomelos""]",48000,https://xeno-canto.org/686631,https://xeno-canto.org/686631/download,
666987,Turdus philomelos,Song Thrush,Lars Edenius,Sweden,2021-08-06,03:00,18,A,call,field recording,no,[],44100,https://xeno-canto.org/666987,https://xeno-canto.org/666987/download,
663890,Turdus philomelos,Song Thrush,Lars Edenius,Sweden,2021-07-13,00:00,45,A,song,field recording,no,[],44100,https://xeno-canto.org/663890,https://xeno-canto.org/663890/download,
