species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
turdus_philomelos,1075532,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC1075532.mp3,1.0,4.0,-26.876996818818295,-26.876996818818295,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/turdus_philomelos/XC1075532__s1000__e4000.wav,
turdus_philomelos,459983,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC459983.mp3,17.0,20.0,-28.530274792049664,-34.60442822419605,drop,Toxostoma crissale,Crissal Thrasher,0.6428325176239014,0.6428325176239014,drop,0,,,
turdus_philomelos,459983,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC459983.mp3,20.0,23.0,-30.083605694385,-34.60442822419605,species,Turdus philomelos,Song Thrush,0.7354286909103394,0.7354286909103394,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/turdus_philomelos/XC459983__s20000__e23000.wav,
turdus_philomelos,459983,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC459983.mp3,23.0,26.0,-31.996090976003178,-34.60442822419605,species,Turdus philomelos,Song Thrush,0.6233747005462646,0.6233747005462646,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/turdus_philomelos/XC459983__s23000__e26000.wav,
turdus_philomelos,459983,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC459983.mp3,29.0,32.0,-33.21103142671682,-34.60442822419605,species,Turdus philomelos,Song Thrush,0.8178582191467285,0.8178582191467285,species,0,,,
turdus_philomelos,459983,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC459983.mp3,32.0,35.0,-30.771280213610282,-34.60442822419605,species,Turdus philomelos,Song Thrush,0.6621928215026855,0.6621928215026855,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/turdus_philomelos/XC459983__s32000__e35000.wav,
turdus_philomelos,459983,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC459983.mp3,35.0,38.0,-31.0041473560565,-34.60442822419605,species,Turdus philomelos,Song Thrush,0.5410757064819336,0.5410757064819336,species,0,,,
turdus_philomelos,626598,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC626598.mp3,,,,,,,,,,drop,0,,,no_windows
turdus_philomelos,647776,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC647776.mp3,1.0,4.0,-24.036278575804264,-24.11541427111058,drop,Lochmias nematura,Sharp-tailed Streamcreeper,0.7046645879745483,0.7046645879745483,drop,0,,,
turdus_philomelos,647776,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC647776.mp3,7.0,10.0,-23.77130141280542,-24.11541427111058,species,Turdus philomelos,Song Thrush,0.8514963388442993,0.8514963388442993,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/turdus_philomelos/XC647776__s7000__e10000.wav,
turdus_philomelos,647776,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC647776.mp3,10.0,13.0,-23.764724428794267,-24.11541427111058,drop,Turdus philomelos,Song Thrush,0.12763133645057678,0.12763133645057678,drop,0,,,
turdus_philomelos,647776,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC647776.mp3,16.0,19.0,-22.952948396704215,-24.11541427111058,species,Turdus philomelos,Song Thrush,0.8613060116767883,0.8613060116767883,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/turdus_philomelos/XC647776__s16000__e19000.wav,
turdus_philomelos,647776,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC647776.mp3,22.0,25.0,-23.379918196394133,-24.11541427111058,species,Turdus philomelos,Song Thrush,0.7612042427062988,0.7612042427062988,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/turdus_philomelos/XC647776__s22000__e25000.wav,
turdus_philomelos,647776,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC647776.mp3,25.0,28.0,-22.51476071961625,-24.11541427111058,species,Turdus philomelos,Song Thrush,0.6231572031974792,0.6231572031974792,species,0,,,
turdus_philomelos,1000085,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC1000085.mp3,16.0,19.0,-38.80102696994835,-40.0,species,Turdus philomelos,Song Thrush,0.7863049507141113,0.7863049507141113,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/turdus_philomelos/XC1000085__s16000__e19000.wav,
turdus_philomelos,1000085,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC1000085.mp3,19.0,22.0,-34.812579503389316,-40.0,species,Turdus philomelos,Song Thrush,0.4383958876132965,0.4383958876132965,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/turdus_philomelos/XC1000085__s19000__e22000.wav,
turdus_philomelos,1000085,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC1000085.mp3,22.0,25.0,-38.63888504965717,-40.0,species,Turdus philomelos,Song Thrush,0.6058870553970337,0.6058870553970337,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/turdus_philomelos/XC1000085__s22000__e25000.wav,
turdus_philomelos,1000085,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC1000085.mp3,40.0,43.0,-39.95321770838487,-40.0,drop,Sitta europaea,Eurasian Nuthatch,0.385052889585495,0.385052889585495,drop,0,,,
turdus_philomelos,1010005,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC1010005.mp3,1.0,4.0,-14.800312066307137,-40.0,species,Turdus philomelos,Song Thrush,0.9705283045768738,0.9705283045768738,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/turdus_philomelos/XC1010005__s1000__e4000.wav,
turdus_philomelos,1010005,Turdus philomelos,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/turdus_philomelos/XC1010005.mp3,4.0,7.0,-29.339491175374462,-40.0,drop,Columba palumbus,Common Wood-Pigeon,0.4782167077064514,0.4782167077064514,drop,0,,,
