xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
984782,Turdus philomelos,Song Thrush,David Darrell-Lambert,United Kingdom,2024-01-29,11:30,2,B,subsong,field recording,yes,[],48000,https://xeno-canto.org/984782,https://xeno-canto.org/984782/download,
459983,Turdus philomelos,Song Thrush,Anthony McGeehan ,Ireland,2019-02-28,08:00,51,A,song,field recording,yes,[],48000,https://xeno-canto.org/459983,https://xeno-canto.org/459983/download,
626598,Turdus philomelos,Song Thrush,Will Scott,United Kingdom,2021-03-05,02:44,2,A,"flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/626598,https://xeno-canto.org/626598/download,
647776,Turdus philomelos,Song Thrush,Irish Wildlife Sounds,Ireland,2021-04-11,10:00,31,A,alarm call,field recording,no,[],44100,https://xeno-canto.org/647776,https://xeno-canto.org/647776/download,
1000085,Turdus philomelos,Song Thrush,Paul Archer,Ireland,2025-05-12,10:00,52,B,song,field recording,yes,[],22050,https://xeno-canto.org/1000085,https://xeno-canto.org/1000085/download,
1010005,Turdus philomelos,Song Thrush,David Darrell-Lambert,United Kingdom,2025-06-27,07:00,32,A,song,field recording,yes,[],32000,https://xeno-canto.org/1010005,https://xeno-canto.org/1010005/download,
1019089,Turdus philomelos,Song Thrush,Filippo Ceccolini,United Kingdom,2025-07-23,20:30,31,A,song,field recording,no,[],48000,https://xeno-canto.org/1019089,https://xeno-canto.org/1019089/download,
267393,Turdus philomelos,Song Thrush,Anthony McGeehan ,Ireland,2015-08-06,08:00,16,B,"call, stone tapping",field recording,no,[],44100,https://xeno-canto.org/267393,https://xeno-canto.org/267393/download,
935819,Turdus philomelos,Song Thrush,Mark Pearson,United Kingdom,2024-09-24,04:58,6,B,"call, flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/935819,https://xeno-canto.org/935819/download,
1058971,Turdus philomelos,Song Thrush,Arjun Dutta,United Kingdom,2025-10-18,02:00,14,B,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1058971,https://xeno-canto.org/1058971/download,
1060021,Turdus philomelos,Song Thrush,David Darrell-Lambert,United Kingdom,2025-11-14,15:00,2,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/1060021,https://xeno-canto.org/1060021/download,
1069246,Turdus philomelos,Song Thrush,Colm Philpott,Ireland,2025-12-25,12:30,46,B,uncertain,field recording,no,[],44100,https://xeno-canto.org/1069246,https://xeno-canto.org/1069246/download,
706844,Turdus philomelos,Song Thrush,Irish Wildlife Sounds,Ireland,2022-01-17,10:00,42,B,alarm call,field recording,yes,[],44100,https://xeno-canto.org/706844,https://xeno-canto.org/706844/download,
984784,Turdus philomelos,Song Thrush,David Darrell-Lambert,United Kingdom,2024-02-13,08:30,24,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/984784,https://xeno-canto.org/984784/download,
543872,Turdus philomelos,Song Thrush,Peter Stronach,United Kingdom,2020-03-26,18:00,26,A,song,field recording,yes,[],48000,https://xeno-canto.org/543872,https://xeno-canto.org/543872/download,
187884,Turdus philomelos,Song Thrush,david m,United Kingdom,2014-04-27,05:45,56,A,song,field recording,yes,"[""Columba palumbus"", ""Chloris chloris""]",48000,https://xeno-canto.org/187884,https://xeno-canto.org/187884/download,
942418,Turdus philomelos,Song Thrush,Arjun Dutta,United Kingdom,2021-05-17,18:00,4,B,"imitation, song",field recording,no,[],44100,https://xeno-canto.org/942418,https://xeno-canto.org/942418/download,
255239,Turdus philomelos,Song Thrush,Anthony McGeehan ,Ireland,2015-06-11,17:30,55,A,call,field recording,yes,[],44100,https://xeno-canto.org/255239,https://xeno-canto.org/255239/download,
597567,Turdus philomelos,Song Thrush,Paul Parry,United Kingdom,2020-07-25,15:00,40,A,song,field recording,no,[],44100,https://xeno-canto.org/597567,https://xeno-canto.org/597567/download,
666987,Turdus philomelos,Song Thrush,Lars Edenius,Sweden,2021-08-06,03:00,18,A,call,field recording,no,[],44100,https://xeno-canto.org/666987,https://xeno-canto.org/666987/download,
935818,Turdus philomelos,Song Thrush,Mark Pearson,United Kingdom,2024-09-24,04:54,6,B,"call, flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/935818,https://xeno-canto.org/935818/download,
1050794,Turdus philomelos,Song Thrush,Paul Kelly,Ireland,2025-10-15,23:30,6,B,"flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/1050794,https://xeno-canto.org/1050794/download,
953423,Turdus philomelos,Song Thrush,Mark Plummer,United Kingdom,2024-11-30,16:31,19,B,alarm call,field recording,no,"[""Turdus merula"", ""Erithacus rubecula"", ""Strix aluco""]",48000,https://xeno-canto.org/953423,https://xeno-canto.org/953423/download,
857821,Turdus philomelos,Song Thrush,Paul Kelly,Ireland,2023-12-19,16:00,3,B,alarm call,field recording,no,[],44100,https://xeno-canto.org/857821,https://xeno-canto.org/857821/download,
697615,Turdus philomelos,Song Thrush,Lee Alder,United Kingdom,2022-01-15,09:59,49,B,song,field recording,no,"[""Fulica atra""]",48000,https://xeno-canto.org/697615,https://xeno-canto.org/697615/download,
981485,Turdus philomelos,Song Thrush,David Darrell-Lambert,United Kingdom,2025-02-22,10:30,49,B,song,field recording,yes,"[""Tringa totanus""]",32000,https://xeno-canto.org/981485,https://xeno-canto.org/981485/download,
309714,Turdus philomelos,Song Thrush,Marc Anderson,United Kingdom,2016-03-30,18:00,10,A,song,field recording,yes,[],48000,https://xeno-canto.org/309714,https://xeno-canto.org/309714/download,
185875,Turdus philomelos,Song Thrush,david m,United Kingdom,2014-04-13,06:08,51,A,song,field recording,yes,"[""Streptopelia decaocto""]",48000,https://xeno-canto.org/185875,https://xeno-canto.org/185875/download,
905252,Turdus philomelos,Song Thrush,Azens,Ireland,2024-05-08,06:48,41,B,song,field recording,no,"[""Regulus regulus"", ""Columba palumbus"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/905252,https://xeno-canto.org/905252/download,
1024194,Turdus philomelos,Song Thrush,Paul Driver,United Kingdom,2025-06-16,06:16,14,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/1024194,https://xeno-canto.org/1024194/download,
145646,Turdus philomelos,Song Thrush,Patrik Åberg,United Kingdom,2013-07-11,06:22,37,A,song,field recording,yes,"[""Cyanistes caeruleus""]",44100,https://xeno-canto.org/145646,https://xeno-canto.org/145646/download,
587485,Turdus philomelos,Song Thrush,Lars Edenius,Sweden,2020-08-08,16:00,41,A,call,field recording,no,[],44100,https://xeno-canto.org/587485,https://xeno-canto.org/587485/download,
933454,Turdus philomelos,Song Thrush,Mark Pearson,United Kingdom,2024-09-13,03:10,4,B,"call, flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/933454,https://xeno-canto.org/933454/download,
839720,Turdus philomelos,Song Thrush,Paul Kelly,Ireland,2023-10-22,03:00,4,B,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/839720,https://xeno-canto.org/839720/download,
951711,Turdus philomelos,Song Thrush,Paul Kelly,Ireland,2024-11-12,21:00,8,B,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/951711,https://xeno-canto.org/951711/download,
845721,Turdus philomelos,Song Thrush,Paul Kelly,Ireland,2023-12-02,04:30,10,B,"alarm call, Ocean",field recording,no,[],44100,https://xeno-canto.org/845721,https://xeno-canto.org/845721/download,
697614,Turdus philomelos,Song Thrush,Lee Alder,United Kingdom,2022-01-15,09:57,49,B,song,field recording,no,"[""Fulica atra"", ""Anas platyrhynchos""]",48000,https://xeno-canto.org/697614,https://xeno-canto.org/697614/download,
972507,Turdus philomelos,Song Thrush,David Darrell-Lambert,United Kingdom,2025-02-09,11:00,4,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/972507,https://xeno-canto.org/972507/download,
309713,Turdus philomelos,Song Thrush,Marc Anderson,United Kingdom,2016-03-30,18:00,15,A,song,field recording,yes,[],48000,https://xeno-canto.org/309713,https://xeno-canto.org/309713/download,
