xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1068470,Tyto alba,Western Barn Owl,Pere Josa,Spain,2025-09-23,22:00,5,A,call,field recording,no,[],44100,https://xeno-canto.org/1068470,https://xeno-canto.org/1068470/download,
1068468,Tyto alba,Western Barn Owl,Pere Josa,Spain,2025-09-23,22:00,5,A,call,field recording,no,[],44100,https://xeno-canto.org/1068468,https://xeno-canto.org/1068468/download,
1068466,Tyto alba,Western Barn Owl,Pere Josa,Spain,2025-09-23,22:00,10,A,call,field recording,no,[],44100,https://xeno-canto.org/1068466,https://xeno-canto.org/1068466/download,
1065272,Tyto alba,Western Barn Owl,Le Louaver Manuel,France,2025-12-06,03:30,10,A,nocturnal flight call,field recording,no,[],24000,https://xeno-canto.org/1065272,https://xeno-canto.org/1065272/download,
1064554,Tyto alba,Western Barn Owl,Thierry THOMAS,France,2025-12-13,19:13,7,A,"call, flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/1064554,https://xeno-canto.org/1064554/download,
1063162,Tyto alba,Western Barn Owl,Pere Josa,Spain,2025-09-23,21:30,31,A,alarm call,field recording,no,[],44100,https://xeno-canto.org/1063162,https://xeno-canto.org/1063162/download,
1059335,Tyto alba,Western Barn Owl,Tony Rinaud,France,2025-11-20,01:32,5,A,"call, flight call",field recording,no,[],16000,https://xeno-canto.org/1059335,https://xeno-canto.org/1059335/download,
1054166,Tyto alba,Western Barn Owl,David Darrell-Lambert,United Kingdom,2024-04-05,21:00,7,A,call,field recording,yes,[],48000,https://xeno-canto.org/1054166,https://xeno-canto.org/1054166/download,
1054165,Tyto alba,Western Barn Owl,David Darrell-Lambert,United Kingdom,2021-03-20,21:00,48,A,call,field recording,yes,[],24000,https://xeno-canto.org/1054165,https://xeno-canto.org/1054165/download,
1054164,Tyto alba,Western Barn Owl,David Darrell-Lambert,United Kingdom,2021-03-20,21:00,27,A,call,field recording,yes,[],24000,https://xeno-canto.org/1054164,https://xeno-canto.org/1054164/download,
1053321,Tyto alba,Western Barn Owl,James P,United Kingdom,2025-11-08,22:41,5,A,"call, flight call, nocturnal flight call",field recording,yes,[],44100,https://xeno-canto.org/1053321,https://xeno-canto.org/1053321/download,
1052580,Tyto alba,Western Barn Owl,Denis Dujardin,France,2025-11-01,04:30,10,A,call,field recording,no,[],96000,https://xeno-canto.org/1052580,https://xeno-canto.org/1052580/download,
1052579,Tyto alba,Western Barn Owl,Denis Dujardin,France,2025-11-01,00:00,5,A,call,field recording,no,[],96000,https://xeno-canto.org/1052579,https://xeno-canto.org/1052579/download,
1052575,Tyto alba,Western Barn Owl,Denis Dujardin,France,2025-10-31,05:00,18,A,call,field recording,no,[],96000,https://xeno-canto.org/1052575,https://xeno-canto.org/1052575/download,
1052574,Tyto alba,Western Barn Owl,Denis Dujardin,France,2025-10-31,00:00,8,A,call,field recording,no,[],96000,https://xeno-canto.org/1052574,https://xeno-canto.org/1052574/download,
1052561,Tyto alba,Western Barn Owl,Denis Dujardin,France,2025-10-30,06:00,3,A,call,field recording,no,[],96000,https://xeno-canto.org/1052561,https://xeno-canto.org/1052561/download,
1052540,Tyto alba,Western Barn Owl,Denis Dujardin,France,2025-10-28,04:00,2,A,nocturnal flight call,field recording,no,[],96000,https://xeno-canto.org/1052540,https://xeno-canto.org/1052540/download,
1052115,Tyto alba,Western Barn Owl,Sergi Carreras,Spain,2025-11-03,02:40,11,A,call,field recording,no,[],44100,https://xeno-canto.org/1052115,https://xeno-canto.org/1052115/download,
1051897,Tyto alba,Western Barn Owl,Esperanza Poveda,Spain,2025-05-01,?,12,A,call,field recording,no,[],44100,https://xeno-canto.org/1051897,https://xeno-canto.org/1051897/download,
1051896,Tyto alba,Western Barn Owl,Esperanza Poveda,Spain,2025-05-01,?,48,A,alarm call,field recording,no,[],44100,https://xeno-canto.org/1051896,https://xeno-canto.org/1051896/download,
1051895,Tyto alba,Western Barn Owl,Esperanza Poveda,Spain,2025-05-01,?,12,A,call,field recording,no,[],44100,https://xeno-canto.org/1051895,https://xeno-canto.org/1051895/download,
1051481,Tyto alba,Western Barn Owl,Esperanza Poveda,Spain,2025-05-01,?,36,A,flight call,field recording,no,[],44100,https://xeno-canto.org/1051481,https://xeno-canto.org/1051481/download,
1050011,Tyto alba,Western Barn Owl,Denis Dujardin,France,2025-10-25,19:30,2,A,nocturnal flight call,field recording,no,[],48000,https://xeno-canto.org/1050011,https://xeno-canto.org/1050011/download,
1049136,Tyto alba,Western Barn Owl,Le Louaver Manuel,France,2025-10-08,01:30,6,A,nocturnal flight call,field recording,no,[],24000,https://xeno-canto.org/1049136,https://xeno-canto.org/1049136/download,
1049135,Tyto alba,Western Barn Owl,Le Louaver Manuel,France,2025-10-05,23:00,4,A,nocturnal flight call,field recording,no,[],24000,https://xeno-canto.org/1049135,https://xeno-canto.org/1049135/download,
