xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1073103,Tyto alba,Western Barn Owl,Mark Pearson,United Kingdom,2026-01-16,22:15,4,A,"call, flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/1073103,https://xeno-canto.org/1073103/download,
927912,Tyto alba,Western Barn Owl,Arjun Dutta,United Kingdom,2021-02-27,02:00,9,A,call,field recording,no,[],44100,https://xeno-canto.org/927912,https://xeno-canto.org/927912/download,
1054165,Tyto alba,Western Barn Owl,David Darrell-Lambert,United Kingdom,2021-03-20,21:00,48,A,call,field recording,yes,[],24000,https://xeno-canto.org/1054165,https://xeno-canto.org/1054165/download,
1054166,Tyto alba,Western Barn Owl,David Darrell-Lambert,United Kingdom,2024-04-05,21:00,7,A,call,field recording,yes,[],48000,https://xeno-canto.org/1054166,https://xeno-canto.org/1054166/download,
1005130,Tyto alba,Western Barn Owl,Mark Newsome,United Kingdom,2025-05-23,01:30,6,A,call,field recording,no,"[""Acrocephalus schoenobaenus""]",44100,https://xeno-canto.org/1005130,https://xeno-canto.org/1005130/download,
1010093,Tyto alba,Western Barn Owl,Michael John O Mahony,Ireland,2025-06-11,01:30,57,A,nocturnal flight call,field recording,no,[],24000,https://xeno-canto.org/1010093,https://xeno-canto.org/1010093/download,
1019496,Tyto alba,Western Barn Owl,James P,United Kingdom,2025-07-25,04:05,6,A,"call, flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/1019496,https://xeno-canto.org/1019496/download,
1028061,Tyto alba,Western Barn Owl,David Tattersley,United Kingdom,2025-08-11,00:47,5,A,nocturnal flight call,field recording,no,[],48000,https://xeno-canto.org/1028061,https://xeno-canto.org/1028061/download,
1045968,Tyto alba,Western Barn Owl,John Sirrett,United Kingdom,2025-09-23,00:35,8,A,"nocturnal flight call, anthropogenic noise band",field recording,no,[],24000,https://xeno-canto.org/1045968,https://xeno-canto.org/1045968/download,
1046309,Tyto alba,Western Barn Owl,Mark Pearson,United Kingdom,2025-10-07,23:20,7,A,"call, flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/1046309,https://xeno-canto.org/1046309/download,
1053321,Tyto alba,Western Barn Owl,James P,United Kingdom,2025-11-08,22:41,5,A,"call, flight call, nocturnal flight call",field recording,yes,[],44100,https://xeno-canto.org/1053321,https://xeno-canto.org/1053321/download,
856688,Tyto alba,Western Barn Owl,Simon Elliott,United Kingdom,2023-12-19,01:30,30,A,call,field recording,yes,"[""Mareca penelope""]",48000,https://xeno-canto.org/856688,https://xeno-canto.org/856688/download,
894095,Tyto alba,Western Barn Owl,Simon Elliott,United Kingdom,2024-01-17,03:20,7,A,call,field recording,yes,[],48000,https://xeno-canto.org/894095,https://xeno-canto.org/894095/download,
628211,Tyto alba,Western Barn Owl,Stephen G Addinall,United Kingdom,2021-02-25,01:00,17,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/628211,https://xeno-canto.org/628211/download,
1054164,Tyto alba,Western Barn Owl,David Darrell-Lambert,United Kingdom,2021-03-20,21:00,27,A,call,field recording,yes,[],24000,https://xeno-canto.org/1054164,https://xeno-canto.org/1054164/download,
927911,Tyto alba,Western Barn Owl,Arjun Dutta,United Kingdom,2022-04-09,02:00,8,A,call,field recording,no,[],44100,https://xeno-canto.org/927911,https://xeno-canto.org/927911/download,
1002263,Tyto alba,Western Barn Owl,Mark Newsome,United Kingdom,2025-05-13,23:05,8,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1002263,https://xeno-canto.org/1002263/download,
808755,Tyto alba,Western Barn Owl,Mark Pearson,United Kingdom,2023-06-05,23:36,13,A,"call, flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/808755,https://xeno-canto.org/808755/download,
922303,Tyto alba,Western Barn Owl,Paul Kelly,Ireland,2024-07-13,23:30,7,A,call,field recording,no,[],44100,https://xeno-canto.org/922303,https://xeno-canto.org/922303/download,
1026992,Tyto alba,Western Barn Owl,David Darrell-Lambert,United Kingdom,2025-08-06,21:00,41,A,call,field recording,yes,[],32000,https://xeno-canto.org/1026992,https://xeno-canto.org/1026992/download,
1043646,Tyto alba,Western Barn Owl,Paul Kelly,Ireland,2025-09-20,20:30,5,A,"call, nocturnal flight call, Ocean",field recording,no,[],24000,https://xeno-canto.org/1043646,https://xeno-canto.org/1043646/download,
943097,Tyto alba,Western Barn Owl,david thorns,United Kingdom,2024-10-22,01:00,27,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/943097,https://xeno-canto.org/943097/download,
947437,Tyto alba,Western Barn Owl,Paul Kelly,Ireland,2024-11-09,19:00,12,A,call,field recording,no,[],44100,https://xeno-canto.org/947437,https://xeno-canto.org/947437/download,
856687,Tyto alba,Western Barn Owl,Simon Elliott,United Kingdom,2023-12-19,00:30,13,A,call,field recording,yes,[],48000,https://xeno-canto.org/856687,https://xeno-canto.org/856687/download,
859527,Tyto alba,Western Barn Owl,Simon Elliott,United Kingdom,2024-01-06,02:30,49,A,call,field recording,no,[],48000,https://xeno-canto.org/859527,https://xeno-canto.org/859527/download,
621140,Tyto alba,Western Barn Owl,James P,United Kingdom,2021-02-11,04:03,5,B,"call, flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/621140,https://xeno-canto.org/621140/download,
980268,Tyto alba,Western Barn Owl,Arjun Dutta,United Kingdom,2025-03-14,03:00,6,A,"flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/980268,https://xeno-canto.org/980268/download,
927909,Tyto alba,Western Barn Owl,Arjun Dutta,United Kingdom,2022-04-21,02:00,8,A,call,field recording,no,[],44100,https://xeno-canto.org/927909,https://xeno-canto.org/927909/download,
927916,Tyto alba,Western Barn Owl,Arjun Dutta,United Kingdom,2021-05-07,02:00,13,A,call,field recording,no,[],44100,https://xeno-canto.org/927916,https://xeno-canto.org/927916/download,
